«1792-0000»,【 カンマ区切りテキスト形式です。】
«1792-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1792-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1792-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1792-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1792-0050»,【 外部リンク　】
«1792-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/225 ～ 229】
«1792-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1792h　(翻刻編集終了データを表成型して表示します)】
«1792-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1792ht (翻刻編集中データを表成型して表示します)】
«1792-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1792-0100»,«版元»,出版地○○,出版元□□□,　
«1792-0110»,«暦首»,寛政四年みつのえね乃宝暦甲戌元暦,奎宿|値年,凡三百八十四日
«1792-0120»,«大歳»,大さいねの方,此方ニむかひて万よし|但木をきらす
«1792-0130»,«大將軍»,大しやうくんとりの方,うしのとしまて|三年ふさかり
«1792-0140»,«大陰»,大おんいぬの方,此方ニむかひて|さんをせす
«1792-0150»,«歳徳»,としとくあきの方|いねの間万よし,とらう|,金神,|いぬい
«1792-0160»,«歳刑»,さいけううの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1792-0170»,«歳破»,さいはむまの方,むかひてわたましせす|ふねのりはしめす,正月小,二月大|閏二月小,三月大
«1792-0180»,«歳煞»,さいせつひつしの方,此方より|よめとらす,四月小,五月大,六月大
«1792-0190»,«黄幡»,わうはんたつの方,むかひて|弓はしめよし,七月小,八月大,九月小
«1792-0200»,«豹尾»,へうひいぬの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月小,十二月大
«1792-0210»,«月序»,正月,小,建,壬寅,參宿値月尾宿火曜値朔日
«1792-0220»,«正月»,一日,かのとのひつし,やふる,土,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1792-0230»,«正月»,二日,みつのえさる,あやふ,金,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1792-0240»,«三日»,三日,みつのとのとり,なる,金,　,●
«1792-0250»,«暦日2»,四〳,きのえいぬ,おさん,火,　,めつもん  わたましよし
«1792-0260»,«暦日0»,五〳,きのとのい,ひらく,,　,月とく ちう日  いちたちよし
«1792-0270»,«暦日2»,六〳,ひのえね,とつ,水,　,きこ ちいみ
«1792-0280»,«暦日0»,七〳,ひのとのうし,たつ,,　,十し
«1792-0290»,«暦日2»,八〳,つちのえとら,のそく,土,　,ふく日  木こり  つめとりよし
«1792-0300»,«暦日0»,九〳,つちのとのう,みつ,,　,神よし 大みやう 天おん ふく日
«1792-0310»,«暦日2»,十〳,かのえたつ,たいら,金,　,天おん 月とく 大くわ 地火  よめとりよし
«1792-0320»,«暦日0»,十一〳,かのとのみ,さたん,,　,天おん 母倉 ちう日
«1792-0330»,«暦日2»,十二〳,みつのえむま,とる,木,せつふん,大みやう 天おん 母倉 わうまう
«1792-0340»,«暦日0»,十三〳,みつのとのひつし,とる,,　,天おん  たねまきよし
«1792-0350»,«節中»,立春正月せつむまの六刻ニ入日の出より日入まて,昼四十二刻余|夜五十七刻余,六より六まて,昼四十七刻余|夜五十二刻余
«1792-0360»,«暦日2»,十四〳,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
«1792-0370»,«暦日0»,十五〳,きのとのとり,あやふ,,　,十し
«1792-0380»,«暦日2»,十六〳,ひのえいぬ,なる,土,　,●
«1792-0390»,«暦日0»,十七〳,ひのとのい,おさん,,　,大みやう 母倉 大くわ ちう日
«1792-0400»,«暦日2»,十八〳,つちのえね,ひらく,火,　,きしく 母倉 天火 らうしやく  けんふく 入学よし
