«1794-0000»,【 カンマ区切りテキスト形式です。】
«1794-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1794-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1794-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1794-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1794-0050»,【 外部リンク　】
«1794-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/233 ～ 238】
«1794-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1794h　(翻刻編集終了データを表成型して表示します)】
«1794-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1794ht (翻刻編集中データを表成型して表示します)】
«1794-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1794-0100»,«版元»,出版地○○,出版元□□□,　
«1794-0110»,«暦首»,寛政六年きのえとら乃宝暦甲戌元暦,胃宿|値年,凡三百八十四日
«1794-0120»,«大歳»,大さいとらの方,此方ニむかひて万よし|但木をきらす
«1794-0130»,«大將軍»,大しやうくんねの方,たつのとしまて|三年ふさかり
«1794-0140»,«大陰»,大おんねの方,此方ニむかひて|さんをせす
«1794-0150»,«歳徳»,としとくあきの方|とらうの間万よし,むまひつし|,金神,|さるとり
«1794-0160»,«歳刑»,さいけうみの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1794-0170»,«歳破»,さいはさるの方,むかひてわたましせす|ふねのりはしめす,正月大,二月小,三月大
«1794-0180»,«歳煞»,さいせつうしの方,此方より|よめとらす,四月小,五月小,六月大
«1794-0190»,«黄幡»,わうはんいぬの方,むかひて|弓はしめよし,七月小,八月大,九月大
«1794-0200»,«豹尾»,へうひたつの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月小|閏十一月大,十二月小
«1794-0210»,«月序»,正月,大,建,丙寅,胃宿値月婁宿金曜値朔日
«1794-0220»,«正月»,一日,つちのとのうし,たつ,火,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1794-0230»,«正月»,二日,かのえとら,のそく,木,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1794-0240»,«三日»,三日,かのとのう,みつ,木,　,神よし
«1794-0250»,«暦日2»,四〳,みつのえたつ,たいら,水,せつふん,大みやう 五む日 大くわ 地火 わうまう
«1794-0260»,«暦日0»,五〳,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
«1794-0270»,«節中»,立春正月せつ今夜ねの四刻ニ入日の出より日入まて,昼四十二刻余|夜五十七刻余,六より六まて,昼四十七刻余|夜五十二刻余
«1794-0280»,«暦日2»,六〳,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
«1794-0290»,«暦日0»,七〳,きのとのひつし,とる,,　,大みやう 五む日
«1794-0300»,«暦日2»,八〳,ひのえさる,やふる,火,　,神よし きしく 月とく
«1794-0310»,«暦日0»,九〳,ひのとのとり,あやふ,,　,十し
«1794-0320»,«暦日2»,十〳,つちのえいぬ,なる,木,　,●
«1794-0330»,«暦日0»,十一〳,つちのとのい,おさん,,　,母倉 大くわ ちう日 わうまう
«1794-0340»,«暦日2»,十二〳,かのえね,ひらく,土,　,神よし 母倉 ふく日 天火 らうしやく
«1794-0350»,«暦日0»,十三〳,かのとのうし,とつ,,　,神よし 月とく 五む日 きこ ちいみ  ものたち  つめとりよし
«1794-0360»,«暦日2»,十四〳,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
«1794-0370»,«暦日0»,十五〳,みつのとのう,のそく,,　,神よし  あさまきよし
«1794-0380»,«暦日1»,十六〳,きのえたつ,みつ,火,　,大みやう ふく日
«1794-0390»,«食記»,月帯そく
«1794-0400»,«暦日1»,十七〳,きのとのみ,たいら,火,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
