《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/238 ～ 243
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1795g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1795h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,寛政七年きのとのう乃宝暦甲戌元暦,昴宿/値年,凡三百五十五日
《0120》,《大歳》,大さいうの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんねの方,たつのとしまて/三年ふさかり
《0140》,《大陰》,大おんうしの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/さるとりの間万よし,たつ/,金神,/み
《0160》,《歳刑》,さいけうねの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはとりの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月大
《0180》,《歳煞》,さいせついぬの方,此方より/よめとらす,四月小,五月小,六月大
《0190》,《黄幡》,わうはんひつしの方,むかひて/弓はしめよし,七月小,八月大,九月大
《0200》,《豹尾》,へうひうしの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月大
《0210》,《月序》,正月,大,建,戊寅,角宿値月斗宿木曜値朔日
《0220》,《正月》,一日,みつのとのうし,とつ,木,吉事始/ま日,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《正月》,二日,きのえとら,たつ,水,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0240》,《節中》,雨水正月中むまの初刻日の出より日入まて,昼四十四刻余/夜五十五刻余,六より六まて,昼四十九刻余/夜五十刻余
《0250》,《三日》,三日,きのとのう,のそく,水,　,神よし
《0260》,《暦日2》,四／,ひのえたつ,みつ,土,ま日,大みやう 月とく
《0270》,《暦日0》,五／,ひのとのみ,たいら,,　,ちう日 めつもん 地火
《0280》,《暦日2》,六／,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
《0290》,《暦日0》,七／,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
《0300》,《暦日2》,八／,かのえさる,やふる,木,　,神よし 大みやう ふく日
《0310》,《暦日0》,九／,かのとのとり,あやふ,,　,十し
《0320》,《暦日2》,十／,みつのえいぬ,なる,水,ま日,●
《0330》,《暦日0》,十一／,みつのとのい,おさん,,八せんのおはり,母倉 大くわ ちう日  けんふくよし
《0340》,《暦日2》,十二／,きのえね,ひらく,金,　,天おん 母倉 ふく日 天火 らうしやく
《0350》,《暦日0》,十三／,きのとのうし,とつ,,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
《0360》,《暦日2》,十四／,ひのえとら,たつ,火,　,天おん 月とく  つめとりよし
《0370》,《暦日0》,十五／,ひのとのう,のそく,,　,神よし 天おん  あさまきよし
《0380》,《暦日2》,十六／,つちのえたつ,みつ,木,　,きしく 天おん 五む日  みそつくりよし
《0390》,《暦日0》,十七／,つちのとのみ,みつ,,　,十し
《0400》,《節中》,啓蟄二月せつさるの五刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
《0410》,《暦日2》,十八／,かのえむま,たいら,土,　,神よし 大くわ 地火
《0420》,《暦日0》,十九／,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《0430》,《暦日2》,廿／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《0440》,《暦日0》,廿一／,みつのとのとり,やふる,,　,大みやう  やたてよし
《0450》,《暦日2》,廿二／,きのえいぬ,あやふ,火,　,月とく  かといてよし
《0460》,《暦日0》,廿三／,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
《0470》,《暦日2》,廿四／,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
《0480》,《暦日0》,廿五／,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
《0490》,《暦日2》,廿六／,つちのえとら,とつ,土,　,天しや よろつよし
《0500》,《暦日0》,廿七／,つちのとのう,たつ,,ひかんニなる,大みやう くゑ日 天火 らうしやく 金性の人うけニ入
《0510》,《暦日2》,廿八／,かのえたつ,のそく,金,　,●
《0520》,《暦日0》,廿九／,かのとのみ,みつ,,　,十し
《0530》,《暦日1》,卅／,みつのえむま,たいら,木,　,大みやう 天おん 大くわ 地火 わうまう
《0540》,《月序》,二月,小,建,己卯,亢宿　女　土よう
《0550》,《暦日1》,一／,みつのとのひつし,さたん,木,　,天おん ちいみ
《0560》,《暦日1》,二／,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
《0570》,《節中》,春分二月中いの二刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《0580》,《暦日1》,三／,きのとのとり,やふる,水,　,ふく日
《0590》,《暦日2》,四／,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
《0600》,《暦日0》,五／,ひのとのい,なる,,　,大みやう 母倉 ちう日
《0610》,《暦日2》,六／,つちのえね,おさん,火,社日,母倉 めつもん  けんふく たねかしよし
《0620》,《暦日0》,七／,つちのとのうし,ひらく,,　,月とく  井ほり  つめとりよし
《0630》,《暦日2》,八／,かのえとら,とつ,木,　,きこ  つめとりよし
《0640》,《暦日0》,九／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《0650》,《暦日2》,十／,みつのえたつ,のそく,水,　,●
《0660》,《暦日0》,十一／,みつのとのみ,みつ,,天一天上,十し
《0670》,《暦日2》,十二／,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
《0680》,《暦日0》,十三／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
