«1796-0000»,【 カンマ区切りテキスト形式です。】
«1796-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1796-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1796-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1796-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1796-0050»,【 外部リンク　】
«1796-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/243 ～ 247】
«1796-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1796h　(翻刻編集終了データを表成型して表示します)】
«1796-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1796ht (翻刻編集中データを表成型して表示します)】
«1796-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1796-0100»,«版元»,出版地○○,出版元□□□,　
«1796-0110»,«暦首»,寛政八年ひのえたつ乃宝暦甲戌元暦,畢宿|値年,凡三百五十四日
«1796-0120»,«大歳»,大さいたつの方,此方ニむかひて万よし|但木をきらす
«1796-0130»,«大將軍»,大しやうくんねの方,たつのとしまて|三年ふさかり
«1796-0140»,«大陰»,大おんとらの方,此方ニむかひて|さんをせす
«1796-0150»,«歳徳»,としとくあきの方|みむまの間万よし,ねうしとら|,金神,|うむまひつし
«1796-0160»,«歳刑»,さいけうたつの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1796-0170»,«歳破»,さいはいぬの方,むかひてわたましせす|ふねのりはしめす,正月小,二月大,三月小
«1796-0180»,«歳煞»,さいせつひつしの方,此方より|よめとらす,四月大,五月小,六月小
«1796-0190»,«黄幡»,わうはんたつの方,むかひて|弓はしめよし,七月大,八月小,九月大
«1796-0200»,«豹尾»,へうひいぬの方,むかひて大小へんせす|ちくるいもとめす,十月小,十一月大,十二月大
«1796-0210»,«月序»,正月,小,建,庚寅,室宿値月翼宿火曜値朔日
«1796-0220»,«正月»,一日,つちのえさる,やふる,土,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1796-0230»,«正月»,二日,つちのとのとり,あやふ,土,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1796-0240»,«三日»,三日,かのえいぬ,なる,金,　,●
«1796-0250»,«暦日1»,四〳,かのとのい,おさん,金,　,神よし 大みやう 天おん 母倉 月とく 大くわ ちう日
«1796-0260»,«暦日2»,五〳,みつのえね,ひらく,木,八せんのはしめ,神よし 天おん 母倉 天火 らうしやく
«1796-0270»,«暦日0»,六〳,みつのとのうし,とつ,,ま日,神よし 天おん きこ ちいみ  つめとりよし
«1796-0280»,«暦日2»,七〳,きのえとら,たつ,水,　,くゑ日 ふく日
«1796-0290»,«暦日0»,八〳,きのとのう,のそく,,　,神よし  ものたちよし
«1796-0300»,«暦日2»,九〳,ひのえたつ,みつ,土,ま日,大みやう 月とく
«1796-0310»,«暦日0»,十〳,ひのとのみ,たいら,,　,さい下しき ちう日 めつもん 地火
«1796-0320»,«暦日2»,十一〳,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
«1796-0330»,«暦日0»,十二〳,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
«1796-0340»,«節中»,雨水正月中さるの八刻日の出より日入まて,昼四十四刻余|夜五十五刻余,六より六まて,昼四十九刻余|夜五十刻余
«1796-0350»,«暦日2»,十三〳,かのえさる,やふる,木,　,神よし 大みやう ふく日
«1796-0360»,«暦日0»,十四〳,かのとのとり,あやふ,,　,十し
«1796-0370»,«暦日2»,十五〳,みつのえいぬ,なる,水,ま日,●
«1796-0380»,«暦日0»,十六〳,みつのとのい,おさん,,八せんのおはり,母倉 大くわ ちう日  けんふくよし
«1796-0390»,«暦日2»,十七〳,きのえね,ひらく,金,　,天おん 母倉 ふく日 天火 らうしやく
«1796-0400»,«暦日0»,十八〳,きのとのうし,とつ,,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
«1796-0410»,«暦日2»,十九〳,ひのえとら,たつ,火,　,天おん 月とく  つめとりよし
«1796-0420»,«暦日0»,廿〳,ひのとのう,のそく,,　,神よし 天おん  あさまきよし
«1796-0430»,«暦日2»,廿一〳,つちのえたつ,みつ,木,　,天おん 五む日  みそつくりよし
«1796-0440»,«暦日0»,廿二〳,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
«1796-0450»,«暦日2»,廿三〳,かのえむま,さたん,土,　,神よし ふく日
«1796-0460»,«暦日0»,廿四〳,かのとのひつし,とる,,　,大みやう 月とく  いちたちよし
«1796-0470»,«暦日2»,廿五〳,みつのえさる,やふる,金,　,神よし きしく 大みやう
«1796-0480»,«暦日0»,廿六〳,みつのとのとり,あやふ,,　,十し
«1796-0490»,«暦日1»,廿七〳,きのえいぬ,あやふ,火,　,月とく  かといてよし
«1796-0500»,«節中»,啓蟄二月せついの四刻ニ入日の出より日入まて,昼四十七刻余|夜五十二刻余,六より六まて,昼五十二刻余|夜四十七刻余
«1796-0510»,«暦日1»,廿八〳,きのとのい,なる,火,　,母倉 ちう日 ふく日  みそすつくりよし
«1796-0520»,«暦日1»,廿九〳,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
«1796-0530»,«月序»,二月,大,建,辛卯,壁宿　軫　水よう
«1796-0540»,«暦日1»,一〳,ひのとのうし,ひらく,水,　,大みやう  ものたち  つめとりよし
«1796-0550»,«暦日2»,二〳,つちのえとら,とつ,土,　,天しや よろつよし
«1796-0560»,«暦日0»,三〳,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
«1796-0570»,«暦日2»,四〳,かのえたつ,のそく,金,　,●
«1796-0580»,«暦日0»,五〳,かのとのみ,みつ,,　,十し
«1796-0590»,«暦日2»,六〳,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
«1796-0600»,«暦日0»,七〳,みつのとのひつし,さたん,,　,天おん ちいみ
«1796-0610»,«暦日2»,八〳,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
«1796-0620»,«暦日0»,九〳,きのとのとり,やふる,,ひかんニなる,ふく日
«1796-0630»,«暦日2»,十〳,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
«1796-0640»,«暦日0»,十一〳,ひのとのい,なる,,　,大みやう 母倉 ちう日 わうまう
«1796-0650»,«暦日2»,十二〳,つちのえね,おさん,火,社日,母倉 めつもん  けんふく たねかしよし
«1796-0660»,«暦日0»,十三〳,つちのとのうし,ひらく,,　,月とく  井ほり  つめとりよし
«1796-0670»,«暦日1»,十四〳,かのえとら,とつ,木,　,きこ  つめとりよし
«1796-0680»,«節中»,春分二月中今暁とらの一刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1796-0690»,«暦日1»,十五〳,かのとのう,たつ,木,　,ふく日 天火 らうしやく
«1796-0700»,«暦日2»,十六〳,みつのえたつ,のそく,水,　,●
«1796-0710»,«暦日0»,十七〳,みつのとのみ,みつ,,天一天上,十し
«1796-0720»,«暦日2»,十八〳,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
«1796-0730»,«暦日0»,十九〳,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
«1796-0740»,«暦日2»,廿〳,ひのえさる,とる,火,　,神よし
«1796-0750»,«暦日0»,廿一〳,ひのとのとり,やふる,,　, あさまき たねかしよし
«1796-0760»,«暦日2»,廿二〳,つちのえいぬ,あやふ,木,　, かといてよし
«1796-0770»,«暦日0»,廿三〳,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
«1796-0780»,«暦日2»,廿四〳,かのえね,おさん,土,　,神よし きしく 母倉 めつもん  よめとり たねかしよし
«1796-0790»,«暦日0»,廿五〳,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
«1796-0800»,«暦日2»,廿六〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1796-0810»,«暦日0»,廿七〳,みつのとのう,たつ,,　,天火 らうしやく
«1796-0820»,«暦日2»,廿八〳,きのえたつ,のそく,火,　,●
«1796-0830»,«暦日0»,廿九〳,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
«1796-0840»,«節中»,清明三月せつたつの六刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1796-0850»,«暦日1»,卅〳,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
«1796-0860»,«月序»,三月,小,建,壬辰,奎宿　亢　金よう
«1796-0870»,«暦日1»,一〳,ひのとのひつし,たいら,水,　,神よし 月とく めつもん 地火
«1796-0880»,«暦日2»,二〳,つちのえさる,さたん,土,　,くゑ日 ふく日
«1796-0890»,«暦日0»,三〳,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
«1796-0900»,«暦日2»,四〳,かのえいぬ,やふる,金,　,大みやう 天おん
«1796-0910»,«暦日0»,五〳,かのとのい,あやふ,,　,●
«1796-0920»,«暦日2»,六〳,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
«1796-0930»,«暦日0»,七〳,みつのとのうし,おさん,,ま日,十し
«1796-0940»,«暦日2»,八〳,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
«1796-0950»,«暦日0»,九〳,きのとのう,とつ,,　,神よし  ものたちよし
«1796-0960»,«暦日2»,十〳,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
