«1797-0000»,【 カンマ区切りテキスト形式です。】
«1797-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1797-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1797-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1797-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1797-0050»,【 外部リンク　】
«1797-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/247 ～ 251】
«1797-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1797h　(翻刻編集終了データを表成型して表示します)】
«1797-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1797ht (翻刻編集中データを表成型して表示します)】
«1797-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1797-0100»,«版元»,出版地○○,出版元□□□,　
«1797-0110»,«暦首»,寛政九年ひのとのみ乃宝暦甲戌元暦,觜宿|値年,凡三百八十四日
«1797-0120»,«大歳»,大さいみの方,此方ニむかひて万よし|但木をきらす
«1797-0130»,«大將軍»,大しやうくんうの方,ひつしのとしまて|三年ふさかり
«1797-0140»,«大陰»,大おんうの方,此方ニむかひて|さんをせす
«1797-0150»,«歳徳»,としとくあきの方|いねの間万よし,とらう|,金神,|いぬい
«1797-0160»,«歳刑»,さいけうさるの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1797-0170»,«歳破»,さいはいの方,むかひてわたましせす|ふねのりはしめす,正月大,二月小,三月大
«1797-0180»,«歳煞»,さいせつたつの方,此方より|よめとらす,四月小,五月大,六月小
«1797-0190»,«黄幡»,わうはんうしの方,むかひて|弓はしめよし,七月小|閏七月小,八月大,九月小
«1797-0200»,«豹尾»,へうひひつしの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月大,十二月大
«1797-0210»,«月序»,正月,大,建,壬寅,星宿値月胃宿土曜値朔日
«1797-0220»,«正月»,一日,みつのえとら,のそく,金,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1797-0230»,«正月»,二日,みつのとのう,みつ,金,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1797-0240»,«三日»,三日,きのえたつ,たいら,火,　,大みやう日 大くわ 地火
«1797-0250»,«暦日1»,四〳,きのとのみ,さたん,火,　,大みやう 母倉 月とく ちう日  いちたちよし
«1797-0260»,«暦日2»,五〳,ひのえむま,とる,水,　,神よし 大みやう 母倉  かといてよし
«1797-0270»,«暦日0»,六〳,ひのとのひつし,やふる,,　,くゑ日
«1797-0280»,«暦日2»,七〳,つちのえさる,あやふ,土,せつふん,きしく ふく日 わうまう  みそさけつくりよし
«1797-0290»,«暦日0»,八〳,つちのとのとり,あやふ,,　,十し
«1797-0300»,«節中»,立春正月せつとりの二刻ニ入日の出より日入まて,昼四十二刻余|夜五十七刻余,六より六まて,昼四十七刻余|夜五十二刻余
«1797-0310»,«暦日2»,九〳,かのえいぬ,なる,金,　,●
«1797-0320»,«暦日0»,十〳,かのとのい,おさん,,　,神よし 大みやう 天おん 母倉 月とく 大くわ ちう日
«1797-0330»,«暦日2»,十一〳,みつのえね,ひらく,木,八せんのはしめ,神よし 天おん 母倉 天火 らうしやく
«1797-0340»,«暦日0»,十二〳,みつのとのうし,とつ,,ま日,神よし 天おん きこ ちいみ  つめとりよし
«1797-0350»,«暦日2»,十三〳,きのえとら,たつ,水,　,くゑ日 ふく日
«1797-0360»,«暦日0»,十四〳,きのとのう,のそく,,　,わうまう  ものたちよし
«1797-0370»,«暦日2»,十五〳,ひのえたつ,みつ,土,ま日,大みやう 月とく
«1797-0380»,«暦日0»,十六〳,ひのとのみ,たいら,,　,ちう日 めつもん 地火
«1797-0390»,«暦日2»,十七〳,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
«1797-0400»,«暦日0»,十八〳,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
«1797-0410»,«暦日2»,十九〳,かのえさる,やふる,木,　,神よし 大みやう ふく日
«1797-0420»,«暦日0»,廿〳,かのとのとり,あやふ,,　,十し
«1797-0430»,«暦日2»,廿一〳,みつのえいぬ,なる,水,ま日,●
«1797-0440»,«暦日0»,廿二〳,みつのとのい,おさん,,八せんのおはり,母倉 大くわ ちう日  けんふくよし
«1797-0450»,«暦日1»,廿三〳,きのえね,ひらく,金,　,天おん 母倉 ふく日 天火 らうしやく
«1797-0460»,«節中»,雨水正月中いの七刻日の出より日入まて,昼四十四刻余|夜五十五刻余,六より六まて,昼四十九刻余|夜五十刻余
«1797-0470»,«暦日1»,廿四〳,きのとのうし,とつ,金,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
«1797-0480»,«暦日2»,廿五〳,ひのえとら,たつ,火,　,天おん 月とく  つめとりよし
«1797-0490»,«暦日0»,廿六〳,ひのとのう,のそく,,　,神よし 天おん  あさまきよし
«1797-0500»,«暦日2»,廿七〳,つちのえたつ,みつ,木,　,天おん 五む日  みそつくりよし
«1797-0510»,«暦日0»,廿八〳,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
«1797-0520»,«暦日2»,廿九〳,かのえむま,さたん,土,　,神よし ふく日
«1797-0530»,«暦日0»,卅〳,かのとのひつし,とる,,　,大みやう 月とく  いちたちよし
«1797-0540»,«月序»,二月,小,建,癸卯,張宿　畢　月よう
«1797-0550»,«暦日2»,一〳,みつのえさる,やふる,金,　,神よし 大みやう
«1797-0560»,«暦日0»,二〳,みつのとのとり,あやふ,,　,十し
«1797-0570»,«暦日2»,三〳,きのえいぬ,なる,火,　,●
«1797-0580»,«暦日0»,四〳,きのとのい,おさん,,　,母倉 大くわ ちう日
«1797-0590»,«暦日2»,五〳,ひのえね,ひらく,水,　,きしく 母倉 月とく 天火 らうしやく
«1797-0600»,«暦日0»,六〳,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
«1797-0610»,«暦日2»,七〳,つちのえとら,たつ,土,　,天しや よろつよし
«1797-0620»,«暦日0»,八〳,つちのとのう,のそく,,　,神よし 大みやう 天おん  みそさけつくり たねまきよし
«1797-0630»,«暦日1»,九〳,かのえたつ,のそく,金,　,●
«1797-0640»,«節中»,啓蟄二月せつ今暁とらの四刻ニ入日の出より日入まて,昼四十七刻余|夜五十二刻余,六より六まて,昼五十二刻余|夜四十七刻余
«1797-0650»,«暦日1»,十〳,かのとのみ,みつ,金,　,十し
«1797-0660»,«暦日2»,十一〳,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
«1797-0670»,«暦日0»,十二〳,みつのとのひつし,さたん,,　,天おん ちいみ
«1797-0680»,«暦日2»,十三〳,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
«1797-0690»,«暦日0»,十四〳,きのとのとり,やふる,,　,ふく日
«1797-0700»,«暦日2»,十五〳,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
«1797-0710»,«暦日0»,十六〳,ひのとのい,なる,,　,大みやう 母倉 ちう日
«1797-0720»,«暦日2»,十七〳,つちのえね,おさん,火,　,母倉 めつもん  けんふく たねかしよし
«1797-0730»,«暦日0»,十八〳,つちのとのうし,ひらく,,　,月とく  井ほり  つめとりよし
«1797-0740»,«暦日2»,十九〳,かのえとら,とつ,木,ひかんニなる,きこ  つめとりよし
«1797-0750»,«暦日0»,廿〳,かのとのう,たつ,,　,ふく日 天火 らうしやく
«1797-0760»,«暦日2»,廿一〳,みつのえたつ,のそく,水,　,●
«1797-0770»,«暦日0»,廿二〳,みつのとのみ,みつ,,天一天上,十し
«1797-0780»,«暦日2»,廿三〳,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
«1797-0790»,«暦日0»,廿四〳,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
«1797-0800»,«節中»,春分二月中みの初刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1797-0810»,«暦日2»,廿五〳,ひのえさる,とる,火,　,神よし
«1797-0820»,«暦日0»,廿六〳,ひのとのとり,やふる,,　, あさまき たねかしよし
«1797-0830»,«暦日2»,廿七〳,つちのえいぬ,あやふ,木,社日, かといてよし
