«1799-0000»,【 カンマ区切りテキスト形式です。】
«1799-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1799-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1799-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1799-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1799-0050»,【 外部リンク　】
«1799-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/256 ～ 261】
«1799-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1799h　(翻刻編集終了データを表成型して表示します)】
«1799-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1799ht (翻刻編集中データを表成型して表示します)】
«1799-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1799-0100»,«版元»,出版地○○,出版元□□□,　
«1799-0110»,«前書»,寛政九年新暦成|十月|進奏|賜名寛政暦
«1799-0120»,«暦首»,寛政十一年つちのとのひつし乃寛政暦,井宿|値年,凡三百五十四日
«1799-0130»,«大歳»,大さいひつしの方,此方ニむかひて万よし|但木をきらす
«1799-0140»,«大將軍»,大しやうくんうの方,ひつしのとしまて|三年ふさかり
«1799-0150»,«大陰»,大おんみの方,此方ニむかひて|さんをせす
«1799-0160»,«歳徳»,としとくあきの方|とらうの間万よし,むまひつし|,金神,|さるとり
«1799-0170»,«歳刑»,さいけううしの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1799-0180»,«歳破»,さいはうしの方,むかひてわたましせす|ふねのりはしめす,正月小,二月大,三月大
«1799-0190»,«歳煞»,さいせついぬの方,此方より|よめとらす,四月大,五月小,六月小
«1799-0200»,«黄幡»,わうはんひつしの方,むかひて|弓はしめよし,七月大,八月小,九月大
«1799-0210»,«豹尾»,へうひうしの方,むかひて大小へんせす|ちくるいもとめす,十月小,十一月小,十二月大
«1799-0220»,«月序»,正月,小,建,丙寅,參宿値月翼宿火曜値朔日
«1799-0230»,«正月»,一日,かのえさる,やふる,木,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1799-0240»,«節中»,立春正月せつうの四刻ニ入日の出より日入まて,昼四十三刻半|夜五十六刻半,六より六まて,昼四十八刻半余|夜五十一刻余
«1799-0250»,«正月»,二日,かのとのとり,あやふ,木,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1799-0260»,«三日»,三日,みつのえいぬ,なる,水,ま日,●
«1799-0270»,«暦日1»,四〳,みつのとのい,おさん,水,八せんのおはり,母倉 大くわ ちう日  けんふくよし
«1799-0280»,«暦日2»,五〳,きのえね,ひらく,金,　,天おん 母倉 ふく日 天火 らうしやく
«1799-0290»,«暦日0»,六〳,きのとのうし,とつ,,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
«1799-0300»,«暦日2»,七〳,ひのえとら,たつ,火,　,天おん 月とく わうまう  つめとりよし
«1799-0310»,«暦日0»,八〳,ひのとのう,のそく,,　,神よし 天おん  あさまきよし
«1799-0320»,«暦日2»,九〳,つちのえたつ,みつ,木,　,天おん 五む日  みそつくりよし
«1799-0330»,«暦日0»,十〳,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
«1799-0340»,«暦日2»,十一〳,かのえむま,さたん,土,　,神よし ふく日
«1799-0350»,«暦日0»,十二〳,かのとのひつし,とる,,　,大みやう 月とく  いちたちよし
«1799-0360»,«暦日2»,十三〳,みつのえさる,やふる,金,　,神よし 大みやう
«1799-0370»,«暦日0»,十四〳,みつのとのとり,あやふ,,　,十し
«1799-0380»,«暦日2»,十五〳,きのえいぬ,なる,火,　,●
«1799-0390»,«暦日0»,十六〳,きのとのい,おさん,,　,母倉 大くわ ちう日
«1799-0400»,«節中»,雨水正月中むまの一刻日の出より日入まて,昼四十五刻半余|夜五十四刻余,六より六まて,昼五十刻半余|夜四十九刻余
«1799-0410»,«暦日2»,十七〳,ひのえね,ひらく,水,　,母倉 月とく 天火 らうしやく
«1799-0420»,«暦日0»,十八〳,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
«1799-0430»,«暦日2»,十九〳,つちのえとら,たつ,土,　,天しや よろつよし
«1799-0440»,«暦日0»,廿〳,つちのとのう,のそく,,　,神よし 大みやう 天おん  みそさけつくり たねまきよし
«1799-0450»,«暦日2»,廿一〳,かのえたつ,みつ,金,　,天おん ふく日
«1799-0460»,«暦日0»,廿二〳,かのとのみ,たいら,,　,天おん 母倉 月とく ちう日 めつもん 地火
«1799-0470»,«暦日2»,廿三〳,みつのえむま,さたん,木,　,神よし 大みやう 天おん  木こりよし
«1799-0480»,«暦日0»,廿四〳,みつのとのひつし,とる,,　,天おん  たねまきよし
«1799-0490»,«暦日2»,廿五〳,きのえさる,やふる,水,十方くれニ入,神よし きしく 大みやう ふく日
«1799-0500»,«暦日0»,廿六〳,きのとのとり,あやふ,,　,十し
«1799-0510»,«暦日2»,廿七〳,ひのえいぬ,なる,土,　,●
«1799-0520»,«暦日0»,廿八〳,ひのとのい,おさん,,　,大みやう 母倉 大くわ ちう日
«1799-0530»,«暦日1»,廿九〳,つちのえね,ひらく,火,　,母倉 天火 らうしやく  けんふく 入学よし
«1799-0540»,«月序»,二月,大,建,丁卯,井宿　軫　水よう
«1799-0550»,«暦日1»,一〳,つちのとのうし,とつ,火,　,きこ ちいみ  井ほり  つめとりよし
«1799-0560»,«暦日1»,二〳,かのえとら,とつ,木,　,きこ  つめとりよし
«1799-0570»,«節中»,啓蟄二月せつさるの六刻ニ入日の出より日入まて,昼四十八刻|夜五十二刻,六より六まて,昼五十三刻|夜四十七刻
«1799-0580»,«暦日1»,三〳,かのとのう,たつ,木,　,ふく日 天火 らうしやく
«1799-0590»,«暦日2»,四〳,みつのえたつ,のそく,水,　,●
«1799-0600»,«暦日0»,五〳,みつのとのみ,みつ,,天一天上,十し
«1799-0610»,«暦日2»,六〳,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
«1799-0620»,«暦日0»,七〳,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
