《1802-0000》,# カンマ区切りテキスト形式です。
《1802-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1802-0020》,# ・表の区画内での改行は“/”で表記します。
《1802-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1802-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1802-0050》,# 外部リンク
《1802-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/271 ～ 275
《1802-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1802g　(GitHub上データを表成型)
《1802-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1802h　(翻刻編集データを表成型 - 未実装)
《1802-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1802-0100》,《版元》,出版地○○,出版元□□□,　
《1802-0110》,《暦首》,享和二年みつのえいぬ乃寛政暦,星宿/値年,凡三百五十四日
《1802-0120》,《大歳》,大さいいぬの方,此方ニむかひて万よし/但木をきらす
《1802-0130》,《大將軍》,大しやうくんむまの方,いぬのとしまて/三年ふさかり
《1802-0140》,《大陰》,大おんさるの方,此方ニむかひて/さんをせす
《1802-0150》,《歳徳》,　,としとくあきの方/いねの間万よし,とらう/,金神,/いぬい
《1802-0160》,《歳刑》,さいけうひつしの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1802-0170》,《歳破》,さいはたつの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月小
《1802-0180》,《歳煞》,さいせつうしの方,此方より/よめとらす,四月小,五月大,六月小
《1802-0190》,《黄幡》,わうはんいぬの方,むかひて/弓はしめよし,七月大,八月大,九月大
《1802-0200》,《豹尾》,へうひたつの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月小
《1802-0210》,《月序》,正月,小,建,壬寅,角宿値月軫宿水曜値朔日
《1802-0220》,《正月》,一日,みつのとのとり,なる,金,　,●
《1802-0230》,《正月》,二日,きのえいぬ,おさむ,火,吉事始/せつふん,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1802-0240》,《正月》,三日,きのとのい,おさむ,火,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1802-0250》,《節中》,立春正月せつ今夜ねの二刻ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《1802-0260》,《暦日2》,四／,ひのえね,ひらく,水,　,母倉 月とく 天火 らうしやく
《1802-0270》,《暦日0》,五／,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《1802-0280》,《暦日2》,六／,つちのえとら,たつ,土,　,天しや よろつよし
《1802-0290》,《暦日0》,七／,つちのとのう,のそく,,　,神よし 大みやう 天おん  みそさけつくり たねまきよし
《1802-0300》,《暦日2》,八／,かのえたつ,みつ,金,　,天おん ふく日
《1802-0310》,《暦日0》,九／,かのとのみ,たいら,,　,天おん 母倉 月とく ちう日 めつもん 地火 わうまう
《1802-0320》,《暦日2》,十／,みつのえむま,さたん,木,　,神よし 大みやう 天おん  木こりよし
《1802-0330》,《暦日0》,十一／,みつのとのひつし,とる,,　,天おん  たねまきよし
《1802-0340》,《暦日2》,十二／,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
《1802-0350》,《暦日0》,十三／,きのとのとり,あやふ,,　,十し
《1802-0360》,《暦日2》,十四／,ひのえいぬ,なる,土,　,●
《1802-0370》,《暦日0》,十五／,ひのとのい,おさん,,　,大みやう 母倉 大くわ ちう日
《1802-0380》,《暦日2》,十六／,つちのえね,ひらく,火,　,母倉 天火 らうしやく  けんふく 入学よし
《1802-0390》,《暦日0》,十七／,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
《1802-0400》,《暦日2》,十八／,かのえとら,たつ,木,　,ふく日  つめとりよし
《1802-0410》,《暦日0》,十九／,かのとのう,のそく,,　,くゑ日
《1802-0420》,《節中》,雨水正月中今暁とらの七刻日の出より日入まて,昼四十五刻半余/夜五十四刻余,六より六まて,昼五十刻半余/夜四十九刻余
《1802-0430》,《暦日2》,廿／,みつのえたつ,みつ,水,　,大みやう 五む日
《1802-0440》,《暦日0》,廿一／,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
《1802-0450》,《暦日2》,廿二／,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
《1802-0460》,《暦日0》,廿三／,きのとのひつし,とる,,　,大みやう 五む日
《1802-0470》,《暦日2》,廿四／,ひのえさる,やふる,火,　,神よし きしく 月とく
《1802-0480》,《暦日0》,廿五／,ひのとのとり,あやふ,,　,十し
《1802-0490》,《暦日2》,廿六／,つちのえいぬ,なる,木,　,●
《1802-0500》,《暦日0》,廿七／,つちのとのい,おさん,,　,神よし 母倉 大くわ ちう日
《1802-0510》,《暦日2》,廿八／,かのえね,ひらく,土,　,神よし 母倉 ふく日 天火 らうしやく
《1802-0520》,《暦日0》,廿九／,かのとのうし,とつ,,　,神よし 月とく 五む日 きこ ちいみ  ものたち  つめとりよし
《1802-0530》,《月序》,二月,大,建,癸卯,亢宿　角　木よう
《1802-0540》,《暦日2》,一／,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
《1802-0550》,《暦日0》,二／,みつのとのう,のそく,,　,神よし  あさまきよし
《1802-0560》,《暦日2》,三／,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
《1802-0570》,《暦日0》,四／,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
《1802-0580》,《暦日1》,五／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《1802-0590》,《節中》,啓蟄二月せつみの四刻ニ入日の出より日入まて,昼四十八刻/夜五十二刻,六より六まて,昼五十三刻/夜四十七刻
《1802-0600》,《暦日1》,六／,ひのとのひつし,さたん,水,　,神よし ちいみ
《1802-0610》,《暦日2》,七／,つちのえさる,とる,土,　,神よし  たねまきよし
《1802-0620》,《暦日0》,八／,つちのとのとり,やふる,,　,大みやう 天おん 月とく
《1802-0630》,《暦日2》,九／,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
《1802-0640》,《暦日0》,十／,かのとのい,なる,,　,さい下しき 神よし 大みやう 天おん 母倉 ちう日 ふく日
《1802-0650》,《暦日2》,十一／,みつのえね,おさん,木,八せんのはしめ,神よし 天おん 母倉 めつもん  あさまきよし
《1802-0660》,《暦日0》,十二／,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
《1802-0670》,《暦日2》,十三／,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
《1802-0680》,《暦日0》,十四／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
《1802-0690》,《暦日2》,十五／,ひのえたつ,のそく,土,ま日/ひかんニなる,●
《1802-0700》,《暦日0》,十六／,ひのとのみ,みつ,,　,十し
《1802-0710》,《食記》,月蝕四分半
《1802-0720》,《暦日2》,十七／,つちのえむま,たいら,火,ま日/社日,神よし 大くわ 地火
《1802-0730》,《暦日0》,十八／,つちのとのひつし,さたん,,　,大みやう 月とく ちいみ わうまう  たねかしよし
《1802-0740》,《暦日2》,十九／,かのえさる,とる,木,　,神よし 大みやう
《1802-0750》,《暦日0》,廿／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《1802-0760》,《節中》,春分二月中さるの初刻日の出より日入まて,昼五十刻余/夜四十九刻半余,六より六まて,昼五十五刻余/夜四十四刻半余
《1802-0770》,《暦日2》,廿一／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《1802-0780》,《暦日0》,廿二／,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
《1802-0790》,《暦日2》,廿三／,きのえね,おさん,金,　,きしく 天おん 母倉 月とく めつもん
《1802-0800》,《暦日0》,廿四／,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
《1802-0810》,《暦日2》,廿五／,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
《1802-0820》,《暦日0》,廿六／,ひのとのう,たつ,,　,天おん 天火 らうしやく
《1802-0830》,《暦日2》,廿七／,つちのえたつ,のそく,木,　,●
《1802-0840》,《暦日0》,廿八／,つちのとのみ,みつ,,　,十し
《1802-0850》,《暦日2》,廿九／,かのえむま,たいら,土,　,神よし 大くわ 地火
《1802-0860》,《暦日0》,卅／,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《1802-0870》,《月序》,三月,小,建,甲辰,氐宿　氐　土よう
《1802-0880》,《暦日2》,一／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《1802-0890》,《暦日0》,二／,みつのとのとり,やふる,,　,大みやう  やたてよし
《1802-0900》,《暦日2》,三／,きのえいぬ,あやふ,火,　,月とく  かといてよし
《1802-0910》,《暦日0》,四／,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
《1802-0920》,《暦日1》,五／,ひのえね,なる,水,　,きこ
《1802-0930》,《節中》,清明三月せついぬの六刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《1802-0940》,《暦日1》,六／,ひのとのうし,おさん,水,　,十し
《1802-0950》,《暦日2》,七／,つちのえとら,ひらく,土,　,天しや よろつよし
《1802-0960》,《暦日0》,八／,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
《1802-0970》,《暦日2》,九／,かのえたつ,たつ,金,　,くゑ日
《1802-0980》,《暦日0》,十／,かのとのみ,のそく,,　,天おん 母倉 ちう日
《1802-0990》,《暦日2》,十一／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《1802-1000》,《暦日0》,十二／,みつのとのひつし,たいら,,　,天おん めつもん 地火
《1802-1010》,《暦日2》,十三／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《1802-1020》,《暦日0》,十四／,きのとのとり,とる,,　,神よし  くさかりよし
《1802-1030》,《暦日2》,十五／,ひのえいぬ,やふる,土,　,五む日
《1802-1040》,《暦日0》,十六／,ひのとのい,あやふ,,　,●
《1802-1050》,《暦日2》,十七／,つちのえね,なる,火,　,母倉 きこ ふく日
《1802-1060》,《暦日0》,十八／,つちのとのうし,おさん,,とよう今暁ねの六刻ニ入,十し
《1802-1070》,《暦日2》,十九／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1802-1080》,《暦日0》,廿／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1802-1090》,《暦日1》,廿一／,みつのえたつ,たつ,水,　,きしく 大みやう 月とく 五む日
