《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/11 ～ 15
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1807g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1807h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,文化四年ひのとのう乃寛政暦,亢宿/値年,凡三百五十五日
《0120》,《大歳》,大さいうの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんねの方,たつのとしまて/三年ふさかり
《0140》,《大陰》,大おんうしの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/いねの間万よし,とらう/,金神,/いぬい
《0160》,《歳刑》,さいけうねの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはとりの方,むかひてわたましせす/ふねのりはしめす,正月大,二月大,三月大
《0180》,《歳煞》,さいせついぬの方,此方より/よめとらす,四月小,五月大,六月小
《0190》,《黄幡》,わうはんひつしの方,むかひて/弓はしめよし,七月小,八月大,九月小
《0200》,《豹尾》,へうひうしの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月大
《0210》,《月序》,正月,大,建,壬寅,心宿値月女宿土曜値朔日
《0220》,《正月》,一日,みつのとのう,のそく,金,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《正月》,二日,きのえたつ,みつ,火,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0240》,《三日》,三日,きのとのみ,たいら,火,　,神よし 大みやう日 ちう日 めつもん 地火
《0250》,《暦日2》,四／,ひのえむま,さたん,水,　,神よし 大みやう 月とく  わたましよし
《0260》,《暦日0》,五／,ひのとのひつし,とる,,　,神よし  かといてよし
《0270》,《暦日2》,六／,つちのえさる,やふる,土,　,わうまう  たねまきよし
《0280》,《暦日0》,七／,つちのとのとり,あやふ,,　,十し
《0290》,《暦日2》,八／,かのえいぬ,なる,金,　,●
《0300》,《暦日0》,九／,かのとのい,おさん,,　,神よし 大みやう 天おん 母倉 月とく 大くわ ちう日
《0310》,《暦日2》,十／,みつのえね,ひらく,木,八せんのはしめ,神よし 天おん 母倉 天火 らうしやく
《0320》,《暦日0》,十一／,みつのとのうし,とつ,,ま日,神よし 天おん きこ ちいみ  つめとりよし
《0330》,《暦日2》,十二／,きのえとら,たつ,水,　,くゑ日 ふく日
《0340》,《暦日0》,十三／,きのとのう,のそく,,　,神よし  ものたちよし
《0350》,《暦日2》,十四／,ひのえたつ,みつ,土,ま日,きしく 大みやう 月とく
《0360》,《暦日0》,十五／,ひのとのみ,たいら,,　,ちう日 めつもん 地火
《0370》,《節中》,雨水正月中みの三刻日の出より日入まて,昼四十五刻半余/夜五十四刻余,六より六まて,昼五十刻半余/夜四十九刻余
《0380》,《暦日2》,十六／,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
《0390》,《暦日0》,十七／,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
《0400》,《暦日2》,十八／,かのえさる,やふる,木,　,神よし 大みやう ふく日
《0410》,《暦日0》,十九／,かのとのとり,あやふ,,　,十し
《0420》,《暦日2》,廿／,みつのえいぬ,なる,水,ま日,●
《0430》,《暦日0》,廿一／,みつのとのい,おさん,,八せんのおはり,母倉 大くわ ちう日  けんふくよし
《0440》,《暦日2》,廿二／,きのえね,ひらく,金,　,天おん 母倉 ふく日 天火 らうしやく
《0450》,《暦日0》,廿三／,きのとのうし,とつ,,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
《0460》,《暦日2》,廿四／,ひのえとら,たつ,火,　,天おん 月とく  つめとりよし
《0470》,《暦日0》,廿五／,ひのとのう,のそく,,　,神よし 天おん  あさまきよし
《0480》,《暦日2》,廿六／,つちのえたつ,みつ,木,　,天おん 五む日  みそつくりよし
《0490》,《暦日0》,廿七／,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
《0500》,《暦日2》,廿八／,かのえむま,さたん,土,　,神よし ふく日
《0510》,《暦日0》,廿九／,かのとのひつし,とる,,　,大みやう 月とく  いちたちよし
《0520》,《暦日1》,卅／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《0530》,《節中》,啓蟄二月せつひつしの八刻ニ入日の出より日入まて,昼四十八刻/夜五十二刻,六より六まて,昼五十三刻/夜四十七刻
《0540》,《月序》,二月,大,建,癸卯,尾宿　危　月よう
《0550》,《暦日1》,一／,みつのとのとり,やふる,金,　,大みやう  やたてよし
《0560》,《暦日2》,二／,きのえいぬ,あやふ,火,　,月とく  かといてよし
《0570》,《暦日0》,三／,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
《0580》,《暦日2》,四／,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
《0590》,《暦日0》,五／,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
《0600》,《暦日2》,六／,つちのえとら,とつ,土,　,天しや よろつよし
《0610》,《暦日0》,七／,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく 金性の人うけニ入
《0620》,《暦日2》,八／,かのえたつ,のそく,金,　,●
《0630》,《暦日0》,九／,かのとのみ,みつ,,　,十し
《0640》,《暦日2》,十／,みつのえむま,たいら,木,ひかんニなる,神よし 大みやう 天おん 大くわ 地火
《0650》,《暦日0》,十一／,みつのとのひつし,さたん,,　,天おん ちいみ
《0660》,《暦日2》,十二／,きのえさる,とる,水,十方くれニ入,神よし きしく 大みやう 月とく  入学よし
《0670》,《暦日0》,十三／,きのとのとり,やふる,,　,ふく日 わうまう
《0680》,《暦日2》,十四／,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
《0690》,《暦日0》,十五／,ひのとのい,なる,,　,大みやう 母倉 ちう日
《0700》,《節中》,春分二月中いぬの五刻日の出より日入まて,昼五十刻余/夜四十九刻半余,六より六まて,昼五十五刻余/夜四十四刻半余
《0710》,《暦日2》,十六／,つちのえね,おさん,火,社日,母倉 めつもん  けんふく たねかしよし
《0720》,《暦日0》,十七／,つちのとのうし,ひらく,,　,月とく  井ほり  つめとりよし
《0730》,《暦日2》,十八／,かのえとら,とつ,木,　,きこ  つめとりよし
《0740》,《暦日0》,十九／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《0750》,《暦日2》,廿／,みつのえたつ,のそく,水,　,●
《0760》,《暦日0》,廿一／,みつのとのみ,みつ,,天一天上,十し
《0770》,《暦日2》,廿二／,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
《0780》,《暦日0》,廿三／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《0790》,《暦日2》,廿四／,ひのえさる,とる,火,　,神よし
《0800》,《暦日0》,廿五／,ひのとのとり,やふる,,　, あさまき たねかしよし
《0810》,《暦日2》,廿六／,つちのえいぬ,あやふ,木,　, かといてよし
《0820》,《暦日0》,廿七／,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
《0830》,《暦日2》,廿八／,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
《0840》,《暦日0》,廿九／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
《0850》,《暦日1》,卅／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《0860》,《月序》,三月,大,建,甲辰,箕宿　壁　水よう
《0870》,《暦日1》,一／,みつのとのう,とつ,金,　,神よし  けんふく かといてよし
《0880》,《節中》,清明三月せつ今暁うしの二刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《0890》,《暦日2》,二／,きのえたつ,たつ,火,　,大みやう くゑ日
《0900》,《暦日0》,三／,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
《0910》,《暦日2》,四／,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
《0920》,《暦日0》,五／,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
《0930》,《暦日2》,六／,つちのえさる,さたん,土,　,くゑ日 ふく日
《0940》,《暦日0》,七／,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
《0950》,《暦日2》,八／,かのえいぬ,やふる,金,　,大みやう 天おん
《0960》,《暦日0》,九／,かのとのい,あやふ,,　,●
《0970》,《暦日2》,十／,みつのえね,なる,木,八せんのはしめ,神よし きしく 天おん 母倉 月とく きこ
《0980》,《暦日0》,十一／,みつのとのうし,おさん,,ま日,十し
《0990》,《暦日2》,十二／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1000》,《暦日0》,十三／,きのとのう,とつ,,とよううの三刻ニ入,神よし  ものたちよし
《1010》,《暦日2》,十四／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《1020》,《暦日0》,十五／,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
《1030》,《暦日1》,十六／,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
《1040》,《節中》,穀雨三月中うの七刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《1050》,《暦日1》,十七／,つちのとのひつし,たいら,火,　,神よし 大みやう ふく日 めつもん 地火
《1060》,《暦日2》,十八／,かのえさる,さたん,木,　,大みやう くゑ日
《1070》,《暦日0》,十九／,かのとのとり,とる,,　,神よし 大みやう  井ほりよし
《1080》,《暦日2》,廿／,みつのえいぬ,やふる,水,ま日,月とく
《1090》,《暦日0》,廿一／,みつのとのい,あやふ,,八せんのおはり,●
《1100》,《暦日2》,廿二／,きのえね,なる,金,　,くゑ日 きこ
《1110》,《暦日0》,廿三／,きのとのうし,おさん,,　,十し
《1120》,《暦日2》,廿四／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
