《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/15 ～ 19
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1808g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1808h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,文化五年つちのえたつ乃寛政暦,氐宿/値年,凡三百八十三日
《0120》,《大歳》,大さいたつの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんねの方,たつのとしまて/三年ふさかり
《0140》,《大陰》,大おんとらの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/みむまの間万よし,ねうし/,金神,/さるとり
《0160》,《歳刑》,さいけうたつの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはいぬの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月大
《0180》,《歳煞》,さいせつひつしの方,此方より/よめとらす,四月小,五月大,六月小/閏六月大
《0190》,《黄幡》,わうはんたつの方,むかひて/弓はしめよし,七月小,八月大,九月小
《0200》,《豹尾》,へうひいぬの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月小
《0210》,《月序》,正月,小,建,甲寅,胃宿値月角宿木曜値朔日
《0220》,《正月》,一日,つちのえいぬ,おさむ,木,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《正月》,二日,つちのとのい,ひらく,木,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0240》,《三日》,三日,かのえね,とつ,土,　,神よし 月とく きこ ちいみ
《0250》,《暦日1》,四／,かのとのうし,たつ,土,　,十し
《0260》,《暦日2》,五／,みつのえとら,のそく,金,　,大みやう  けんふく  つめとりよし
《0270》,《暦日0》,六／,みつのとのう,みつ,,　,神よし  わたましよし
《0280》,《暦日2》,七／,きのえたつ,たいら,火,　,大みやう 大くわ 地火
《0290》,《暦日0》,八／,きのとのみ,さたん,,　,大みやう 母倉 月とく ちう日 わうまう  いちたちよし
《0300》,《暦日2》,九／,ひのえむま,とる,水,せつふん,神よし 大みやう 母倉  かといてよし
《0310》,《暦日0》,十／,ひのとのひつし,とる,,　,神よし  かといてよし
《0320》,《節中》,立春正月せつみの五刻ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《0330》,《暦日2》,十一／,つちのえさる,やふる,土,　,神よし  たねまきよし
《0340》,《暦日0》,十二／,つちのとのとり,あやふ,,　,十し
《0350》,《暦日2》,十三／,かのえいぬ,なる,金,　,●
《0360》,《暦日0》,十四／,かのとのい,おさん,,　,神よし 大みやう 天おん 母倉 月とく 大くわ ちう日
《0370》,《暦日2》,十五／,みつのえね,ひらく,木,八せんのはしめ,神よし 天おん 母倉 天火 らうしやく
《0380》,《暦日0》,十六／,みつのとのうし,とつ,,ま日,天おん きこ ちいみ わうまう  つめとりよし
《0390》,《暦日2》,十七／,きのえとら,たつ,水,　,くゑ日 ふく日
《0400》,《暦日0》,十八／,きのとのう,のそく,,　,神よし  ものたちよし
《0410》,《暦日2》,十九／,ひのえたつ,みつ,土,ま日,大みやう 月とく
《0420》,《暦日0》,廿／,ひのとのみ,たいら,,　,さい下しき ちう日 めつもん 地火
《0430》,《暦日2》,廿一／,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
《0440》,《暦日0》,廿二／,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
《0450》,《暦日2》,廿三／,かのえさる,やふる,木,　,神よし きしく 大みやう ふく日
《0460》,《暦日0》,廿四／,かのとのとり,あやふ,,　,十し
《0470》,《暦日1》,廿五／,みつのえいぬ,なる,水,ま日,●
《0480》,《節中》,雨水正月中さるの二刻日の出より日入まて,昼四十五刻半余/夜五十四刻余,六より六まて,昼五十刻半余/夜四十九刻余
《0490》,《暦日1》,廿六／,みつのとのい,おさん,水,八せんのおはり,母倉 大くわ ちう日  けんふくよし
《0500》,《暦日2》,廿七／,きのえね,ひらく,金,　,天おん 母倉 ふく日 天火 らうしやく
《0510》,《暦日0》,廿八／,きのとのうし,とつ,,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
《0520》,《暦日1》,廿九／,ひのえとら,たつ,火,　,天おん 月とく  つめとりよし
《0530》,《月序》,二月,大,建,乙卯,昴宿　亢　金よう
《0540》,《暦日1》,一／,ひのとのう,のそく,火,　,神よし 天おん  あさまきよし
《0550》,《暦日2》,二／,つちのえたつ,みつ,木,　,天おん 五む日  みそつくりよし
《0560》,《暦日0》,三／,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
《0570》,《暦日2》,四／,かのえむま,さたん,土,　,神よし ふく日
《0580》,《暦日0》,五／,かのとのひつし,とる,,　,大みやう 月とく  いちたちよし
《0590》,《暦日2》,六／,みつのえさる,やふる,金,　,神よし 大みやう
《0600》,《暦日0》,七／,みつのとのとり,あやふ,,　,十し
《0610》,《暦日2》,八／,きのえいぬ,なる,火,　,●
《0620》,《暦日0》,九／,きのとのい,おさん,,　,母倉 大くわ ちう日
《0630》,《暦日2》,十／,ひのえね,ひらく,水,　,母倉 月とく 天火 らうしやく
《0640》,《暦日0》,十一／,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
《0650》,《節中》,啓蟄二月せついぬの七刻ニ入日の出より日入まて,昼四十八刻/夜五十二刻,六より六まて,昼五十三刻/夜四十七刻
《0660》,《暦日2》,十二／,つちのえとら,とつ,土,　,天しや よろつよし
《0670》,《暦日0》,十三／,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
《0680》,《暦日2》,十四／,かのえたつ,のそく,金,　,●
《0690》,《暦日0》,十五／,かのとのみ,みつ,,　,十し
《0700》,《暦日2》,十六／,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
《0710》,《暦日0》,十七／,みつのとのひつし,さたん,,　,天おん ちいみ
《0720》,《暦日2》,十八／,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
《0730》,《暦日0》,十九／,きのとのとり,やふる,,　,ふく日
《0740》,《暦日2》,廿／,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
《0750》,《暦日0》,廿一／,ひのとのい,なる,,　,大みやう 母倉 ちう日
《0760》,《暦日2》,廿二／,つちのえね,おさん,火,社日/ひかんニなる,きしく 母倉 めつもん  けんふく たねかしよし
