«1809-0000»,【 カンマ区切りテキスト形式です。】
«1809-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1809-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1809-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1809-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1809-0050»,【 外部リンク　】
«1809-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/20 ～ 23】
«1809-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1809h　(翻刻編集終了データを表成型して表示します)】
«1809-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1809ht (翻刻編集中データを表成型して表示します)】
«1809-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1809-0100»,«版元»,出版地○○,出版元□□□,　
«1809-0110»,«暦首»,文化六年つちのとのみ乃寛政暦,房宿|値年,凡三百五十五日
«1809-0120»,«大歳»,大さいみの方,此方ニむかひて万よし|但木をきらす
«1809-0130»,«大將軍»,大しやうくんうの方,ひつしのとしまて|三年ふさかり
«1809-0140»,«大陰»,大おんうの方,此方ニむかひて|さんをせす
«1809-0150»,«歳徳»,としとくあきの方|とらうの間万よし,むまひつし|,金神,|さるとり
«1809-0160»,«歳刑»,さいけうさるの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1809-0170»,«歳破»,さいはいの方,むかひてわたましせす|ふねのりはしめす,正月大,二月大,三月小
«1809-0180»,«歳煞»,さいせつたつの方,此方より|よめとらす,四月大,五月大,六月小
«1809-0190»,«黄幡»,わうはんうしの方,むかひて|弓はしめよし,七月大,八月小,九月大
«1809-0200»,«豹尾»,へうひひつしの方,むかひて大小へんせす|ちくるいもとめす,十月小,十一月大,十二月小
«1809-0210»,«月序»,正月,大,建,丙寅,角宿値月觜宿火曜値朔日
«1809-0220»,«正月»,一日,かのとのとり,あやふ,木,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1809-0230»,«正月»,二日,みつのえいぬ,なる,水,ま日,●
«1809-0240»,«正月»,三日,みつのとのい,おさむ,水,八せんのおはり,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1809-0250»,«暦日2»,四〳,きのえね,ひらく,金,　,きしく 天おん 母倉 ふく日 天火 らうしやく
«1809-0260»,«暦日0»,五〳,きのとのうし,とつ,,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
«1809-0270»,«暦日2»,六〳,ひのえとら,たつ,火,　,天おん 月とく  つめとりよし
«1809-0280»,«暦日0»,七〳,ひのとのう,のそく,,　,神よし 天おん  あさまきよし
«1809-0290»,«節中»,雨水正月中いの一刻日の出より日入まて,昼四十五刻半余|夜五十四刻余,六より六まて,昼五十刻半余|夜四十九刻余
«1809-0300»,«暦日2»,八〳,つちのえたつ,みつ,木,　,天おん 五む日  みそつくりよし
«1809-0310»,«暦日0»,九〳,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
«1809-0320»,«暦日2»,十〳,かのえむま,さたん,土,　,神よし ふく日
«1809-0330»,«暦日0»,十一〳,かのとのひつし,とる,,　,大みやう 月とく  いちたちよし
«1809-0340»,«暦日2»,十二〳,みつのえさる,やふる,金,　,神よし 大みやう
«1809-0350»,«暦日0»,十三〳,みつのとのとり,あやふ,,　,十し
«1809-0360»,«暦日2»,十四〳,きのえいぬ,なる,火,　,●
«1809-0370»,«暦日0»,十五〳,きのとのい,おさん,,　,母倉 大くわ ちう日
«1809-0380»,«暦日2»,十六〳,ひのえね,ひらく,水,　,母倉 月とく 天火 らうしやく
«1809-0390»,«暦日0»,十七〳,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
