«1810-0000»,【 カンマ区切りテキスト形式です。】
«1810-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1810-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1810-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1810-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1810-0050»,【 外部リンク　】
«1810-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/24 ～ 27】
«1810-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1810h　(翻刻編集終了データを表成型して表示します)】
«1810-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1810ht (翻刻編集中データを表成型して表示します)】
«1810-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1810-0100»,«版元»,出版地○○,出版元□□□,　
«1810-0110»,«暦首»,文化七年かのえむま乃寛政暦,心宿|値年,凡三百五十五日
«1810-0120»,«大歳»,大さいむまの方,此方ニむかひて万よし|但木をきらす
«1810-0130»,«大將軍»,大しやうくんうの方,ひつしのとしまて|三年ふさかり
«1810-0140»,«大陰»,大おんたつの方,此方ニむかひて|さんをせす
«1810-0150»,«歳徳»,としとくあきの方|さるとりの間万よし,たつ|,金神,|み
«1810-0160»,«歳刑»,さいけうむまの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1810-0170»,«歳破»,さいはねの方,むかひてわたましせす|ふねのりはしめす,正月小,二月大,三月小
«1810-0180»,«歳煞»,さいせつうしの方,此方より|よめとらす,四月大,五月大,六月小
«1810-0190»,«黄幡»,わうはんいぬの方,むかひて|弓はしめよし,七月大,八月大,九月小
«1810-0200»,«豹尾»,へうひたつの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月小,十二月大
«1810-0210»,«月序»,正月,小,建,戊寅,室宿値月虛宿日曜値朔日
«1810-0220»,«正月»,一日,ひのえたつ,たいら,土,吉事始|せつふん|ま日,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1810-0230»,«正月»,二日,ひのとのみ,たいら,土,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1810-0240»,«節中»,立春正月せついの四刻ニ入日の出より日入まて,昼四十三刻半|夜五十六刻半,六より六まて,昼四十八刻半余|夜五十一刻余
«1810-0250»,«三日»,三日,つちのえむま,さたむ,火,ま日,神よし
«1810-0260»,«暦日1»,四〳,つちのとのひつし,とる,火,　,神よし 大みやう  かといて たねまきよし
«1810-0270»,«暦日2»,五〳,かのえさる,やふる,木,　,神よし 大みやう ふく日
«1810-0280»,«暦日0»,六〳,かのとのとり,あやふ,,　,十し
«1810-0290»,«暦日2»,七〳,みつのえいぬ,なる,水,ま日,●
«1810-0300»,«暦日0»,八〳,みつのとのい,おさん,,八せんのおはり,母倉 大くわ ちう日  けんふくよし
«1810-0310»,«暦日2»,九〳,きのえね,ひらく,金,　,天おん 母倉 ふく日 天火 らうしやく
«1810-0320»,«暦日0»,十〳,きのとのうし,とつ,,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
«1810-0330»,«暦日2»,十一〳,ひのえとら,たつ,火,　,天おん 月とく  つめとりよし
«1810-0340»,«暦日0»,十二〳,ひのとのう,のそく,,　,神よし 天おん  あさまきよし
«1810-0350»,«暦日2»,十三〳,つちのえたつ,みつ,木,　,きしく 天おん 五む日  みそつくりよし
«1810-0360»,«暦日0»,十四〳,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
«1810-0370»,«暦日2»,十五〳,かのえむま,さたん,土,　,神よし ふく日
«1810-0380»,«暦日0»,十六〳,かのとのひつし,とる,,　,大みやう 月とく  いちたちよし
«1810-0390»,«暦日2»,十七〳,みつのえさる,やふる,金,　,神よし 大みやう
«1810-0400»,«暦日0»,十八〳,みつのとのとり,あやふ,,　,十し
«1810-0410»,«節中»,雨水正月中今暁とらの一刻日の出より日入まて,昼四十五刻半余|夜五十四刻余,六より六まて,昼五十刻半余|夜四十九刻余
«1810-0420»,«暦日2»,十九〳,きのえいぬ,なる,火,　,●
«1810-0430»,«暦日0»,廿〳,きのとのい,おさん,,　,母倉 大くわ ちう日
«1810-0440»,«暦日2»,廿一〳,ひのえね,ひらく,水,　,母倉 月とく 天火 らうしやく
«1810-0450»,«暦日0»,廿二〳,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
«1810-0460»,«暦日2»,廿三〳,つちのえとら,たつ,土,　,天しや よろつよし
«1810-0470»,«暦日0»,廿四〳,つちのとのう,のそく,,　,神よし 大みやう 天おん  みそさけつくり たねまきよし
«1810-0480»,«暦日2»,廿五〳,かのえたつ,みつ,金,　,天おん ふく日
«1810-0490»,«暦日0»,廿六〳,かのとのみ,たいら,,　,天おん 母倉 月とく ちう日 めつもん 地火
«1810-0500»,«暦日2»,廿七〳,みつのえむま,さたん,木,　,神よし 大みやう 天おん  木こりよし
«1810-0510»,«暦日0»,廿八〳,みつのとのひつし,とる,,　,天おん  たねまきよし
«1810-0520»,«暦日1»,廿九〳,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
«1810-0530»,«月序»,二月,大,建,己卯,壁宿　危　月よう
«1810-0540»,«暦日1»,一〳,きのとのとり,あやふ,水,　,十し
«1810-0550»,«暦日2»,二〳,ひのえいぬ,なる,土,　,●
«1810-0560»,«暦日0»,三〳,ひのとのい,おさん,,　,大みやう 母倉 大くわ ちう日
«1810-0570»,«暦日1»,四〳,つちのえね,おさん,火,　,母倉 めつもん  けんふく たねかしよし
«1810-0580»,«節中»,啓蟄二月せつたつの六刻ニ入日の出より日入まて,昼四十八刻|夜五十二刻,六より六まて,昼五十三刻|夜四十七刻
«1810-0590»,«暦日1»,五〳,つちのとのうし,ひらく,火,　,月とく  井ほり  つめとりよし
«1810-0600»,«暦日2»,六〳,かのえとら,とつ,木,　,きこ  つめとりよし
«1810-0610»,«暦日0»,七〳,かのとのう,たつ,,　,ふく日 天火 らうしやく
«1810-0620»,«暦日2»,八〳,みつのえたつ,のそく,水,　,●
«1810-0630»,«暦日0»,九〳,みつのとのみ,みつ,,天一天上,十し
«1810-0640»,«暦日2»,十〳,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
«1810-0650»,«暦日0»,十一〳,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
«1810-0660»,«暦日2»,十二〳,ひのえさる,とる,火,　,神よし きしく
«1810-0670»,«暦日0»,十三〳,ひのとのとり,やふる,,　, あさまき たねかしよし
«1810-0680»,«暦日2»,十四〳,つちのえいぬ,あやふ,木,社日|ひかんニなる, かといてよし
«1810-0690»,«暦日0»,十五〳,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
«1810-0700»,«暦日2»,十六〳,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
«1810-0710»,«暦日0»,十七〳,かのとのうし,ひらく,,　,五む日 ふく日 わうまう  ものたち  つめとりよし
«1810-0720»,«暦日2»,十八〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1810-0730»,«暦日0»,十九〳,みつのとのう,たつ,,　,天火 らうしやく
«1810-0740»,«節中»,春分二月中ひつしの三刻日の出より日入まて,昼五十刻余|夜四十九刻半余,六より六まて,昼五十五刻余|夜四十四刻半余
«1810-0750»,«暦日2»,廿〳,きのえたつ,のそく,火,　,●
«1810-0760»,«暦日0»,廿一〳,きのとのみ,みつ,,　,十し
«1810-0770»,«暦日2»,廿二〳,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
«1810-0780»,«暦日0»,廿三〳,ひのとのひつし,さたん,,　,さい下しき 神よし ちいみ
«1810-0790»,«暦日2»,廿四〳,つちのえさる,とる,土,　,神よし  たねまきよし
«1810-0800»,«暦日0»,廿五〳,つちのとのとり,やふる,,　,大みやう 天おん 月とく
«1810-0810»,«暦日2»,廿六〳,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
«1810-0820»,«暦日0»,廿七〳,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
«1810-0830»,«暦日2»,廿八〳,みつのえね,おさん,木,八せんのはしめ,神よし 天おん 母倉 めつもん  あさまきよし
«1810-0840»,«暦日0»,廿九〳,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
«1810-0850»,«暦日1»,卅〳,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
«1810-0860»,«月序»,三月,小,建,庚辰,奎宿　壁　水よう
