«1811-0000»,【 カンマ区切りテキスト形式です。】
«1811-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1811-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1811-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1811-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1811-0050»,【 外部リンク　】
«1811-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/28 ～ 31】
«1811-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1811h　(翻刻編集終了データを表成型して表示します)】
«1811-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1811ht (翻刻編集中データを表成型して表示します)】
«1811-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1811-0100»,«版元»,出版地○○,出版元□□□,　
«1811-0110»,«暦首»,文化八年かのとのひつし乃寛政暦,尾宿|値年,凡三百八十四日
«1811-0120»,«大歳»,大さいひつしの方,此方ニむかひて万よし|但木をきらす
«1811-0130»,«大將軍»,大しやうくんうの方,ひつしのとしまて|三年ふさかり
«1811-0140»,«大陰»,大おんみの方,此方ニむかひて|さんをせす
«1811-0150»,«歳徳»,としとくあきの方|みむまの間万よし,ねうしとら|,金神,|うむまひつし
«1811-0160»,«歳刑»,さいけううしの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1811-0170»,«歳破»,さいはうしの方,むかひてわたましせす|ふねのりはしめす,正月小,二月小|閏二月大,三月小
«1811-0180»,«歳煞»,さいせついぬの方,此方より|よめとらす,四月大,五月小,六月大
«1811-0190»,«黄幡»,わうはんひつしの方,むかひて|弓はしめよし,七月大,八月小,九月大
«1811-0200»,«豹尾»,へうひうしの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月小,十二月大
«1811-0210»,«月序»,正月,小,建,庚寅,星宿値月亢宿金曜値朔日
«1811-0220»,«正月»,一日,かのとのい,ひらく,金,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1811-0230»,«正月»,二日,みつのえね,とつ,木,八せんのはしめ,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1811-0240»,«三日»,三日,みつのとのうし,たつ,木,ま日,十し
«1811-0250»,«暦日2»,四〳,きのえとら,のそく,水,　, 木こり  つめとりよし
«1811-0260»,«暦日0»,五〳,きのとのう,みつ,,　,神よし 月とく  ものたちよし
«1811-0270»,«暦日2»,六〳,ひのえたつ,たいら,土,ま日,大みやう 大くわ 地火
«1811-0280»,«暦日0»,七〳,ひのとのみ,さたん,,　,母倉 ちう日
«1811-0290»,«暦日2»,八〳,つちのえむま,とる,火,ま日,神よし 母倉 ふく日  ふねのりよし
«1811-0300»,«暦日0»,九〳,つちのとのひつし,やふる,,　,神よし 大みやう ふく日  かといてよし
«1811-0310»,«暦日2»,十〳,かのえさる,あやふ,木,　,神よし 大みやう 月とく  みそさけつくりよし
«1811-0320»,«暦日0»,十一〳,かのとのとり,なる,,　,●
«1811-0330»,«暦日2»,十二〳,みつのえいぬ,おさん,水,せつふん|ま日,めつもん  たねまきよし
«1811-0340»,«暦日0»,十三〳,みつのとのい,おさん,,八せんのおはり,母倉 大くわ ちう日  けんふくよし
«1811-0350»,«節中»,立春正月せつ今暁とらの三刻ニ入日の出より日入まて,昼四十三刻半|夜五十六刻半,六より六まて,昼四十八刻半余|夜五十一刻余
«1811-0360»,«暦日2»,十四〳,きのえね,ひらく,金,　,天おん 母倉 ふく日 天火 らうしやく
«1811-0370»,«暦日0»,十五〳,きのとのうし,とつ,,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
«1811-0380»,«暦日2»,十六〳,ひのえとら,たつ,火,　,天おん 月とく  つめとりよし
«1811-0390»,«暦日0»,十七〳,ひのとのう,のそく,,　,神よし 天おん  あさまきよし
