《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/32 ～ 35
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1812g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1812h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,文化九年みつのえさる乃寛政暦,箕宿/値年,凡三百五十四日
《0120》,《大歳》,大さいさるの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんむまの方,いぬのとしまて/三年ふさかり
《0140》,《大陰》,大おんむまの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/いねの間万よし,とらう/,金神,/いぬい
《0160》,《歳刑》,さいけうとらの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはとらの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月小
《0180》,《歳煞》,さいせつひつしの方,此方より/よめとらす,四月小,五月大,六月小
《0190》,《黄幡》,わうはんたつの方,むかひて/弓はしめよし,七月大,八月小,九月大
《0200》,《豹尾》,へうひいぬの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月大,十二月小
《0210》,《月序》,正月,小,建,壬寅,牛宿値月井宿木曜値朔日
《0220》,《正月》,一日,きのとのい,おさむ,火,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《正月》,二日,ひのえね,ひらく,水,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0240》,《三日》,三日,ひのとのうし,とつ,水,　,神よし 大みやう日 きこ ちいみ
《0250》,《暦日2》,四／,つちのえとら,たつ,土,　,天しや よろつよし
《0260》,《暦日0》,五／,つちのとのう,のそく,,　,神よし 大みやう 天おん  みそさけつくり たねまきよし
《0270》,《暦日2》,六／,かのえたつ,みつ,金,　,天おん ふく日
《0280》,《暦日0》,七／,かのとのみ,たいら,,　,天おん 母倉 月とく ちう日 めつもん 地火
《0290》,《暦日2》,八／,みつのえむま,さたん,木,　,神よし 大みやう 天おん  木こりよし
《0300》,《暦日0》,九／,みつのとのひつし,とる,,　,天おん  たねまきよし
《0310》,《節中》,雨水正月中ひつしの七刻日の出より日入まて,昼四十五刻半余/夜五十四刻余,六より六まて,昼五十刻半余/夜四十九刻余
《0320》,《暦日2》,十／,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
《0330》,《暦日0》,十一／,きのとのとり,あやふ,,　,十し
《0340》,《暦日2》,十二／,ひのえいぬ,なる,土,　,●
《0350》,《暦日0》,十三／,ひのとのい,おさん,,　,大みやう 母倉 大くわ ちう日
《0360》,《暦日2》,十四／,つちのえね,ひらく,火,　,母倉 天火 らうしやく  けんふく 入学よし
《0370》,《暦日0》,十五／,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
《0380》,《暦日2》,十六／,かのえとら,たつ,木,　,ふく日  つめとりよし
《0390》,《暦日0》,十七／,かのとのう,のそく,,　,くゑ日
《0400》,《暦日2》,十八／,みつのえたつ,みつ,水,　,大みやう 五む日
《0410》,《暦日0》,十九／,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
《0420》,《暦日2》,廿／,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
《0430》,《暦日0》,廿一／,きのとのひつし,とる,,　,大みやう 五む日
《0440》,《暦日2》,廿二／,ひのえさる,やふる,火,　,神よし 月とく
《0450》,《暦日0》,廿三／,ひのとのとり,あやふ,,　,十し
《0460》,《暦日1》,廿四／,つちのえいぬ,あやふ,木,　, かといてよし
《0470》,《節中》,啓蟄二月せついぬの四刻ニ入日の出より日入まて,昼四十八刻/夜五十二刻,六より六まて,昼五十三刻/夜四十七刻
《0480》,《暦日1》,廿五／,つちのとのい,なる,木,　,神よし 母倉 月とく ちう日  みそすつくりよし
《0490》,《暦日2》,廿六／,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
《0500》,《暦日0》,廿七／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
《0510》,《暦日2》,廿八／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《0520》,《暦日0》,廿九／,みつのとのう,たつ,,　,天火 らうしやく
《0530》,《月序》,二月,大,建,癸卯,女宿　鬼　金よう
《0540》,《暦日2》,一／,きのえたつ,のそく,火,　,●
《0550》,《暦日0》,二／,きのとのみ,みつ,,　,十し
《0560》,《暦日2》,三／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《0570》,《暦日0》,四／,ひのとのひつし,さたん,,　,神よし ちいみ
《0580》,《暦日2》,五／,つちのえさる,とる,土,　,神よし  たねまきよし
《0590》,《暦日0》,六／,つちのとのとり,やふる,,ひかんニなる,大みやう 天おん 月とく
《0600》,《暦日2》,七／,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
《0610》,《暦日0》,八／,かのとのい,なる,,　,大みやう 天おん 母倉 ちう日 ふく日 わうまう
《0620》,《暦日2》,九／,みつのえね,おさん,木,八せんのはしめ,神よし 天おん 母倉 めつもん  あさまきよし
《0630》,《暦日0》,十／,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
《0640》,《暦日1》,十一／,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
《0650》,《節中》,春分二月中今暁うしの一刻日の出より日入まて,昼五十刻余/夜四十九刻半余,六より六まて,昼五十五刻余/夜四十四刻半余
《0660》,《暦日1》,十二／,きのとのう,たつ,水,　,くゑ日 ふく日 天火 らうしやく
《0670》,《暦日2》,十三／,ひのえたつ,のそく,土,ま日,●
《0680》,《暦日0》,十四／,ひのとのみ,みつ,,　,十し
《0690》,《暦日2》,十五／,つちのえむま,たいら,火,ま日/社日,神よし 大くわ 地火
《0700》,《暦日0》,十六／,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
《0710》,《暦日2》,十七／,かのえさる,とる,木,　,神よし 大みやう
《0720》,《暦日0》,十八／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《0730》,《暦日2》,十九／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《0740》,《暦日0》,廿／,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
《0750》,《暦日2》,廿一／,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
《0760》,《暦日0》,廿二／,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
《0770》,《暦日2》,廿三／,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
《0780》,《暦日0》,廿四／,ひのとのう,たつ,,　,天おん 天火 らうしやく
《0790》,《暦日2》,廿五／,つちのえたつ,のそく,木,　,●
《0800》,《暦日0》,廿六／,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
《0810》,《節中》,清明三月せつうの六刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《0820》,《暦日2》,廿七／,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
《0830》,《暦日0》,廿八／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《0840》,《暦日2》,廿九／,みつのえさる,さたん,金,　,きしく 大みやう くゑ日
《0850》,《暦日0》,卅／,みつのとのとり,とる,,　,神よし 大みやう
《0860》,《月序》,三月,小,建,甲辰,虛宿　星　日よう
《0870》,《暦日2》,一／,きのえいぬ,やふる,火,　, くさかりよし
《0880》,《暦日0》,二／,きのとのい,あやふ,,　,●
《0890》,《暦日2》,三／,ひのえね,なる,水,　,きこ
《0900》,《暦日0》,四／,ひのとのうし,おさん,,　,十し
《0910》,《暦日2》,五／,つちのえとら,ひらく,土,　,天しや よろつよし
《0920》,《暦日0》,六／,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
《0930》,《暦日2》,七／,かのえたつ,たつ,金,　,くゑ日
《0940》,《暦日0》,八／,かのとのみ,のそく,,とようみの七刻ニ入,天おん 母倉 ちう日
《0950》,《暦日2》,九／,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《0960》,《暦日0》,十／,みつのとのひつし,たいら,,　,天おん めつもん 地火
《0970》,《暦日1》,十一／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《0980》,《節中》,穀雨三月中むまの三刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《0990》,《暦日1》,十二／,きのとのとり,とる,水,　,神よし  くさかりよし
《1000》,《暦日2》,十三／,ひのえいぬ,やふる,土,　,五む日
《1010》,《暦日0》,十四／,ひのとのい,あやふ,,　,●
《1020》,《暦日2》,十五／,つちのえね,なる,火,　,母倉 きこ ふく日
《1030》,《暦日0》,十六／,つちのとのうし,おさん,,　,十し
《1040》,《暦日2》,十七／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《1050》,《暦日0》,十八／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
