«1813-0000»,【 カンマ区切りテキスト形式です。】
«1813-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1813-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1813-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1813-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1813-0050»,【 外部リンク　】
«1813-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/36 ～ 40】
«1813-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1813h　(翻刻編集終了データを表成型して表示します)】
«1813-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1813ht (翻刻編集中データを表成型して表示します)】
«1813-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1813-0100»,«版元»,出版地○○,出版元□□□,　
«1813-0110»,«暦首»,文化十年みつのとのとり乃寛政暦,斗宿|値年,凡三百八十四日
«1813-0120»,«大歳»,大さいとりの方,此方ニむかひて万よし|但木をきらす
«1813-0130»,«大將軍»,大しやうくんむまの方,いぬのとしまて|三年ふさかり
«1813-0140»,«大陰»,大おんひつしの方,此方ニむかひて|さんをせす
«1813-0150»,«歳徳»,としとくあきの方|みむまの間万よし,ねうし|,金神,|さるとり
«1813-0160»,«歳刑»,さいけうとりの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1813-0170»,«歳破»,さいはうの方,むかひてわたましせす|ふねのりはしめす,正月大,二月小,三月大
«1813-0180»,«歳煞»,さいせつたつの方,此方より|よめとらす,四月小,五月小,六月小
«1813-0190»,«黄幡»,わうはんうしの方,むかひて|弓はしめよし,七月大,八月小,九月大
«1813-0200»,«豹尾»,へうひひつしの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月大|閏十一月小,十二月大
«1813-0210»,«月序»,正月,大,建,甲寅,參宿値月危宿月曜値朔日
«1813-0220»,«正月»,一日,つちのとのみ,さたむ,木,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1813-0230»,«正月»,二日,かのえむま,とる,土,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1813-0240»,«三日»,三日,かのとのひつし,やふる,土,　,大みやう日
«1813-0250»,«暦日2»,四〳,みつのえさる,あやふ,金,せつふん,大みやう わうまう
«1813-0260»,«暦日0»,五〳,みつのとのとり,あやふ,,　,十し
«1813-0270»,«節中»,立春正月せつさるの一刻ニ入日の出より日入まて,昼四十三刻半|夜五十六刻半,六より六まて,昼四十八刻半余|夜五十一刻余
«1813-0280»,«暦日2»,六〳,きのえいぬ,なる,火,　,●
«1813-0290»,«暦日0»,七〳,きのとのい,おさん,,　,母倉 大くわ ちう日
«1813-0300»,«暦日2»,八〳,ひのえね,ひらく,水,　,母倉 月とく 天火 らうしやく
«1813-0310»,«暦日0»,九〳,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
«1813-0320»,«暦日2»,十〳,つちのえとら,たつ,土,　,天しや よろつよし
«1813-0330»,«暦日0»,十一〳,つちのとのう,のそく,,　,大みやう 天おん わうまう  みそさけつくり たねまきよし
«1813-0340»,«暦日2»,十二〳,かのえたつ,みつ,金,　,きしく 天おん ふく日
«1813-0350»,«暦日0»,十三〳,かのとのみ,たいら,,　,天おん 母倉 月とく ちう日 めつもん 地火
«1813-0360»,«暦日2»,十四〳,みつのえむま,さたん,木,　,神よし 大みやう 天おん  木こりよし
«1813-0370»,«暦日0»,十五〳,みつのとのひつし,とる,,　,天おん
«1813-0380»,«食記»,月帯食六分出
«1813-0390»,«暦日2»,十六〳,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
«1813-0400»,«暦日0»,十七〳,きのとのとり,あやふ,,　,十し
«1813-0410»,«暦日2»,十八〳,ひのえいぬ,なる,土,　,●
«1813-0420»,«暦日0»,十九〳,ひのとのい,おさん,,　,大みやう 母倉 大くわ ちう日
«1813-0430»,«暦日1»,廿〳,つちのえね,ひらく,火,　,母倉 天火 らうしやく  けんふく 入学よし
«1813-0440»,«節中»,雨水正月中いぬの七刻日の出より日入まて,昼四十五刻半余|夜五十四刻余,六より六まて,昼五十刻半余|夜四十九刻余
«1813-0450»,«暦日1»,廿一〳,つちのとのうし,とつ,火,　,きこ ちいみ  井ほり  つめとりよし
«1813-0460»,«暦日2»,廿二〳,かのえとら,たつ,木,　,ふく日  つめとりよし
«1813-0470»,«暦日0»,廿三〳,かのとのう,のそく,,　,くゑ日
«1813-0480»,«暦日2»,廿四〳,みつのえたつ,みつ,水,　,大みやう 五む日
«1813-0490»,«暦日0»,廿五〳,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
«1813-0500»,«暦日2»,廿六〳,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
«1813-0510»,«暦日0»,廿七〳,きのとのひつし,とる,,　,大みやう 五む日
«1813-0520»,«暦日2»,廿八〳,ひのえさる,やふる,火,　,神よし 月とく
«1813-0530»,«暦日0»,廿九〳,ひのとのとり,あやふ,,　,十し
«1813-0540»,«暦日1»,卅〳,つちのえいぬ,なる,木,　,●
«1813-0550»,«月序»,二月,小,建,乙卯,井宿　壁　水よう
«1813-0560»,«暦日1»,一〳,つちのとのい,おさん,木,　,神よし 母倉 大くわ ちう日
«1813-0570»,«暦日2»,二〳,かのえね,ひらく,土,　,神よし 母倉 ふく日 天火 らうしやく
«1813-0580»,«暦日0»,三〳,かのとのうし,とつ,,　,神よし 月とく 五む日 きこ ちいみ  ものたち  つめとりよし
«1813-0590»,«暦日2»,四〳,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
«1813-0600»,«暦日0»,五〳,みつのとのう,のそく,,　,神よし  あさまきよし
«1813-0610»,«暦日1»,六〳,きのえたつ,のそく,火,　,●
«1813-0620»,«節中»,啓蟄二月せつ今暁うしの四刻ニ入日の出より日入まて,昼四十八刻|夜五十二刻,六より六まて,昼五十三刻|夜四十七刻
«1813-0630»,«暦日1»,七〳,きのとのみ,みつ,火,　,十し
«1813-0640»,«暦日2»,八〳,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
«1813-0650»,«暦日0»,九〳,ひのとのひつし,さたん,,　,神よし ちいみ
«1813-0660»,«暦日2»,十〳,つちのえさる,とる,土,　,神よし きしく  たねまきよし
«1813-0670»,«暦日0»,十一〳,つちのとのとり,やふる,,　,大みやう 天おん 月とく
«1813-0680»,«暦日2»,十二〳,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
«1813-0690»,«暦日0»,十三〳,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
«1813-0700»,«暦日2»,十四〳,みつのえね,おさん,木,八せんのはしめ,神よし 天おん 母倉 めつもん  あさまきよし
«1813-0710»,«暦日0»,十五〳,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
«1813-0720»,«暦日2»,十六〳,きのえとら,とつ,水,ひかんニなる,月とく きこ  やたて  つめとりよし
«1813-0730»,«暦日0»,十七〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
«1813-0740»,«暦日2»,十八〳,ひのえたつ,のそく,土,ま日,●
«1813-0750»,«暦日0»,十九〳,ひのとのみ,みつ,,　,十し
«1813-0760»,«暦日2»,廿〳,つちのえむま,たいら,火,ま日|社日,神よし 大くわ 地火
«1813-0770»,«暦日0»,廿一〳,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
«1813-0780»,«節中»,春分二月中たつの初刻日の出より日入まて,昼五十刻余|夜四十九刻半余,六より六まて,昼五十五刻余|夜四十四刻半余
«1813-0790»,«暦日2»,廿二〳,かのえさる,とる,木,　,神よし 大みやう
«1813-0800»,«暦日0»,廿三〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
«1813-0810»,«暦日2»,廿四〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1813-0820»,«暦日0»,廿五〳,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
«1813-0830»,«暦日2»,廿六〳,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
«1813-0840»,«暦日0»,廿七〳,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
«1813-0850»,«暦日2»,廿八〳,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
«1813-0860»,«暦日0»,廿九〳,ひのとのう,たつ,,　,天おん 天火 らうしやく
«1813-0870»,«月序»,三月,大,建,丙辰,鬼宿　奎　木よう
«1813-0880»,«暦日2»,一〳,つちのえたつ,のそく,木,　,●
«1813-0890»,«暦日0»,二〳,つちのとのみ,みつ,,　,十し
«1813-0900»,«暦日2»,三〳,かのえむま,たいら,土,　,神よし 大くわ 地火
«1813-0910»,«暦日0»,四〳,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
«1813-0920»,«暦日2»,五〳,みつのえさる,とる,金,　,神よし 大みやう  入学よし
«1813-0930»,«暦日0»,六〳,みつのとのとり,やふる,,　,大みやう  やたてよし
«1813-0940»,«暦日1»,七〳,きのえいぬ,やふる,火,　, くさかりよし
«1813-0950»,«節中»,清明三月せつむまの六刻ニ入日の出より日入まて,昼五十二刻半|夜四十七刻半,六より六まて,昼五十七刻半余|夜四十二刻余
«1813-0960»,«暦日1»,八〳,きのとのい,あやふ,火,　,●
«1813-0970»,«暦日2»,九〳,ひのえね,なる,水,　,きしく きこ
«1813-0980»,«暦日0»,十〳,ひのとのうし,おさん,,　,十し
«1813-0990»,«暦日2»,十一〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1813-1000»,«暦日0»,十二〳,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
«1813-1010»,«暦日2»,十三〳,かのえたつ,たつ,金,　,くゑ日
«1813-1020»,«暦日0»,十四〳,かのとのみ,のそく,,　,天おん 母倉 ちう日
«1813-1030»,«暦日2»,十五〳,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
«1813-1040»,«暦日0»,十六〳,みつのとのひつし,たいら,,　,天おん めつもん 地火
«1813-1050»,«暦日2»,十七〳,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
«1813-1060»,«暦日0»,十八〳,きのとのとり,とる,,　,神よし  くさかりよし
«1813-1070»,«暦日2»,十九〳,ひのえいぬ,やふる,土,とようさるの六刻ニ入,さい下しき 五む日
«1813-1080»,«暦日0»,廿〳,ひのとのい,あやふ,,　,●
«1813-1090»,«暦日2»,廿一〳,つちのえね,なる,火,　,母倉 きこ ふく日
«1813-1100»,«暦日0»,廿二〳,つちのとのうし,おさん,,　,十し
«1813-1110»,«節中»,穀雨三月中とりの二刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1813-1120»,«暦日2»,廿三〳,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
«1813-1130»,«暦日0»,廿四〳,かのとのう,とつ,,　,神よし  わたまし ものたちよし
«1813-1140»,«暦日2»,廿五〳,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
«1813-1150»,«暦日0»,廿六〳,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
«1813-1160»,«暦日2»,廿七〳,きのえむま,みつ,金,　,母倉 天火 らうしやく わうまう  ふねのりよし
«1813-1170»,«暦日0»,廿八〳,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
«1813-1180»,«暦日2»,廿九〳,ひのえさる,さたん,火,　,くゑ日
«1813-1190»,«暦日0»,卅〳,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
«1813-1200»,«月序»,四月,小,建,丁巳,柳宿　胃　土よう
«1813-1210»,«暦日2»,一〳,つちのえいぬ,やふる,木,　,ふく日
«1813-1220»,«暦日0»,二〳,つちのとのい,あやふ,,　,●
«1813-1230»,«暦日2»,三〳,かのえね,なる,土,八十八や,神よし きこ
«1813-1240»,«暦日0»,四〳,かのとのうし,おさん,,　,十し
«1813-1250»,«暦日2»,五〳,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
«1813-1260»,«暦日0»,六〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1813-1270»,«暦日1»,七〳,きのえたつ,とつ,火,　,きしく 大みやう
«1813-1280»,«節中»,立夏四月せついの八刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1813-1290»,«暦日1»,八〳,きのとのみ,たつ,火,　,●
«1813-1300»,«暦日2»,九〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1813-1310»,«暦日0»,十〳,ひのとのひつし,みつ,,　,くゑ日
«1813-1320»,«暦日2»,十一〳,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
«1813-1330»,«暦日0»,十二〳,つちのとのとり,さたん,,　,十し
«1813-1340»,«暦日2»,十三〳,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
«1813-1350»,«暦日0»,十四〳,かのとのい,やふる,,　,大みやう 天おん ちう日 わうまう  さひらきよし
«1813-1360»,«暦日2»,十五〳,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
«1813-1370»,«暦日0»,十六〳,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
«1813-1380»,«暦日2»,十七〳,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
«1813-1390»,«暦日0»,十八〳,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
«1813-1400»,«暦日2»,十九〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1813-1410»,«暦日0»,廿〳,ひのとのみ,たつ,,　,●
«1813-1420»,«暦日2»,廿一〳,つちのえむま,のそく,火,ま日,くゑ日
«1813-1430»,«暦日0»,廿二〳,つちのとのひつし,みつ,,　,大みやう くゑ日
