《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/44 ～ 48
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1815g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1815h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,文化十二年きのとのい乃寛政暦,女宿/値年,凡三百五十四日
《0120》,《大歳》,大さいいの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんとりの方,うしのとしまて/三年ふさかり
《0140》,《大陰》,大おんとりの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/さるとりの間万よし,たつ/,金神,/み
《0160》,《歳刑》,さいけういの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはみの方,むかひてわたましせす/ふねのりはしめす,正月大,二月大,三月小
《0180》,《歳煞》,さいせついぬの方,此方より/よめとらす,四月大,五月小,六月小
《0190》,《黄幡》,わうはんひつしの方,むかひて/弓はしめよし,七月小,八月大,九月小
《0200》,《豹尾》,へうひうしの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月小,十二月大
《0210》,《月序》,正月,大,建,戊寅,胃宿値月井宿木曜値朔日
《0220》,《正月》,一日,ひのとのい,おさむ,土,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《正月》,二日,つちのえね,ひらく,火,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0240》,《三日》,三日,つちのとのうし,とつ,火,　,きこ ちいみ
《0250》,《暦日2》,四／,かのえとら,たつ,木,　,ふく日 わうまう  つめとりよし
《0260》,《暦日0》,五／,かのとのう,のそく,,　,くゑ日
《0270》,《暦日2》,六／,みつのえたつ,みつ,水,　,大みやう 五む日
《0280》,《暦日0》,七／,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
《0290》,《暦日2》,八／,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
《0300》,《暦日0》,九／,きのとのひつし,とる,,　,大みやう 五む日
《0310》,《暦日2》,十／,ひのえさる,やふる,火,　,神よし 月とく
《0320》,《暦日0》,十一／,ひのとのとり,あやふ,,　,十し
《0330》,《暦日2》,十二／,つちのえいぬ,なる,木,　,●
《0340》,《暦日0》,十三／,つちのとのい,おさん,,　,神よし 母倉 大くわ ちう日
《0350》,《節中》,雨水正月中たつの五刻日の出より日入まて,昼四十五刻半余/夜五十四刻余,六より六まて,昼五十刻半余/夜四十九刻余
《0360》,《暦日2》,十四／,かのえね,ひらく,土,　,さい下しき 神よし 母倉 ふく日 天火 らうしやく
《0370》,《暦日0》,十五／,かのとのうし,とつ,,　,神よし 月とく 五む日 きこ ちいみ  ものたち  つめとりよし
《0380》,《暦日2》,十六／,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
《0390》,《暦日0》,十七／,みつのとのう,のそく,,　,神よし  あさまきよし
《0400》,《暦日2》,十八／,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
《0410》,《暦日0》,十九／,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
《0420》,《暦日2》,廿／,ひのえむま,さたん,水,　,神よし 大みやう 月とく  わたましよし
《0430》,《暦日0》,廿一／,ひのとのひつし,とる,,　,神よし  かといてよし
《0440》,《暦日2》,廿二／,つちのえさる,やふる,土,　,神よし  たねまきよし
《0450》,《暦日0》,廿三／,つちのとのとり,あやふ,,　,十し
《0460》,《暦日2》,廿四／,かのえいぬ,なる,金,　,●
《0470》,《暦日0》,廿五／,かのとのい,おさん,,　,神よし 大みやう 天おん 母倉 月とく 大くわ ちう日
《0480》,《暦日2》,廿六／,みつのえね,ひらく,木,八せんのはしめ,神よし 天おん 母倉 天火 らうしやく
《0490》,《暦日0》,廿七／,みつのとのうし,とつ,,ま日,神よし 天おん きこ ちいみ  つめとりよし
《0500》,《暦日1》,廿八／,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
《0510》,《節中》,啓蟄二月せつひつしの二刻ニ入日の出より日入まて,昼四十八刻/夜五十二刻,六より六まて,昼五十三刻/夜四十七刻
《0520》,《暦日1》,廿九／,きのとのう,たつ,水,　,くゑ日 ふく日 天火 らうしやく
《0530》,《暦日1》,卅／,ひのえたつ,のそく,土,ま日,●
《0540》,《月序》,二月,大,建,己卯,昴宿　柳　土よう
《0550》,《暦日1》,一／,ひのとのみ,みつ,土,　,十し
《0560》,《暦日2》,二／,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
《0570》,《暦日0》,三／,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
《0580》,《暦日2》,四／,かのえさる,とる,木,　,神よし 大みやう
《0590》,《暦日0》,五／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《0600》,《暦日2》,六／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《0610》,《暦日0》,七／,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
《0620》,《暦日2》,八／,きのえね,おさん,金,ひかんニなる,天おん 母倉 月とく めつもん
《0630》,《暦日0》,九／,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
《0640》,《暦日2》,十／,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
《0650》,《暦日0》,十一／,ひのとのう,たつ,,　,天おん 天火 らうしやく わうまう
《0660》,《暦日2》,十二／,つちのえたつ,のそく,木,社日,●
《0670》,《暦日0》,十三／,つちのとのみ,みつ,,　,十し
《0680》,《節中》,春分二月中とりの七刻日の出より日入まて,昼五十刻余/夜四十九刻半余,六より六まて,昼五十五刻余/夜四十四刻半余
《0690》,《暦日2》,十四／,かのえむま,たいら,土,　,神よし 大くわ 地火
《0700》,《暦日0》,十五／,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《0710》,《暦日2》,十六／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《0720》,《暦日0》,十七／,みつのとのとり,やふる,,　,大みやう  やたてよし
《0730》,《暦日2》,十八／,きのえいぬ,あやふ,火,　,月とく  かといてよし
《0740》,《暦日0》,十九／,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
《0750》,《暦日2》,廿／,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
《0760》,《暦日0》,廿一／,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
《0770》,《暦日2》,廿二／,つちのえとら,とつ,土,　,天しや よろつよし
《0780》,《暦日0》,廿三／,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
《0790》,《暦日2》,廿四／,かのえたつ,のそく,金,　,●
《0800》,《暦日0》,廿五／,かのとのみ,みつ,,　,十し
《0810》,《暦日2》,廿六／,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
《0820》,《暦日0》,廿七／,みつのとのひつし,さたん,,　,天おん ちいみ
《0830》,《暦日1》,廿八／,きのえさる,さたん,水,十方くれニ入,きしく 大みやう くゑ日
《0840》,《節中》,清明三月せつ今夜ねの四刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《0850》,《暦日1》,廿九／,きのとのとり,とる,水,　,神よし  くさかりよし
《0860》,《暦日1》,卅／,ひのえいぬ,やふる,土,　,五む日
《0870》,《月序》,三月,小,建,庚辰,畢宿　張　月よう
《0880》,《暦日1》,一／,ひのとのい,あやふ,土,　,●
《0890》,《暦日2》,二／,つちのえね,なる,火,　,母倉 きこ ふく日
《0900》,《暦日0》,三／,つちのとのうし,おさん,,　,十し
《0910》,《暦日2》,四／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《0920》,《暦日0》,五／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《0930》,《暦日2》,六／,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
《0940》,《暦日0》,七／,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
《0950》,《暦日2》,八／,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
《0960》,《暦日0》,九／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《0970》,《暦日2》,十／,ひのえさる,さたん,火,　,くゑ日
《0980》,《暦日0》,十一／,ひのとのとり,とる,,とよう今暁とらの五刻ニ入,神よし 月とく  いちたちよし
《0990》,《暦日2》,十二／,つちのえいぬ,やふる,木,　,ふく日
《1000》,《暦日0》,十三／,つちのとのい,あやふ,,　,●
《1010》,《暦日1》,十四／,かのえね,なる,土,　,さい下しき 神よし きこ
《1020》,《節中》,穀雨三月中うの一刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《1030》,《暦日1》,十五／,かのとのうし,おさん,土,　,十し
《1040》,《暦日2》,十六／,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
《1050》,《暦日0》,十七／,みつのとのう,とつ,,　,神よし  けんふく かといてよし
《1060》,《暦日2》,十八／,きのえたつ,たつ,火,　,大みやう くゑ日 わうまう
《1070》,《暦日0》,十九／,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
《1080》,《暦日2》,廿／,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
《1090》,《暦日0》,廿一／,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
《1100》,《暦日2》,廿二／,つちのえさる,さたん,土,　,くゑ日 ふく日
《1110》,《暦日0》,廿三／,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
《1120》,《暦日2》,廿四／,かのえいぬ,やふる,金,　,大みやう 天おん
《1130》,《暦日0》,廿五／,かのとのい,あやふ,,八十八や,●
《1140》,《暦日2》,廿六／,みつのえね,なる,木,八せんのはしめ,神よし きしく 天おん 母倉 月とく きこ
《1150》,《暦日0》,廿七／,みつのとのうし,おさん,,ま日,十し
《1160》,《暦日2》,廿八／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1170》,《暦日0》,廿九／,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
《1180》,《節中》,立夏四月せつみの六刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《1190》,《月序》,四月,大,建,辛巳,觜宿　翼　火よう
《1200》,《暦日2》,一／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1210》,《暦日0》,二／,ひのとのみ,たつ,,　,●
《1220》,《暦日2》,三／,つちのえむま,のそく,火,ま日,くゑ日
《1230》,《暦日0》,四／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1240》,《暦日2》,五／,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
《1250》,《暦日0》,六／,かのとのとり,さたん,,　,十し
《1260》,《暦日2》,七／,みつのえいぬ,とる,水,ま日,ふく日 わうまう
《1270》,《暦日0》,八／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1280》,《暦日2》,九／,きのえね,あやふ,金,　,天おん
《1290》,《暦日0》,十／,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
《1300》,《暦日2》,十一／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1310》,《暦日0》,十二／,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
《1320》,《暦日2》,十三／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1330》,《暦日0》,十四／,つちのとのみ,たつ,,　,●
《1340》,《暦日1》,十五／,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
《1350》,《節中》,小満四月中さるの三刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1360》,《暦日1》,十六／,かのとのひつし,みつ,土,　,大みやう くゑ日
《1370》,《暦日2》,十七／,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
《1380》,《暦日0》,十八／,みつのとのとり,さたん,,　,十し
《1390》,《暦日2》,十九／,きのえいぬ,とる,火,　, やたて くらたてよし
《1400》,《暦日0》,廿／,きのとのい,やふる,,　,月とく ちう日
《1410》,《暦日2》,廿一／,ひのえね,あやふ,水,　,ふく日  さひらきよし
《1420》,《暦日0》,廿二／,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
《1430》,《暦日2》,廿三／,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
《1440》,《暦日0》,廿四／,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
《1450》,《暦日2》,廿五／,かのえたつ,とつ,金,　,きしく 天おん 月とく  けんふくよし
《1460》,《暦日0》,廿六／,かのとのみ,たつ,,　,●
《1470》,《暦日2》,廿七／,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
《1480》,《暦日0》,廿八／,みつのとのひつし,みつ,,　,くゑ日
