«1816-0000»,【 カンマ区切りテキスト形式です。】
«1816-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1816-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1816-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1816-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1816-0050»,【 外部リンク　】
«1816-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/48 ～ 52】
«1816-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1816h　(翻刻編集終了データを表成型して表示します)】
«1816-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1816ht (翻刻編集中データを表成型して表示します)】
«1816-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1816-0100»,«版元»,出版地○○,出版元□□□,　
«1816-0110»,«暦首»,文化十三年ひのえね乃寛政暦,虛宿|値年,凡三百八十四日
«1816-0120»,«大歳»,大さいねの方,此方ニむかひて万よし|但木をきらす
«1816-0130»,«大將軍»,大しやうくんとりの方,うしのとしまて|三年ふさかり
«1816-0140»,«大陰»,大おんいぬの方,此方ニむかひて|さんをせす
«1816-0150»,«歳徳»,としとくあきの方|みむまの間万よし,ねうしとら|,金神,|うむまひつし
«1816-0160»,«歳刑»,さいけううの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1816-0170»,«歳破»,さいはむまの方,むかひてわたましせす|ふねのりはしめす,正月大,二月大,三月小
«1816-0180»,«歳煞»,さいせつひつしの方,此方より|よめとらす,四月大,五月小,六月大
«1816-0190»,«黄幡»,わうはんたつの方,むかひて|弓はしめよし,七月小,八月大|閏八月小,九月小
«1816-0200»,«豹尾»,へうひいぬの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月小,十二月大
«1816-0210»,«月序»,正月,大,建,庚寅,角宿値月危宿月曜値朔日
«1816-0220»,«正月»,一日,かのとのみ,さたむ,金,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1816-0230»,«正月»,二日,みつのえむま,とる,木,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1816-0240»,«三日»,三日,みつのとのひつし,やふる,木,　,天おん
«1816-0250»,«暦日2»,四〳,きのえさる,あやふ,水,十方くれニ入,神よし 大みやう
«1816-0260»,«暦日0»,五〳,きのとのとり,なる,,　,●
«1816-0270»,«暦日2»,六〳,ひのえいぬ,おさん,土,　,五む日 めつもん
«1816-0280»,«暦日0»,七〳,ひのとのい,ひらく,,　,大みやう ちう日 わうまう
«1816-0290»,«暦日2»,八〳,つちのえね,とつ,火,せつふん,くゑ日 きこ ちいみ ふく日
«1816-0300»,«暦日0»,九〳,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
«1816-0310»,«節中»,立春正月せつたつの八刻ニ入日の出より日入まて,昼四十三刻半|夜五十六刻半,六より六まて,昼四十八刻半余|夜五十一刻余
«1816-0320»,«暦日2»,十〳,かのえとら,たつ,木,　,ふく日  つめとりよし
«1816-0330»,«暦日0»,十一〳,かのとのう,のそく,,　,くゑ日
«1816-0340»,«暦日2»,十二〳,みつのえたつ,みつ,水,　,きしく 大みやう 五む日
«1816-0350»,«暦日0»,十三〳,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
«1816-0360»,«暦日2»,十四〳,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
«1816-0370»,«暦日0»,十五〳,きのとのひつし,とる,,　,大みやう 五む日 わうまう
«1816-0380»,«暦日2»,十六〳,ひのえさる,やふる,火,　,神よし 月とく
«1816-0390»,«暦日0»,十七〳,ひのとのとり,あやふ,,　,十し
«1816-0400»,«暦日2»,十八〳,つちのえいぬ,なる,木,　,●
«1816-0410»,«暦日0»,十九〳,つちのとのい,おさん,,　,神よし 母倉 大くわ ちう日
«1816-0420»,«暦日2»,廿〳,かのえね,ひらく,土,　,神よし 母倉 ふく日 天火 らうしやく
«1816-0430»,«暦日0»,廿一〳,かのとのうし,とつ,,　,神よし 月とく 五む日 きこ ちいみ  ものたち  つめとりよし
«1816-0440»,«暦日2»,廿二〳,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
«1816-0450»,«暦日0»,廿三〳,みつのとのう,のそく,,　,神よし  あさまきよし
«1816-0460»,«暦日1»,廿四〳,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
«1816-0470»,«節中»,雨水正月中ひつしの四刻日の出より日入まて,昼四十五刻半余|夜五十四刻余,六より六まて,昼五十刻半余|夜四十九刻余
«1816-0480»,«暦日1»,廿五〳,きのとのみ,たいら,火,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
«1816-0490»,«暦日2»,廿六〳,ひのえむま,さたん,水,　,神よし 大みやう 月とく  わたましよし
«1816-0500»,«暦日0»,廿七〳,ひのとのひつし,とる,,　,神よし  かといてよし
«1816-0510»,«暦日2»,廿八〳,つちのえさる,やふる,土,　,神よし  たねまきよし
«1816-0520»,«暦日0»,廿九〳,つちのとのとり,あやふ,,　,十し
«1816-0530»,«暦日1»,卅〳,かのえいぬ,なる,金,　,●
«1816-0540»,«月序»,二月,大,建,辛卯,亢宿　壁　水よう
«1816-0550»,«暦日1»,一〳,かのとのい,おさん,金,　,神よし 大みやう 天おん 母倉 月とく 大くわ ちう日
