«1818-0000»,【 カンマ区切りテキスト形式です。】
«1818-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1818-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1818-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1818-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1818-0050»,【 外部リンク　】
«1818-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/56 ～ 61】
«1818-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1818h　(翻刻編集終了データを表成型して表示します)】
«1818-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1818ht (翻刻編集中データを表成型して表示します)】
«1818-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1818-0100»,«版元»,出版地○○,出版元□□□,　
«1818-0110»,«暦首»,文化十五年つちのえとら乃寛政暦,室宿|値年,凡三百五十五日
«1818-0120»,«大歳»,大さいとらの方,此方ニむかひて万よし|但木をきらす
«1818-0130»,«大將軍»,大しやうくんねの方,たつのとしまて|三年ふさかり
«1818-0140»,«大陰»,大おんねの方,此方ニむかひて|さんをせす
«1818-0150»,«歳徳»,としとくあきの方|みむまの間万よし,ねうし|,金神,|さるとり
«1818-0160»,«歳刑»,さいけうみの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1818-0170»,«歳破»,さいはさるの方,むかひてわたましせす|ふねのりはしめす,正月大,二月大,三月小
«1818-0180»,«歳煞»,さいせつうしの方,此方より|よめとらす,四月大,五月小,六月大
«1818-0190»,«黄幡»,わうはんいぬの方,むかひて|弓はしめよし,七月大,八月小,九月大
«1818-0200»,«豹尾»,へうひたつの方,むかひて大小へんせす|ちくるいもとめす,十月小,十一月小,十二月大
«1818-0210»,«月序»,正月,大,建,甲寅,星宿値月井宿木曜値朔日
«1818-0220»,«正月»,一日,つちのとのい,おさむ,木,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1818-0230»,«節中»,立春正月せついぬの六刻ニ入日の出より日入まて,昼四十三刻半|夜五十六刻半,六より六まて,昼四十八刻半余|夜五十一刻余
«1818-0240»,«正月»,二日,かのえね,ひらく,土,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1818-0250»,«三日»,三日,かのとのうし,とつ,土,　,神よし 月とく 五む日 きこ ちいみ
«1818-0260»,«暦日2»,四〳,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
«1818-0270»,«暦日0»,五〳,みつのとのう,のそく,,　,神よし  あさまきよし
«1818-0280»,«暦日2»,六〳,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
«1818-0290»,«暦日0»,七〳,きのとのみ,たいら,,　,大みやう ちう日 めつもん 地火 わうまう  けんふくよし
«1818-0300»,«暦日2»,八〳,ひのえむま,さたん,水,　,神よし 大みやう 月とく  わたましよし
«1818-0310»,«暦日0»,九〳,ひのとのひつし,とる,,　,神よし  かといてよし
«1818-0320»,«暦日2»,十〳,つちのえさる,やふる,土,　,神よし  たねまきよし
«1818-0330»,«暦日0»,十一〳,つちのとのとり,あやふ,,　,十し
«1818-0340»,«暦日2»,十二〳,かのえいぬ,なる,金,　,●
«1818-0350»,«暦日0»,十三〳,かのとのい,おさん,,　,神よし 大みやう 天おん 母倉 月とく 大くわ ちう日
«1818-0360»,«暦日2»,十四〳,みつのえね,ひらく,木,八せんのはしめ,神よし 天おん 母倉 天火 らうしやく
«1818-0370»,«暦日0»,十五〳,みつのとのうし,とつ,,ま日,神よし 天おん きこ ちいみ  つめとりよし
«1818-0380»,«暦日2»,十六〳,きのえとら,たつ,水,　,くゑ日 ふく日
«1818-0390»,«暦日0»,十七〳,きのとのう,のそく,,　,神よし  ものたちよし
«1818-0400»,«節中»,雨水正月中今暁うしの三刻日の出より日入まて,昼四十五刻半余|夜五十四刻余,六より六まて,昼五十刻半余|夜四十九刻余
«1818-0410»,«暦日2»,十八〳,ひのえたつ,みつ,土,ま日,大みやう 月とく
«1818-0420»,«暦日0»,十九〳,ひのとのみ,たいら,,　,ちう日 めつもん 地火
«1818-0430»,«暦日2»,廿〳,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
«1818-0440»,«暦日0»,廿一〳,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
«1818-0450»,«暦日2»,廿二〳,かのえさる,やふる,木,　,神よし 大みやう ふく日
«1818-0460»,«暦日0»,廿三〳,かのとのとり,あやふ,,　,十し
«1818-0470»,«暦日2»,廿四〳,みつのえいぬ,なる,水,ま日,●
«1818-0480»,«暦日0»,廿五〳,みつのとのい,おさん,,八せんのおはり,母倉 大くわ ちう日  けんふくよし
