《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/69 ～ 73
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1821g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1821h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,文政四年かのとのみ乃寛政暦,婁宿/値年,凡三百五十四日
《0120》,《大歳》,大さいみの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんうの方,ひつしのとしまて/三年ふさかり
《0140》,《大陰》,大おんうの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/みむまの間万よし,ねうしとら/,金神,/うむまひつし
《0160》,《歳刑》,さいけうさるの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはいの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月小
《0180》,《歳煞》,さいせつたつの方,此方より/よめとらす,四月小,五月大,六月小
《0190》,《黄幡》,わうはんうしの方,むかひて/弓はしめよし,七月大,八月小,九月大
《0200》,《豹尾》,へうひひつしの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月小,十二月大
《0210》,《月序》,正月,小,建,庚寅,心宿値月柳宿土曜値朔日
《0220》,《正月》,一日,みつのとのうし,たつ,木,吉事始/ま日,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《正月》,二日,きのえとら,のそく,水,せつふん,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0240》,《三日》,三日,きのとのう,のそく,水,　,神よし
《0250》,《節中》,立春正月せつひつしの四刻ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《0260》,《暦日2》,四／,ひのえたつ,みつ,土,ま日,大みやう 月とく
《0270》,《暦日0》,五／,ひのとのみ,たいら,,　,ちう日 めつもん 地火
《0280》,《暦日2》,六／,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
《0290》,《暦日0》,七／,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
《0300》,《暦日2》,八／,かのえさる,やふる,木,　,神よし 大みやう ふく日
《0310》,《暦日0》,九／,かのとのとり,あやふ,,　,十し
《0320》,《暦日2》,十／,みつのえいぬ,なる,水,ま日,●
《0330》,《暦日0》,十一／,みつのとのい,おさん,,八せんのおはり,母倉 大くわ ちう日  けんふくよし
《0340》,《暦日2》,十二／,きのえね,ひらく,金,　,天おん 母倉 ふく日 天火 らうしやく
《0350》,《暦日0》,十三／,きのとのうし,とつ,,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
《0360》,《暦日2》,十四／,ひのえとら,たつ,火,　,天おん 月とく  つめとりよし
《0370》,《暦日0》,十五／,ひのとのう,のそく,,　,神よし 天おん  あさまきよし
《0380》,《暦日2》,十六／,つちのえたつ,みつ,木,　,天おん 五む日  みそつくりよし
《0390》,《暦日0》,十七／,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
