«1823-0000»,【 カンマ区切りテキスト形式です。】
«1823-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1823-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1823-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1823-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1823-0050»,【 外部リンク　】
«1823-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/78 ～ 81】
«1823-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1823h　(翻刻編集終了データを表成型して表示します)】
«1823-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1823ht (翻刻編集中データを表成型して表示します)】
«1823-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1823-0100»,«版元»,出版地○○,出版元□□□,　
«1823-0110»,«暦首»,文政六年みつのとのひつし乃寛政暦,昴宿|値年,凡三百五十四日
«1823-0120»,«大歳»,大さいひつしの方,此方ニむかひて万よし|但木をきらす
«1823-0130»,«大將軍»,大しやうくんうの方,ひつしのとしまて|三年ふさかり
«1823-0140»,«大陰»,大おんみの方,此方ニむかひて|さんをせす
«1823-0150»,«歳徳»,としとくあきの方|みむまの間万よし,ねうし|,金神,|さるとり
«1823-0160»,«歳刑»,さいけううしの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1823-0170»,«歳破»,さいはうしの方,むかひてわたましせす|ふねのりはしめす,正月大,二月小,三月大
«1823-0180»,«歳煞»,さいせついぬの方,此方より|よめとらす,四月小,五月小,六月小
«1823-0190»,«黄幡»,わうはんひつしの方,むかひて|弓はしめよし,七月大,八月小,九月大
«1823-0200»,«豹尾»,へうひうしの方,むかひて大小へんせす|ちくるいもとめす,十月小,十一月大,十二月大
«1823-0210»,«月序»,正月,大,建,甲寅,角宿値月尾宿火曜値朔日
«1823-0220»,«正月»,一日,かのとのひつし,とる,土,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1823-0230»,«正月»,二日,みつのえさる,やふる,金,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1823-0240»,«三日»,三日,みつのとのとり,あやふ,金,　,十し
«1823-0250»,«暦日2»,四〳,きのえいぬ,なる,火,　,●
«1823-0260»,«暦日0»,五〳,きのとのい,おさん,,　,母倉 大くわ ちう日
«1823-0270»,«暦日2»,六〳,ひのえね,ひらく,水,　,母倉 月とく 天火 らうしやく
«1823-0280»,«暦日0»,七〳,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
«1823-0290»,«暦日2»,八〳,つちのえとら,たつ,土,　,天しや よろつよし
«1823-0300»,«暦日0»,九〳,つちのとのう,のそく,,　,神よし 大みやう 天おん  みそさけつくり たねまきよし
«1823-0310»,«暦日2»,十〳,かのえたつ,みつ,金,　,天おん ふく日
«1823-0320»,«暦日0»,十一〳,かのとのみ,たいら,,　,天おん 母倉 月とく ちう日 めつもん 地火
«1823-0330»,«節中»,雨水正月中うの七刻日の出より日入まて,昼四十五刻半余|夜五十四刻余,六より六まて,昼五十刻半余|夜四十九刻余
«1823-0340»,«暦日2»,十二〳,みつのえむま,さたん,木,　,神よし 大みやう 天おん  木こりよし
«1823-0350»,«暦日0»,十三〳,みつのとのひつし,とる,,　,天おん  たねまきよし
«1823-0360»,«暦日2»,十四〳,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
«1823-0370»,«暦日0»,十五〳,きのとのとり,あやふ,,　,十し
«1823-0380»,«暦日2»,十六〳,ひのえいぬ,なる,土,　,●
«1823-0390»,«暦日0»,十七〳,ひのとのい,おさん,,　,大みやう 母倉 大くわ ちう日
«1823-0400»,«暦日2»,十八〳,つちのえね,ひらく,火,　,きしく 母倉 天火 らうしやく  けんふく 入学よし
«1823-0410»,«暦日0»,十九〳,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
«1823-0420»,«暦日2»,廿〳,かのえとら,たつ,木,　,ふく日  つめとりよし
«1823-0430»,«暦日0»,廿一〳,かのとのう,のそく,,　,くゑ日
«1823-0440»,«暦日2»,廿二〳,みつのえたつ,みつ,水,　,大みやう 五む日
«1823-0450»,«暦日0»,廿三〳,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
«1823-0460»,«暦日2»,廿四〳,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
«1823-0470»,«暦日0»,廿五〳,きのとのひつし,とる,,　,大みやう 五む日
«1823-0480»,«暦日1»,廿六〳,ひのえさる,とる,火,　,神よし
«1823-0490»,«節中»,啓蟄二月せつむまの四刻ニ入日の出より日入まて,昼四十八刻|夜五十二刻,六より六まて,昼五十三刻|夜四十七刻
«1823-0500»,«暦日1»,廿七〳,ひのとのとり,やふる,火,　, あさまき たねかしよし
«1823-0510»,«暦日2»,廿八〳,つちのえいぬ,あやふ,木,　, かといてよし
«1823-0520»,«暦日0»,廿九〳,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
«1823-0530»,«暦日1»,卅〳,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
«1823-0540»,«月序»,二月,小,建,乙卯,亢宿　斗　木よう
«1823-0550»,«暦日1»,一〳,かのとのうし,ひらく,土,　,五む日 ふく日  ものたち  つめとりよし
«1823-0560»,«暦日2»,二〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1823-0570»,«暦日0»,三〳,みつのとのう,たつ,,　,天火 らうしやく
«1823-0580»,«暦日2»,四〳,きのえたつ,のそく,火,　,●
«1823-0590»,«暦日0»,五〳,きのとのみ,みつ,,　,十し
«1823-0600»,«暦日2»,六〳,ひのえむま,たいら,水,ひかんニなる,神よし 大みやう 大くわ 地火
«1823-0610»,«暦日0»,七〳,ひのとのひつし,さたん,,　,神よし ちいみ
«1823-0620»,«暦日2»,八〳,つちのえさる,とる,土,社日,神よし  たねまきよし
«1823-0630»,«暦日0»,九〳,つちのとのとり,やふる,,　,大みやう 天おん 月とく わうまう
«1823-0640»,«暦日2»,十〳,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
«1823-0650»,«暦日0»,十一〳,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
«1823-0660»,«節中»,春分二月中とりの一刻日の出より日入まて,昼五十刻余|夜四十九刻半余,六より六まて,昼五十五刻余|夜四十四刻半余
«1823-0670»,«暦日2»,十二〳,みつのえね,おさん,木,八せんのはしめ,神よし 天おん 母倉 めつもん  あさまきよし
