《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/86 ～ 90
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1825g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1825h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,文政八年きのとのとり乃寛政暦,觜宿/値年,凡三百五十四日
《0120》,《大歳》,大さいとりの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんむまの方,いぬのとしまて/三年ふさかり
《0140》,《大陰》,大おんひつしの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/さるとりの間万よし,たつ/,金神,/み
《0160》,《歳刑》,さいけうとりの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはうの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月大
《0180》,《歳煞》,さいせつたつの方,此方より/よめとらす,四月小,五月大,六月小
《0190》,《黄幡》,わうはんうしの方,むかひて/弓はしめよし,七月大,八月小,九月小
《0200》,《豹尾》,へうひひつしの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月小,十二月大
《0210》,《月序》,正月,大,建,戊寅,星宿値月婁宿金曜値朔日
《0220》,《正月》,一日,つちのとのうし,とつ,火,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《正月》,二日,かのえとら,たつ,木,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0240》,《三日》,三日,かのとのう,のそく,木,　,くゑ日
《0250》,《節中》,雨水正月中とりの六刻日の出より日入まて,昼四十五刻半余/夜五十四刻余,六より六まて,昼五十刻半余/夜四十九刻余
《0260》,《暦日2》,四／,みつのえたつ,みつ,水,　,大みやう 五む日
《0270》,《暦日0》,五／,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
《0280》,《暦日2》,六／,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
《0290》,《暦日0》,七／,きのとのひつし,とる,,　,大みやう 五む日
《0300》,《暦日2》,八／,ひのえさる,やふる,火,　,神よし きしく 月とく
《0310》,《暦日0》,九／,ひのとのとり,あやふ,,　,十し
《0320》,《暦日2》,十／,つちのえいぬ,なる,木,　,●
《0330》,《暦日0》,十一／,つちのとのい,おさん,,　,神よし 母倉 大くわ ちう日
《0340》,《暦日2》,十二／,かのえね,ひらく,土,　,神よし 母倉 ふく日 天火 らうしやく
《0350》,《暦日0》,十三／,かのとのうし,とつ,,　,神よし 月とく 五む日 きこ ちいみ  ものたち  つめとりよし
《0360》,《暦日2》,十四／,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
《0370》,《暦日0》,十五／,みつのとのう,のそく,,　,神よし  あさまきよし
《0380》,《暦日2》,十六／,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
《0390》,《暦日0》,十七／,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
