«1828-0000»,【 カンマ区切りテキスト形式です。】
«1828-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1828-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1828-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1828-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1828-0050»,【 外部リンク　】
«1828-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/100 ～ 103】
«1828-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1828h　(翻刻編集終了データを表成型して表示します)】
«1828-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1828ht (翻刻編集中データを表成型して表示します)】
«1828-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1828-0100»,«版元»,出版地○○,出版元□□□,　
«1828-0110»,«暦首»,文政十一年つちのえね乃寛政暦,鬼宿|値年,凡三百五十五日
«1828-0120»,«大歳»,大さいねの方,此方ニむかひて万よし|但木をきらす
«1828-0130»,«大將軍»,大しやうくんとりの方,うしのとしまて|三年ふさかり
«1828-0140»,«大陰»,大おんいぬの方,此方ニむかひて|さんをせす
«1828-0150»,«歳徳»,としとくあきの方|みむまの間万よし,ねうし|,金神,|さるとり
«1828-0160»,«歳刑»,さいけううの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1828-0170»,«歳破»,さいはむまの方,むかひてわたましせす|ふねのりはしめす,正月大,二月小,三月大
«1828-0180»,«歳煞»,さいせつひつしの方,此方より|よめとらす,四月小,五月大,六月大
«1828-0190»,«黄幡»,わうはんたつの方,むかひて|弓はしめよし,七月小,八月大,九月小
«1828-0200»,«豹尾»,へうひいぬの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月大,十二月小
«1828-0210»,«月序»,正月,大,建,甲寅,心宿値月婁宿金曜値朔日
«1828-0220»,«正月»,一日,かのとのうし,とつ,土,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1828-0230»,«正月»,二日,みつのえとら,たつ,金,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1828-0240»,«三日»,三日,みつのとのう,のそく,金,　,神よし
«1828-0250»,«暦日2»,四〳,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
«1828-0260»,«暦日0»,五〳,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
«1828-0270»,«暦日2»,六〳,ひのえむま,さたん,水,　,神よし 大みやう 月とく  わたましよし
«1828-0280»,«暦日0»,七〳,ひのとのひつし,とる,,　,神よし  かといてよし
«1828-0290»,«節中»,雨水正月中むまの四刻日の出より日入まて,昼四十五刻半余|夜五十四刻余,六より六まて,昼五十刻半余|夜四十九刻余
«1828-0300»,«暦日2»,八〳,つちのえさる,やふる,土,　,神よし きしく  たねまきよし
«1828-0310»,«暦日0»,九〳,つちのとのとり,あやふ,,　,十し
«1828-0320»,«暦日2»,十〳,かのえいぬ,なる,金,　,●
«1828-0330»,«暦日0»,十一〳,かのとのい,おさん,,　,神よし 大みやう 天おん 母倉 月とく 大くわ ちう日
«1828-0340»,«暦日2»,十二〳,みつのえね,ひらく,木,八せんのはしめ,神よし 天おん 母倉 天火 らうしやく
«1828-0350»,«暦日0»,十三〳,みつのとのうし,とつ,,ま日,神よし 天おん きこ ちいみ  つめとりよし
«1828-0360»,«暦日2»,十四〳,きのえとら,たつ,水,　,くゑ日 ふく日
«1828-0370»,«暦日0»,十五〳,きのとのう,のそく,,　,神よし  ものたちよし
«1828-0380»,«暦日2»,十六〳,ひのえたつ,みつ,土,ま日,大みやう 月とく
«1828-0390»,«暦日0»,十七〳,ひのとのみ,たいら,,　,ちう日 めつもん 地火
«1828-0400»,«暦日2»,十八〳,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
«1828-0410»,«暦日0»,十九〳,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
«1828-0420»,«暦日2»,廿〳,かのえさる,やふる,木,　,神よし 大みやう ふく日
«1828-0430»,«暦日0»,廿一〳,かのとのとり,あやふ,,　,十し
«1828-0440»,«暦日1»,廿二〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1828-0450»,«節中»,啓蟄二月せつとりの初刻ニ入日の出より日入まて,昼四十八刻|夜五十二刻,六より六まて,昼五十三刻|夜四十七刻
«1828-0460»,«暦日1»,廿三〳,みつのとのい,なる,水,八せんのおはり,母倉 ちう日  たねかしよし
«1828-0470»,«暦日2»,廿四〳,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
«1828-0480»,«暦日0»,廿五〳,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
«1828-0490»,«暦日2»,廿六〳,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
«1828-0500»,«暦日0»,廿七〳,ひのとのう,たつ,,　,天おん 天火 らうしやく
«1828-0510»,«暦日2»,廿八〳,つちのえたつ,のそく,木,　,●
«1828-0520»,«暦日0»,廿九〳,つちのとのみ,みつ,,　,十し
«1828-0530»,«暦日1»,卅〳,かのえむま,たいら,土,　,神よし 大くわ 地火
«1828-0540»,«月序»,二月,小,建,乙卯,尾宿　昴　日よう
«1828-0550»,«暦日1»,一〳,かのとのひつし,さたん,土,　,大みやう ちいみ ふく日  くらたて 井ほりよし
«1828-0560»,«暦日2»,二〳,みつのえさる,とる,金,ひかんニなる,神よし 大みやう  入学よし
«1828-0570»,«暦日0»,三〳,みつのとのとり,やふる,,　,大みやう  やたてよし
«1828-0580»,«暦日2»,四〳,きのえいぬ,あやふ,火,　,月とく  かといてよし
«1828-0590»,«暦日0»,五〳,きのとのい,なる,,　,母倉 ちう日 ふく日 わうまう  みそすつくりよし
