《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/117 ～ 122
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1832g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1832h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,天保三年みつのえたつ乃寛政暦,翼宿/値年,凡三百八十四日
《0120》,《大歳》,大さいたつの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんねの方,たつのとしまて/三年ふさかり
《0140》,《大陰》,大おんとらの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/いねの間万よし,とらう/,金神,/いぬい
《0160》,《歳刑》,さいけうたつの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはいぬの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月大
《0180》,《歳煞》,さいせつひつしの方,此方より/よめとらす,四月小,五月小,六月小
《0190》,《黄幡》,わうはんたつの方,むかひて/弓はしめよし,七月大,八月小,九月大
《0200》,《豹尾》,へうひいぬの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大/閏十一月大,十二月大
《0210》,《月序》,正月,大,建,壬寅,星宿値月斗宿木曜値朔日
《0220》,《正月》,一日,つちのとのとり,なる,土,　,●
《0230》,《正月》,二日,かのえいぬ,おさむ,金,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0240》,《正月》,三日,かのとのい,ひらく,金,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0250》,《暦日2》,四／,みつのえね,とつ,木,せつふん/八せんのはしめ,くゑ日 きこ ちいみ
《0260》,《暦日0》,五／,みつのとのうし,とつ,,ま日,神よし 天おん きこ ちいみ  つめとりよし
《0270》,《節中》,立春正月せつうの四刻ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《0280》,《暦日2》,六／,きのえとら,たつ,水,　,くゑ日 ふく日
《0290》,《暦日0》,七／,きのとのう,のそく,,　,神よし  ものたちよし
《0300》,《暦日2》,八／,ひのえたつ,みつ,土,ま日,大みやう 月とく
《0310》,《暦日0》,九／,ひのとのみ,たいら,,　,さい下しき ちう日 めつもん 地火
《0320》,《暦日2》,十／,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
《0330》,《暦日0》,十一／,つちのとのひつし,とる,,　,大みやう わうまう  かといて たねまきよし
《0340》,《暦日2》,十二／,かのえさる,やふる,木,　,神よし 大みやう ふく日
《0350》,《暦日0》,十三／,かのとのとり,あやふ,,　,十し
《0360》,《暦日2》,十四／,みつのえいぬ,なる,水,ま日,●
《0370》,《暦日0》,十五／,みつのとのい,おさん,,八せんのおはり,母倉 大くわ ちう日  けんふくよし
《0380》,《暦日2》,十六／,きのえね,ひらく,金,　,きしく 天おん 母倉 ふく日 天火 らうしやく
《0390》,《暦日0》,十七／,きのとのうし,とつ,,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
《0400》,《暦日2》,十八／,ひのえとら,たつ,火,　,天おん 月とく  つめとりよし
《0410》,《暦日0》,十九／,ひのとのう,のそく,,　,神よし 天おん  あさまきよし
《0420》,《暦日1》,廿／,つちのえたつ,みつ,木,　,天おん 五む日  みそつくりよし
