«1834-0000»,【 カンマ区切りテキスト形式です。】
«1834-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1834-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1834-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1834-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1834-0050»,【 外部リンク　】
«1834-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/126 ～ 130】
«1834-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1834h　(翻刻編集終了データを表成型して表示します)】
«1834-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1834ht (翻刻編集中データを表成型して表示します)】
«1834-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1834-0100»,«版元»,出版地○○,出版元□□□,　
«1834-0110»,«暦首»,天保五年きのえむま乃寛政暦,角宿|値年,凡三百五十四日
«1834-0120»,«大歳»,大さいむまの方,此方ニむかひて万よし|但木をきらす
«1834-0130»,«大將軍»,大しやうくんうの方,ひつしのとしまて|三年ふさかり
«1834-0140»,«大陰»,大おんたつの方,此方ニむかひて|さんをせす
«1834-0150»,«歳徳»,としとくあきの方|とらうの間万よし,むまひつし|,金神,|さるとり
«1834-0160»,«歳刑»,さいけうむまの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1834-0170»,«歳破»,さいはねの方,むかひてわたましせす|ふねのりはしめす,正月小,二月大,三月大
«1834-0180»,«歳煞»,さいせつうしの方,此方より|よめとらす,四月小,五月大,六月小
«1834-0190»,«黄幡»,わうはんいぬの方,むかひて|弓はしめよし,七月小,八月大,九月小
«1834-0200»,«豹尾»,へうひたつの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月小,十二月大
«1834-0210»,«月序»,正月,小,建,丙寅,參宿値月昴宿日曜値朔日
«1834-0220»,«正月»,一日,ひのとのう,のそく,火,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1834-0230»,«正月»,二日,つちのえたつ,みつ,木,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1834-0240»,«三日»,三日,つちのとのみ,たいら,木,　,ちう日 めつもん 地火 わうまう
«1834-0250»,«暦日2»,四〳,かのえむま,さたん,土,　,神よし ふく日
«1834-0260»,«暦日0»,五〳,かのとのひつし,とる,,　,大みやう 月とく  いちたちよし
«1834-0270»,«暦日2»,六〳,みつのえさる,やふる,金,　,神よし きしく 大みやう
«1834-0280»,«暦日0»,七〳,みつのとのとり,あやふ,,　,十し
«1834-0290»,«暦日2»,八〳,きのえいぬ,なる,火,　,●
«1834-0300»,«暦日0»,九〳,きのとのい,おさん,,　,母倉 大くわ ちう日
«1834-0310»,«暦日2»,十〳,ひのえね,ひらく,水,　,母倉 月とく 天火 らうしやく
«1834-0320»,«暦日0»,十一〳,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
«1834-0330»,«暦日1»,十二〳,つちのえとら,たつ,土,　,天しや よろつよし
«1834-0340»,«節中»,雨水正月中いの七刻日の出より日入まて,昼四十五刻半余|夜五十四刻余,六より六まて,昼五十刻半余|夜四十九刻余
«1834-0350»,«暦日1»,十三〳,つちのとのう,のそく,土,　,神よし 大みやう 天おん  みそさけつくり たねまきよし
«1834-0360»,«暦日2»,十四〳,かのえたつ,みつ,金,　,天おん ふく日
«1834-0370»,«暦日0»,十五〳,かのとのみ,たいら,,　,天おん 母倉 月とく ちう日 めつもん 地火
«1834-0380»,«暦日2»,十六〳,みつのえむま,さたん,木,　,神よし 大みやう 天おん  木こりよし
«1834-0390»,«暦日0»,十七〳,みつのとのひつし,とる,,　,天おん  たねまきよし
