«1835-0000»,【 カンマ区切りテキスト形式です。】
«1835-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1835-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1835-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1835-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1835-0050»,【 外部リンク　】
«1835-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/130 ～ 134】
«1835-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1835h　(翻刻編集終了データを表成型して表示します)】
«1835-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1835ht (翻刻編集中データを表成型して表示します)】
«1835-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1835-0100»,«版元»,出版地○○,出版元□□□,　
«1835-0110»,«暦首»,天保六年きのとのひつし乃寛政暦,亢宿|値年,凡三百八十四日
«1835-0120»,«大歳»,大さいひつしの方,此方ニむかひて万よし|但木をきらす
«1835-0130»,«大將軍»,大しやうくんうの方,ひつしのとしまて|三年ふさかり
«1835-0140»,«大陰»,大おんみの方,此方ニむかひて|さんをせす
«1835-0150»,«歳徳»,としとくあきの方|さるとりの間万よし,たつ|,金神,|み
«1835-0160»,«歳刑»,さいけううしの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1835-0170»,«歳破»,さいはうしの方,むかひてわたましせす|ふねのりはしめす,正月小,二月大,三月大
«1835-0180»,«歳煞»,さいせついぬの方,此方より|よめとらす,四月小,五月大,六月大
«1835-0190»,«黄幡»,わうはんひつしの方,むかひて|弓はしめよし,七月小|閏七月小,八月大,九月小
«1835-0200»,«豹尾»,へうひうしの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月小,十二月大
«1835-0210»,«月序»,正月,小,建,戊寅,心宿値月斗宿木曜値朔日
«1835-0220»,«正月»,一日,かのとのとり,なる,木,　,●
«1835-0230»,«正月»,二日,みつのえいぬ,おさむ,水,吉事始|ま日,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1835-0240»,«正月»,三日,みつのとのい,ひらく,水,八せんのおはり,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1835-0250»,«暦日2»,四〳,きのえね,とつ,金,　,天しや よろつよし
«1835-0260»,«暦日0»,五〳,きのとのうし,たつ,,　,十し
«1835-0270»,«暦日2»,六〳,ひのえとら,のそく,火,　,天おん  けんふく  つめとりよし
«1835-0280»,«暦日0»,七〳,ひのとのう,みつ,,せつふん,天おん わうまう
«1835-0290»,«暦日1»,八〳,つちのえたつ,みつ,木,　,天おん 五む日  みそつくりよし
«1835-0300»,«節中»,立春正月せつ今夜ねの一刻ニ入日の出より日入まて,昼四十三刻半|夜五十六刻半,六より六まて,昼四十八刻半余|夜五十一刻余
«1835-0310»,«暦日1»,九〳,つちのとのみ,たいら,木,　,神よし ちう日 めつもん 地火  入学よし
«1835-0320»,«暦日2»,十〳,かのえむま,さたん,土,　,神よし ふく日
«1835-0330»,«暦日0»,十一〳,かのとのひつし,とる,,　,大みやう 月とく  いちたちよし
«1835-0340»,«暦日2»,十二〳,みつのえさる,やふる,金,　,神よし 大みやう
«1835-0350»,«暦日0»,十三〳,みつのとのとり,あやふ,,　,十し
«1835-0360»,«暦日2»,十四〳,きのえいぬ,なる,火,　,●
«1835-0370»,«暦日0»,十五〳,きのとのい,おさん,,　,母倉 大くわ ちう日
«1835-0380»,«暦日2»,十六〳,ひのえね,ひらく,水,　,きしく 母倉 月とく 天火 らうしやく
«1835-0390»,«暦日0»,十七〳,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
«1835-0400»,«暦日2»,十八〳,つちのえとら,たつ,土,　,天しや よろつよし
