«1840-0000»,【 カンマ区切りテキスト形式です。】
«1840-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1840-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1840-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1840-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1840-0050»,【 外部リンク　】
«1840-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/151 ～ 155】
«1840-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1840h　(翻刻編集終了データを表成型して表示します)】
«1840-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1840ht (翻刻編集中データを表成型して表示します)】
«1840-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1840-0100»,«版元»,出版地○○,出版元□□□,　
«1840-0110»,«暦首»,天保十一年かのえね乃寛政暦,箕宿|値年,凡三百五十五日
«1840-0120»,«大歳»,大さいねの方,此方ニむかひて万よし|但木をきらす
«1840-0130»,«大將軍»,大しやうくんとりの方,うしのとしまて|三年ふさかり
«1840-0140»,«大陰»,大おんいぬの方,此方ニむかひて|さんをせす
«1840-0150»,«歳徳»,としとくあきの方|さるとりの間万よし,たつ|,金神,|み
«1840-0160»,«歳刑»,さいけううの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1840-0170»,«歳破»,さいはむまの方,むかひてわたましせす|ふねのりはしめす,正月大,二月大,三月小
«1840-0180»,«歳煞»,さいせつひつしの方,此方より|よめとらす,四月小,五月小,六月大
«1840-0190»,«黄幡»,わうはんたつの方,むかひて|弓はしめよし,七月小,八月大,九月小
«1840-0200»,«豹尾»,へうひいぬの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月大,十二月大
«1840-0210»,«月序»,正月,大,建,戊寅,牛宿値月畢宿月曜値朔日
«1840-0220»,«正月»,一日,みつのえたつ,たいら,水,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1840-0230»,«正月»,二日,みつのとのみ,さたむ,水,天一天上,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1840-0240»,«三日»,三日,きのえむま,とる,金,せつふん,神よし 母倉
«1840-0250»,«暦日1»,四〳,きのとのひつし,とる,金,　,大みやう 五む日
«1840-0260»,«節中»,立春正月せつ今暁とらの六刻ニ入日の出より日入まて,昼四十三刻半|夜五十六刻半,六より六まて,昼四十八刻半余|夜五十一刻余
«1840-0270»,«暦日2»,五〳,ひのえさる,やふる,火,　,神よし きしく 月とく
«1840-0280»,«暦日0»,六〳,ひのとのとり,あやふ,,　,十し
«1840-0290»,«暦日2»,七〳,つちのえいぬ,なる,木,　,●
«1840-0300»,«暦日0»,八〳,つちのとのい,おさん,,　,神よし 母倉 大くわ ちう日
«1840-0310»,«暦日2»,九〳,かのえね,ひらく,土,　,神よし 母倉 ふく日 天火 らうしやく
«1840-0320»,«暦日0»,十〳,かのとのうし,とつ,,　,月とく 五む日 きこ ちいみ わうまう  ものたち  つめとりよし
«1840-0330»,«暦日2»,十一〳,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
«1840-0340»,«暦日0»,十二〳,みつのとのう,のそく,,　,神よし  あさまきよし
«1840-0350»,«暦日2»,十三〳,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
«1840-0360»,«暦日0»,十四〳,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
«1840-0370»,«暦日1»,十五〳,ひのえむま,さたん,水,　,大みやう 月とく
«1840-0380»,«食記»,月そく三分半,　
«1840-0390»,«暦日1»,十六〳,ひのとのひつし,とる,水,　,神よし  かといてよし
«1840-0400»,«暦日2»,十七〳,つちのえさる,やふる,土,　,神よし  たねまきよし
«1840-0410»,«暦日0»,十八〳,つちのとのとり,あやふ,,　,十し
«1840-0420»,«暦日1»,十九〳,かのえいぬ,なる,金,　,●
«1840-0430»,«節中»,雨水正月中みの三刻日の出より日入まて,昼四十五刻半余|夜五十四刻余,六より六まて,昼五十刻半余|夜四十九刻余
«1840-0440»,«暦日1»,廿〳,かのとのい,おさん,金,　,神よし 大みやう 天おん 母倉 月とく 大くわ ちう日
«1840-0450»,«暦日2»,廿一〳,みつのえね,ひらく,木,八せんのはしめ,神よし 天おん 母倉 天火 らうしやく
«1840-0460»,«暦日0»,廿二〳,みつのとのうし,とつ,,ま日,神よし 天おん きこ ちいみ  つめとりよし
«1840-0470»,«暦日2»,廿三〳,きのえとら,たつ,水,　,くゑ日 ふく日
«1840-0480»,«暦日0»,廿四〳,きのとのう,のそく,,　,神よし  ものたちよし
«1840-0490»,«暦日2»,廿五〳,ひのえたつ,みつ,土,ま日,大みやう 月とく
«1840-0500»,«暦日0»,廿六〳,ひのとのみ,たいら,,　,ちう日 めつもん 地火
«1840-0510»,«暦日2»,廿七〳,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
«1840-0520»,«暦日0»,廿八〳,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
«1840-0530»,«暦日2»,廿九〳,かのえさる,やふる,木,　,神よし 大みやう ふく日
«1840-0540»,«暦日0»,卅〳,かのとのとり,あやふ,,　,十し
«1840-0550»,«月序»,二月,大,建,己卯,女宿　參　水よう
«1840-0560»,«暦日1»,一〳,みつのえいぬ,なる,水,ま日,●
«1840-0570»,«食記»,日蝕五分,　
«1840-0580»,«暦日1»,二〳,みつのとのい,おさん,水,八せんのおはり,母倉 大くわ ちう日  けんふくよし
«1840-0590»,«暦日2»,三〳,きのえね,ひらく,金,　,きしく 天おん 母倉 ふく日 天火 らうしやく
«1840-0600»,«暦日0»,四〳,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
«1840-0610»,«節中»,啓蟄二月せつひつしの八刻ニ入日の出より日入まて,昼四十八刻|夜五十二刻,六より六まて,昼五十三刻|夜四十七刻
«1840-0620»,«暦日2»,五〳,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
«1840-0630»,«暦日0»,六〳,ひのとのう,たつ,,　,天おん 天火 らうしやく
«1840-0640»,«暦日2»,七〳,つちのえたつ,のそく,木,　,●
«1840-0650»,«暦日0»,八〳,つちのとのみ,みつ,,　,十し
«1840-0660»,«暦日2»,九〳,かのえむま,たいら,土,　,神よし 大くわ 地火
«1840-0670»,«暦日0»,十〳,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
«1840-0680»,«暦日2»,十一〳,みつのえさる,とる,金,　,神よし 大みやう  入学よし
«1840-0690»,«暦日0»,十二〳,みつのとのとり,やふる,,　,大みやう  やたてよし
«1840-0700»,«暦日2»,十三〳,きのえいぬ,あやふ,火,　,月とく  かといてよし
«1840-0710»,«暦日0»,十四〳,きのとのい,なる,,ひかんニなる,母倉 ちう日 ふく日  みそすつくりよし
«1840-0720»,«暦日2»,十五〳,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
«1840-0730»,«暦日0»,十六〳,ひのとのうし,ひらく,,　,さい下しき 大みやう  ものたち  つめとりよし
«1840-0740»,«暦日2»,十七〳,つちのえとら,とつ,土,社日,天しや よろつよし
«1840-0750»,«暦日0»,十八〳,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
«1840-0760»,«暦日1»,十九〳,かのえたつ,のそく,金,　,●
«1840-0770»,«節中»,春分二月中いぬの五刻日の出より日入まて,昼五十刻余|夜四十九刻半余,六より六まて,昼五十五刻余|夜四十四刻半余
«1840-0780»,«暦日1»,廿〳,かのとのみ,みつ,金,　,十し
«1840-0790»,«暦日2»,廿一〳,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
«1840-0800»,«暦日0»,廿二〳,みつのとのひつし,さたん,,　,天おん ちいみ
«1840-0810»,«暦日2»,廿三〳,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
«1840-0820»,«暦日0»,廿四〳,きのとのとり,やふる,,　,ふく日
«1840-0830»,«暦日2»,廿五〳,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
«1840-0840»,«暦日0»,廿六〳,ひのとのい,なる,,　,大みやう 母倉 ちう日
«1840-0850»,«暦日2»,廿七〳,つちのえね,おさん,火,　,母倉 めつもん  けんふく たねかしよし
«1840-0860»,«暦日0»,廿八〳,つちのとのうし,ひらく,,　,月とく  井ほり  つめとりよし
«1840-0870»,«暦日2»,廿九〳,かのえとら,とつ,木,　,きこ  つめとりよし
«1840-0880»,«暦日0»,卅〳,かのとのう,たつ,,　,ふく日 天火 らうしやく
«1840-0890»,«月序»,三月,小,建,庚辰,虛宿　鬼　金よう
«1840-0900»,«暦日2»,一〳,みつのえたつ,のそく,水,　,●
«1840-0910»,«暦日0»,二〳,みつのとのみ,みつ,,天一天上,十し
«1840-0920»,«暦日2»,三〳,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
«1840-0930»,«暦日0»,四〳,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
«1840-0940»,«暦日1»,五〳,ひのえさる,さたん,火,　,くゑ日
«1840-0950»,«節中»,清明三月せつ今暁うしの二刻ニ入日の出より日入まて,昼五十二刻半|夜四十七刻半,六より六まて,昼五十七刻半余|夜四十二刻余
«1840-0960»,«暦日1»,六〳,ひのとのとり,とる,火,　,神よし 月とく  いちたちよし
«1840-0970»,«暦日2»,七〳,つちのえいぬ,やふる,木,　,ふく日
«1840-0980»,«暦日0»,八〳,つちのとのい,あやふ,,　,●
«1840-0990»,«暦日2»,九〳,かのえね,なる,土,　,神よし きこ
«1840-1000»,«暦日0»,十〳,かのとのうし,おさん,,　,十し
«1840-1010»,«暦日2»,十一〳,みつのえとら,ひらく,金,　,大みやう 月とく ちいみ  つめとりよし
«1840-1020»,«暦日0»,十二〳,みつのとのう,とつ,,　,神よし  けんふく かといてよし
«1840-1030»,«暦日2»,十三〳,きのえたつ,たつ,火,　,大みやう くゑ日
«1840-1040»,«暦日0»,十四〳,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
«1840-1050»,«暦日2»,十五〳,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
«1840-1060»,«暦日0»,十六〳,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
«1840-1070»,«暦日2»,十七〳,つちのえさる,さたん,土,とよううの二刻ニ入,くゑ日 ふく日
«1840-1080»,«暦日0»,十八〳,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
«1840-1090»,«暦日2»,十九〳,かのえいぬ,やふる,金,　,大みやう 天おん
«1840-1100»,«暦日0»,廿〳,かのとのい,あやふ,,　,●
«1840-1110»,«節中»,穀雨三月中うの七刻日の出より日入まて,昼五十四刻半余|夜四十五刻余,六より六まて,昼六十刻|夜四十刻
«1840-1120»,«暦日2»,廿一〳,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
«1840-1130»,«暦日0»,廿二〳,みつのとのうし,おさん,,ま日,十し
«1840-1140»,«暦日2»,廿三〳,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
«1840-1150»,«暦日0»,廿四〳,きのとのう,とつ,,　,神よし  ものたちよし
«1840-1160»,«暦日2»,廿五〳,ひのえたつ,たつ,土,ま日,大みやう わうまう  わたましよし
«1840-1170»,«暦日0»,廿六〳,ひのとのみ,のそく,,　,母倉 月とく ちう日  いちたちよし
«1840-1180»,«暦日2»,廿七〳,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
«1840-1190»,«暦日0»,廿八〳,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1840-1200»,«暦日1»,廿九〳,かのえさる,さたん,木,　,きしく 大みやう くゑ日
«1840-1210»,«月序»,四月,小,建,辛巳,危宿　柳　土よう
«1840-1220»,«暦日1»,一〳,かのとのとり,とる,木,　,神よし 大みやう  井ほりよし
«1840-1230»,«暦日2»,二〳,みつのえいぬ,やふる,水,八十八や|ま日,月とく
«1840-1240»,«暦日0»,三〳,みつのとのい,あやふ,,八せんのおはり,●
«1840-1250»,«暦日2»,四〳,きのえね,なる,金,　,くゑ日 きこ
«1840-1260»,«暦日0»,五〳,きのとのうし,おさん,,　,十し
«1840-1270»,«暦日1»,六〳,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
«1840-1280»,«節中»,立夏四月せつむまの四刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1840-1290»,«暦日1»,七〳,ひのとのう,ひらく,火,　,神よし 天おん 母倉  わたましよし
«1840-1300»,«暦日2»,八〳,つちのえたつ,とつ,木,　,五む日 くゑ日
«1840-1310»,«暦日0»,九〳,つちのとのみ,たつ,,　,●
«1840-1320»,«暦日2»,十〳,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
«1840-1330»,«暦日0»,十一〳,かのとのひつし,みつ,,　,大みやう くゑ日
«1840-1340»,«暦日2»,十二〳,みつのえさる,たいら,金,　,神よし 大みやう ちいみ 大くわ ふく日 地火
«1840-1350»,«暦日0»,十三〳,みつのとのとり,さたん,,　,十し
«1840-1360»,«暦日2»,十四〳,きのえいぬ,とる,火,　, やたて くらたてよし
«1840-1370»,«暦日0»,十五〳,きのとのい,やふる,,　,月とく ちう日
«1840-1380»,«暦日2»,十六〳,ひのえね,あやふ,水,　,ふく日  さひらきよし
«1840-1390»,«暦日0»,十七〳,ひのとのうし,なる,,　,さい下しき 大みやう きこ  ものたち  つめとりよし
