«1842-0000»,【 カンマ区切りテキスト形式です。】
«1842-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1842-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1842-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1842-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1842-0050»,【 外部リンク　】
«1842-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/160 ～ 163】
«1842-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1842h　(翻刻編集終了データを表成型して表示します)】
«1842-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1842ht (翻刻編集中データを表成型して表示します)】
«1842-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1842-0100»,«版元»,出版地○○,出版元□□□,　
«1842-0110»,«暦首»,天保十三年みつのえとら乃寛政暦,牛宿|値年,凡三百五十四日
«1842-0120»,«大歳»,大さいとらの方,此方ニむかひて万よし|但木をきらす
«1842-0130»,«大將軍»,大しやうくんねの方,たつのとしまて|三年ふさかり
«1842-0140»,«大陰»,大おんねの方,此方ニむかひて|さんをせす
«1842-0150»,«歳徳»,としとくあきの方|いねの間万よし,とらう|,金神,|いぬい
«1842-0160»,«歳刑»,さいけうみの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1842-0170»,«歳破»,さいはさるの方,むかひてわたましせす|ふねのりはしめす,正月大,二月大,三月小
«1842-0180»,«歳煞»,さいせつうしの方,此方より|よめとらす,四月大,五月小,六月小
«1842-0190»,«黄幡»,わうはんいぬの方,むかひて|弓はしめよし,七月大,八月小,九月大
«1842-0200»,«豹尾»,へうひたつの方,むかひて大小へんせす|ちくるいもとめす,十月小,十一月大,十二月小
«1842-0210»,«月序»,正月,大,建,壬寅,心宿値月角宿木曜値朔日
«1842-0220»,«正月»,一日,かのえいぬ,なる,金,　,●
«1842-0230»,«正月»,二日,かのとのい,おさむ,金,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1842-0240»,«正月»,三日,みつのえね,ひらく,木,八せんのはしめ,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1842-0250»,«暦日1»,四〳,みつのとのうし,とつ,木,ま日,神よし 天おん きこ ちいみ  つめとりよし
«1842-0260»,«暦日2»,五〳,きのえとら,たつ,水,　,くゑ日 ふく日
«1842-0270»,«暦日0»,六〳,きのとのう,のそく,,　,神よし  ものたちよし
«1842-0280»,«暦日2»,七〳,ひのえたつ,みつ,土,ま日,大みやう 月とく
«1842-0290»,«暦日0»,八〳,ひのとのみ,たいら,,　,ちう日 めつもん 地火
«1842-0300»,«暦日2»,九〳,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
«1842-0310»,«暦日0»,十〳,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
«1842-0320»,«暦日1»,十一〳,かのえさる,やふる,木,　,神よし 大みやう ふく日
«1842-0330»,«節中»,雨水正月中いの一刻日の出より日入まて,昼四十五刻半余|夜五十四刻余,六より六まて,昼五十刻半余|夜四十九刻余
«1842-0340»,«暦日1»,十二〳,かのとのとり,あやふ,木,　,十し
«1842-0350»,«暦日2»,十三〳,みつのえいぬ,なる,水,ま日,●
«1842-0360»,«暦日0»,十四〳,みつのとのい,おさん,,八せんのおはり,母倉 大くわ ちう日  けんふくよし
«1842-0370»,«暦日2»,十五〳,きのえね,ひらく,金,　,天おん 母倉 ふく日 天火 らうしやく
«1842-0380»,«暦日0»,十六〳,きのとのうし,とつ,,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
«1842-0390»,«暦日2»,十七〳,ひのえとら,たつ,火,　,天おん 月とく  つめとりよし
«1842-0400»,«暦日0»,十八〳,ひのとのう,のそく,,　,さい下しき 神よし 天おん  あさまきよし
«1842-0410»,«暦日2»,十九〳,つちのえたつ,みつ,木,　,天おん 五む日  みそつくりよし
«1842-0420»,«暦日0»,廿〳,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
«1842-0430»,«暦日2»,廿一〳,かのえむま,さたん,土,　,神よし ふく日
«1842-0440»,«暦日0»,廿二〳,かのとのひつし,とる,,　,大みやう 月とく  いちたちよし
«1842-0450»,«暦日2»,廿三〳,みつのえさる,やふる,金,　,神よし きしく 大みやう
«1842-0460»,«暦日0»,廿四〳,みつのとのとり,あやふ,,　,十し
«1842-0470»,«暦日2»,廿五〳,きのえいぬ,なる,火,　,●
«1842-0480»,«暦日0»,廿六〳,きのとのい,おさん,,　,母倉 大くわ ちう日
«1842-0490»,«暦日1»,廿七〳,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
«1842-0500»,«節中»,啓蟄二月せつ今暁うしの六刻ニ入日の出より日入まて,昼四十八刻|夜五十二刻,六より六まて,昼五十三刻|夜四十七刻
«1842-0510»,«暦日1»,廿八〳,ひのとのうし,ひらく,水,　,大みやう  ものたち  つめとりよし
«1842-0520»,«暦日2»,廿九〳,つちのえとら,とつ,土,　,天しや よろつよし
«1842-0530»,«暦日0»,卅〳,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
«1842-0540»,«月序»,二月,大,建,癸卯,尾宿　氐　土よう
«1842-0550»,«暦日2»,一〳,かのえたつ,のそく,金,　,●
«1842-0560»,«暦日0»,二〳,かのとのみ,みつ,,　,十し
«1842-0570»,«暦日2»,三〳,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
«1842-0580»,«暦日0»,四〳,みつのとのひつし,さたん,,　,天おん ちいみ
«1842-0590»,«暦日2»,五〳,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
«1842-0600»,«暦日0»,六〳,きのとのとり,やふる,,　,ふく日
«1842-0610»,«暦日2»,七〳,ひのえいぬ,あやふ,土,ひかんニなる,五む日  あさまきよし
«1842-0620»,«暦日0»,八〳,ひのとのい,なる,,　,大みやう 母倉 ちう日
«1842-0630»,«暦日2»,九〳,つちのえね,おさん,火,社日,母倉 めつもん  けんふく たねかしよし
«1842-0640»,«暦日0»,十〳,つちのとのうし,ひらく,,　,月とく わうまう  井ほり  つめとりよし
«1842-0650»,«暦日2»,十一〳,かのえとら,とつ,木,　,きこ  つめとりよし
«1842-0660»,«暦日0»,十二〳,かのとのう,たつ,,　,ふく日 天火 らうしやく
«1842-0670»,«節中»,春分二月中たつの三刻日の出より日入まて,昼五十刻余|夜四十九刻半余,六より六まて,昼五十五刻余|夜四十四刻半余
«1842-0680»,«暦日2»,十三〳,みつのえたつ,のそく,水,　,●
«1842-0690»,«暦日0»,十四〳,みつのとのみ,みつ,,天一天上,十し
«1842-0700»,«暦日2»,十五〳,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
«1842-0710»,«暦日0»,十六〳,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
«1842-0720»,«暦日2»,十七〳,ひのえさる,とる,火,　,神よし
«1842-0730»,«暦日0»,十八〳,ひのとのとり,やふる,,　, あさまき たねかしよし
«1842-0740»,«暦日2»,十九〳,つちのえいぬ,あやふ,木,　, かといてよし
«1842-0750»,«暦日0»,廿〳,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
«1842-0760»,«暦日2»,廿一〳,かのえね,おさん,土,　,神よし きしく 母倉 めつもん  よめとり たねかしよし
«1842-0770»,«暦日0»,廿二〳,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
«1842-0780»,«暦日2»,廿三〳,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
«1842-0790»,«暦日0»,廿四〳,みつのとのう,たつ,,　,天火 らうしやく
«1842-0800»,«暦日2»,廿五〳,きのえたつ,のそく,火,　,●
«1842-0810»,«暦日0»,廿六〳,きのとのみ,みつ,,　,十し
«1842-0820»,«暦日1»,廿七〳,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
«1842-0830»,«節中»,清明三月せつひつしの初刻ニ入日の出より日入まて,昼五十二刻半|夜四十七刻半,六より六まて,昼五十七刻半余|夜四十二刻余
«1842-0840»,«暦日1»,廿八〳,ひのとのひつし,たいら,水,　,神よし 月とく めつもん 地火
«1842-0850»,«暦日2»,廿九〳,つちのえさる,さたん,土,　,くゑ日 ふく日
