«1844-0000»,【 カンマ区切りテキスト形式です。】
«1844-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1844-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1844-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1844-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1844-0050»,【 外部リンク　】
«1844-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/168 ～ 172】
«1844-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1844h　(翻刻編集終了データを表成型して表示します)】
«1844-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1844ht (翻刻編集中データを表成型して表示します)】
«1844-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1844-0100»,«版元»,出版地○○,出版元□□□,　
«1844-0110»,«前書»,今まて頒ち行れし寛政暦ハ違える事のあるをもて更に改暦の|命あり遂に天保十三年新暦成に及ひ|詔して名を天保壬寅元暦と賜ふ|抑元文五年庚申宝暦五年乙亥の暦にことわる如く一昼夜を云ハ今暁九時を始とし今夜九時を終とす然れとも是まて頒ち行れし暦には毎月節気中気土用日月食の時刻をいふもの皆昼夜を平等して記すか故其時刻時の鐘とまゝ遅速の違あり今改る所ハ四時日夜の長短に随ひ其時を量り記し世俗に違ふ事なからしむ今より後此例に従ふ
«1844-0120»,«暦首»,天保十五年きのえたつ乃天保壬寅元暦,虛宿|値年,凡三百五十五日
«1844-0130»,«大歳»,大さいたつの方,此方ニむかひて万よし|但木をきらす
«1844-0140»,«大將軍»,大しやうくんねの方,たつのとしまて|三年ふさかり
«1844-0150»,«大陰»,大おんとらの方,此方ニむかひて|さんをせす
«1844-0160»,«歳徳»,としとくあきの方|とらうの間万よし,むまひつし|,金神,|さるとり
«1844-0170»,«歳刑»,さいけうたつの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1844-0180»,«歳破»,さいはいぬの方,むかひてわたましせす|ふねのりはしめす,正月大,二月大,三月小
«1844-0190»,«歳煞»,さいせつひつしの方,此方より|よめとらす,四月大,五月小,六月大
«1844-0200»,«黄幡»,わうはんたつの方,むかひて|弓はしめよし,七月小,八月大,九月小
«1844-0210»,«豹尾»,へうひいぬの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月小,十二月大
«1844-0220»,«月序»,正月,大,建,丙寅,角宿値月虛宿日曜値朔日
«1844-0230»,«正月»,一日,つちのえたつ,みつ,木,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1844-0240»,«正月»,二日,つちのとのみ,たいら,木,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1844-0250»,«節中»,雨水正月中夜五時四分日の出より日入まて,昼四十五刻半|夜五十四刻半,六より六まて,昼五十刻半|夜四十九刻半
«1844-0260»,«三日»,三日,かのえむま,さたむ,土,　,神よし ふく日
«1844-0270»,«暦日1»,四〳,かのとのひつし,とる,土,　,大みやう 月とく  いちたちよし
«1844-0280»,«暦日2»,五〳,みつのえさる,やふる,金,　,神よし 大みやう
«1844-0290»,«暦日0»,六〳,みつのとのとり,あやふ,,　,十し
«1844-0300»,«暦日2»,七〳,きのえいぬ,なる,火,　,●
«1844-0310»,«暦日0»,八〳,きのとのい,おさん,,　,母倉 大くわ ちう日
«1844-0320»,«暦日2»,九〳,ひのえね,ひらく,水,　,母倉 月とく 天火 らうしやく
«1844-0330»,«暦日0»,十〳,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
«1844-0340»,«暦日2»,十一〳,つちのえとら,たつ,土,　,天しや よろつよし
«1844-0350»,«暦日0»,十二〳,つちのとのう,のそく,,　,神よし 大みやう 天おん  みそさけつくり たねまきよし
«1844-0360»,«暦日2»,十三〳,かのえたつ,みつ,金,　,きしく 天おん ふく日
«1844-0370»,«暦日0»,十四〳,かのとのみ,たいら,,　,天おん 母倉 月とく ちう日 めつもん 地火
«1844-0380»,«暦日2»,十五〳,みつのえむま,さたん,木,　,神よし 大みやう 天おん  木こりよし
«1844-0390»,«暦日0»,十六〳,みつのとのひつし,とる,,　,天おん  たねまきよし
«1844-0400»,«暦日1»,十七〳,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
«1844-0410»,«節中»,啓蟄二月せつ暮六時六分ニ入日の出より日入まて,昼四十七刻半余|夜五十二刻余,六より六まて,昼五十二刻半余|夜四十七刻余
«1844-0420»,«暦日1»,十八〳,きのとのとり,やふる,水,　,ふく日
«1844-0430»,«暦日2»,十九〳,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
«1844-0440»,«暦日0»,廿〳,ひのとのい,なる,,　,大みやう 母倉 ちう日
«1844-0450»,«暦日2»,廿一〳,つちのえね,おさん,火,　,母倉 めつもん  けんふく たねかしよし
