《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/172 ～ 176
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1845g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1845h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,天保十六年きのとのみ乃天保壬寅元暦,危宿/値年,凡三百五十四日
《0120》,《大歳》,大さいみの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんうの方,ひつしのとしまて/三年ふさかり
《0140》,《大陰》,大おんうの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/さるとりの間万よし,たつ/,金神,/み
《0160》,《歳刑》,さいけうさるの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはいの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月小
《0180》,《歳煞》,さいせつたつの方,此方より/よめとらす,四月大,五月大,六月小
《0190》,《黄幡》,わうはんうしの方,むかひて/弓はしめよし,七月大,八月小,九月大
《0200》,《豹尾》,へうひひつしの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月小
《0210》,《月序》,正月,小,建,戊寅,室宿値月亢宿金曜値朔日
《0220》,《正月》,一日,みつのとのい,おさむ,水,吉事始/八せんのおはり,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《正月》,二日,きのえね,ひらく,金,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0240》,《三日》,三日,きのとのうし,とつ,金,　,神よし 天おん きこ ちいみ
《0250》,《暦日2》,四／,ひのえとら,たつ,火,　,天おん 月とく わうまう  つめとりよし
《0260》,《暦日0》,五／,ひのとのう,のそく,,　,神よし 天おん  あさまきよし
《0270》,《暦日2》,六／,つちのえたつ,みつ,木,　,天おん 五む日  みそつくりよし
《0280》,《暦日0》,七／,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
《0290》,《暦日2》,八／,かのえむま,さたん,土,　,神よし ふく日
《0300》,《暦日0》,九／,かのとのひつし,とる,,　,大みやう 月とく  いちたちよし
《0310》,《暦日2》,十／,みつのえさる,やふる,金,　,神よし 大みやう
《0320》,《暦日0》,十一／,みつのとのとり,あやふ,,　,十し
《0330》,《暦日2》,十二／,きのえいぬ,なる,火,　,●
《0340》,《暦日0》,十三／,きのとのい,おさん,,　,母倉 大くわ ちう日
《0350》,《節中》,雨水正月中今暁八時四分日の出より日入まて,昼四十五刻半/夜五十四刻半,六より六まて,昼五十刻半/夜四十九刻半
《0360》,《暦日2》,十四／,ひのえね,ひらく,水,　,母倉 月とく 天火 らうしやく
《0370》,《暦日0》,十五／,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《0380》,《暦日2》,十六／,つちのえとら,たつ,土,　,天しや よろつよし
《0390》,《暦日0》,十七／,つちのとのう,のそく,,　,神よし 大みやう 天おん  みそさけつくり たねまきよし
