《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/182 ～ 186
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1847g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1847h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,弘化四年ひのとのひつし乃天保壬寅元暦,壁宿/値年,凡三百五十五日
《0120》,《大歳》,大さいひつしの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんうの方,ひつしのとしまて/三年ふさかり
《0140》,《大陰》,大おんみの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/いねの間万よし,とらう/,金神,/いぬい
《0160》,《歳刑》,さいけううしの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはうしの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月大
《0180》,《歳煞》,さいせついぬの方,此方より/よめとらす,四月小,五月小,六月大
《0190》,《黄幡》,わうはんひつしの方,むかひて/弓はしめよし,七月大,八月小,九月大
《0200》,《豹尾》,へうひうしの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月小,十二月大
《0210》,《月序》,正月,大,建,壬寅,牛宿値月危宿月曜値朔日
《0220》,《正月》,一日,かのとのみ,たいら,金,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《正月》,二日,みつのえむま,さたむ,木,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0240》,《三日》,三日,みつのとのひつし,とる,木,　,天おん
《0250》,《暦日2》,四／,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
《0260》,《暦日0》,五／,きのとのとり,あやふ,,　,十し
《0270》,《節中》,雨水正月中昼八時二分日の出より日入まて,昼四十五刻半/夜五十四刻半,六より六まて,昼五十刻半/夜四十九刻半
《0280》,《暦日2》,六／,ひのえいぬ,なる,土,　,●
《0290》,《暦日0》,七／,ひのとのい,おさん,,　,大みやう 母倉 大くわ ちう日
《0300》,《暦日2》,八／,つちのえね,ひらく,火,　,母倉 天火 らうしやく  けんふく 入学よし
《0310》,《暦日0》,九／,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
《0320》,《暦日2》,十／,かのえとら,たつ,木,　,ふく日  つめとりよし
《0330》,《暦日0》,十一／,かのとのう,のそく,,　,くゑ日
《0340》,《暦日2》,十二／,みつのえたつ,みつ,水,　,きしく 大みやう 五む日
《0350》,《暦日0》,十三／,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
《0360》,《暦日2》,十四／,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
《0370》,《暦日0》,十五／,きのとのひつし,とる,,　,大みやう 五む日
《0380》,《暦日2》,十六／,ひのえさる,やふる,火,　,神よし 月とく
《0390》,《暦日0》,十七／,ひのとのとり,あやふ,,　,十し
《0400》,《暦日2》,十八／,つちのえいぬ,なる,木,　,●
《0410》,《暦日0》,十九／,つちのとのい,おさん,,　,神よし 母倉 大くわ ちう日
《0420》,《暦日1》,廿／,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
《0430》,《節中》,啓蟄二月せつ昼九時四分ニ入日の出より日入まて,昼四十七刻半余/夜五十二刻余,六より六まて,昼五十二刻半余/夜四十七刻余
《0440》,《暦日1》,廿一／,かのとのうし,ひらく,土,　,五む日 ふく日  ものたち  つめとりよし
《0450》,《暦日2》,廿二／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《0460》,《暦日0》,廿三／,みつのとのう,たつ,,　,天火 らうしやく
《0470》,《暦日2》,廿四／,きのえたつ,のそく,火,　,●
《0480》,《暦日0》,廿五／,きのとのみ,みつ,,　,十し
《0490》,《暦日2》,廿六／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《0500》,《暦日0》,廿七／,ひのとのひつし,さたん,,　,神よし ちいみ
《0510》,《暦日2》,廿八／,つちのえさる,とる,土,　,神よし  たねまきよし
《0520》,《暦日0》,廿九／,つちのとのとり,やふる,,　,大みやう 天おん 月とく
《0530》,《暦日1》,卅／,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
《0540》,《月序》,二月,小,建,癸卯,女宿　壁　水よう
《0550》,《暦日1》,一／,かのとのい,なる,金,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
《0560》,《暦日2》,二／,みつのえね,おさん,木,八せんのはしめ/ひかんニなる,神よし 天おん 母倉 めつもん  あさまきよし
《0570》,《暦日0》,三／,みつのとのうし,ひらく,,ま日,天おん わうまう  つめとりよし
《0580》,《暦日2》,四／,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
《0590》,《暦日0》,五／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
《0600》,《節中》,春分二月中昼八時一分日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《0610》,《暦日2》,六／,ひのえたつ,のそく,土,ま日,●
《0620》,《暦日0》,七／,ひのとのみ,みつ,,　,十し
《0630》,《暦日2》,八／,つちのえむま,たいら,火,ま日/社日,神よし 大くわ 地火
《0640》,《暦日0》,九／,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
《0650》,《暦日2》,十／,かのえさる,とる,木,　,さい下しき 神よし きしく 大みやう
《0660》,《暦日0》,十一／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《0670》,《暦日2》,十二／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《0680》,《暦日0》,十三／,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
《0690》,《暦日2》,十四／,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
《0700》,《暦日0》,十五／,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
《0710》,《暦日1》,十六／,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
《0720》,《食記》,月帯食
《0730》,《暦日1》,十七／,ひのとのう,たつ,火,　,天おん 天火 らうしやく
《0740》,《暦日2》,十八／,つちのえたつ,のそく,木,　,●
《0750》,《暦日0》,十九／,つちのとのみ,みつ,,　,十し
《0760》,《暦日1》,廿／,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
《0770》,《節中》,清明三月せつ暮六時ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《0780》,《暦日1》,廿一／,かのとのひつし,たいら,土,　,大みやう めつもん 地火
《0790》,《暦日2》,廿二／,みつのえさる,さたん,金,　,大みやう くゑ日
《0800》,《暦日0》,廿三／,みつのとのとり,とる,,　,神よし 大みやう
《0810》,《暦日2》,廿四／,きのえいぬ,やふる,火,　, くさかりよし
《0820》,《暦日0》,廿五／,きのとのい,あやふ,,　,●
《0830》,《暦日2》,廿六／,ひのえね,なる,水,　,きこ
《0840》,《暦日0》,廿七／,ひのとのうし,おさん,,　,十し
《0850》,《暦日2》,廿八／,つちのえとら,ひらく,土,　,天しや よろつよし
《0860》,《暦日0》,廿九／,つちのとのう,とつ,,　,神よし 大みやう 天おん ふく日
《0870》,《月序》,三月,大,建,甲辰,虛宿　奎　木よう
《0880》,《暦日2》,一／,かのえたつ,たつ,金,　,くゑ日
《0890》,《暦日0》,二／,かのとのみ,のそく,,　,天おん 母倉 ちう日
《0900》,《暦日2》,三／,みつのえむま,みつ,木,とよう夜五時七分ニ入,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
《0910》,《暦日0》,四／,みつのとのひつし,たいら,,　,天おん めつもん 地火
《0920》,《暦日2》,五／,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
《0930》,《暦日0》,六／,きのとのとり,とる,,　,神よし  くさかりよし
《0940》,《暦日1》,七／,ひのえいぬ,やふる,土,　,五む日
《0950》,《節中》,穀雨三月中今暁八時六分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《0960》,《暦日1》,八／,ひのとのい,あやふ,土,　,●
《0970》,《暦日2》,九／,つちのえね,なる,火,　,きしく 母倉 きこ ふく日
《0980》,《暦日0》,十／,つちのとのうし,おさん,,　,十し
《0990》,《暦日2》,十一／,かのえとら,ひらく,木,　,ちいみ わうまう  いちたち  つめとりよし
《1000》,《暦日0》,十二／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《1010》,《暦日2》,十三／,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
《1020》,《暦日0》,十四／,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
《1030》,《暦日2》,十五／,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
《1040》,《暦日0》,十六／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《1050》,《暦日2》,十七／,ひのえさる,さたん,火,　,くゑ日
《1060》,《暦日0》,十八／,ひのとのとり,とる,,八十八や,神よし 月とく  いちたちよし
《1070》,《暦日2》,十九／,つちのえいぬ,やふる,木,　,ふく日
《1080》,《暦日0》,廿／,つちのとのい,あやふ,,　,●
《1090》,《暦日2》,廿一／,かのえね,なる,土,　,神よし きこ
《1100》,《暦日0》,廿二／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1110》,《節中》,立夏四月せつ昼九時六分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《1120》,《暦日2》,廿三／,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
《1130》,《暦日0》,廿四／,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
《1140》,《暦日2》,廿五／,きのえたつ,とつ,火,　,大みやう
《1150》,《暦日0》,廿六／,きのとのみ,たつ,,　,●
《1160》,《暦日2》,廿七／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1170》,《暦日0》,廿八／,ひのとのひつし,みつ,,　,くゑ日
《1180》,《暦日2》,廿九／,つちのえさる,たいら,土,　,ちいみ 大くわ 地火 わうまう
《1190》,《暦日0》,卅／,つちのとのとり,さたん,,　,十し
《1200》,《月序》,四月,小,建,乙巳,危宿　胃　土よう
《1210》,《暦日2》,一／,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
《1220》,《暦日0》,二／,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
《1230》,《暦日2》,三／,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
《1240》,《暦日0》,四／,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
《1250》,《暦日2》,五／,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
《1260》,《暦日0》,六／,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
《1270》,《暦日2》,七／,ひのえたつ,とつ,土,ま日,きしく 大みやう ふく日
《1280》,《暦日0》,八／,ひのとのみ,たつ,,　,●
《1290》,《節中》,小満四月中今暁七時日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1300》,《暦日2》,九／,つちのえむま,のそく,火,ま日,くゑ日
《1310》,《暦日0》,十／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1320》,《暦日2》,十一／,かのえさる,たいら,木,　,さい下しき 神よし 大みやう 月とく ちいみ 大くわ 地火
《1330》,《暦日0》,十二／,かのとのとり,さたん,,　,十し
《1340》,《暦日2》,十三／,みつのえいぬ,とる,水,ま日,ふく日
《1350》,《暦日0》,十四／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1360》,《暦日2》,十五／,きのえね,あやふ,金,　,天おん
《1370》,《暦日0》,十六／,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
《1380》,《暦日2》,十七／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1390》,《暦日0》,十八／,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
《1400》,《暦日2》,十九／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1410》,《暦日0》,廿／,つちのとのみ,たつ,,　,●
《1420》,《暦日2》,廿一／,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
《1430》,《暦日0》,廿二／,かのとのひつし,みつ,,　,大みやう くゑ日
《1440》,《暦日1》,廿三／,みつのえさる,みつ,金,入梅,神よし 大みやう  くさかりよし
《1450》,《節中》,芒種五月せつ夕七時四分ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1460》,《暦日1》,廿四／,みつのとのとり,たいら,金,　,神よし 大みやう ふく日 めつもん 地火
《1470》,《暦日2》,廿五／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1480》,《暦日0》,廿六／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1490》,《暦日2》,廿七／,ひのえね,やふる,水,　,●
《1500》,《暦日0》,廿八／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1510》,《暦日1》,廿九／,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
《1520》,《月序》,五月,小,建,丙午,室宿　昴　日よう
《1530》,《暦日1》,一／,つちのとのう,おさん,土,　,大みやう 天おん 母倉 ちいみ 大くわ
《1540》,《暦日2》,二／,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
《1550》,《暦日0》,三／,かのとのみ,とつ,,　,十し
《1560》,《暦日2》,四／,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
《1570》,《暦日0》,五／,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
《1580》,《暦日2》,六／,きのえさる,みつ,水,十方くれニ入,神よし きしく 大みやう
《1590》,《暦日0》,七／,きのとのとり,たいら,,　,神よし めつもん 地火
《1600》,《暦日2》,八／,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
《1610》,《暦日0》,九／,ひのとのい,とる,,　,大みやう ちう日 ふく日 わうまう
《1620》,《暦日1》,十／,つちのえね,やふる,火,　,●
《1630》,《節中》,夏至五月中朝四時八分日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1640》,《暦日1》,十一／,つちのとのうし,あやふ,火,　, 田うへ  つめとりよし
《1650》,《暦日2》,十二／,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
《1660》,《暦日0》,十三／,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
《1670》,《暦日2》,十四／,みつのえたつ,ひらく,水,　,大みやう 五む日
《1680》,《暦日0》,十五／,みつのとのみ,とつ,,天一天上,十し
《1690》,《暦日2》,十六／,きのえむま,たつ,金,　,天しや よろつよし
《1700》,《暦日0》,十七／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1710》,《暦日2》,十八／,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
