《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/186 ～ 190
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1848g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1848h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,弘化五年つちのえさる乃天保壬寅元暦,奎宿/値年,凡三百五十四日
《0120》,《大歳》,大さいさるの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんむまの方,いぬのとしまて/三年ふさかり
《0140》,《大陰》,大おんむまの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/みむまの間万よし,ねうし/,金神,/さるとり
《0160》,《歳刑》,さいけうとらの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはとらの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月小
《0180》,《歳煞》,さいせつひつしの方,此方より/よめとらす,四月小,五月大,六月小
《0190》,《黄幡》,わうはんたつの方,むかひて/弓はしめよし,七月大,八月小,九月大
《0200》,《豹尾》,へうひいぬの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月大,十二月小
《0210》,《月序》,正月,小,建,甲寅,參宿値月氐宿土曜値朔日
《0220》,《正月》,一日,ひのえね,ひらく,水,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《節中》,立春正月せつ今暁九時ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《0240》,《正月》,二日,ひのとのうし,とつ,水,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0250》,《三日》,三日,つちのえとら,たつ,土,　,天しや よろつよし
《0260》,《暦日1》,四／,つちのとのう,のそく,土,　,神よし 大みやう 天おん  みそさけつくり たねまきよし
《0270》,《暦日2》,五／,かのえたつ,みつ,金,　,天おん ふく日
《0280》,《暦日0》,六／,かのとのみ,たいら,,　,天おん 母倉 月とく ちう日 めつもん 地火 わうまう
《0290》,《暦日2》,七／,みつのえむま,さたん,木,　,神よし 大みやう 天おん  木こりよし
《0300》,《暦日0》,八／,みつのとのひつし,とる,,　,天おん  たねまきよし
《0310》,《暦日2》,九／,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
《0320》,《暦日0》,十／,きのとのとり,あやふ,,　,十し
《0330》,《暦日2》,十一／,ひのえいぬ,なる,土,　,●
《0340》,《暦日0》,十二／,ひのとのい,おさん,,　,大みやう 母倉 大くわ ちう日
《0350》,《暦日2》,十三／,つちのえね,ひらく,火,　,母倉 天火 らうしやく  けんふく 入学よし
《0360》,《暦日0》,十四／,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
《0370》,《暦日1》,十五／,かのえとら,たつ,木,　,ふく日  つめとりよし
《0380》,《節中》,雨水正月中夜五時一分日の出より日入まて,昼四十五刻半/夜五十四刻半,六より六まて,昼五十刻半/夜四十九刻半
《0390》,《暦日1》,十六／,かのとのう,のそく,木,　,くゑ日
《0400》,《暦日2》,十七／,みつのえたつ,みつ,水,　,大みやう 五む日
《0410》,《暦日0》,十八／,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
《0420》,《暦日2》,十九／,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
《0430》,《暦日0》,廿／,きのとのひつし,とる,,　,大みやう 五む日
《0440》,《暦日2》,廿一／,ひのえさる,やふる,火,　,神よし きしく 月とく
《0450》,《暦日0》,廿二／,ひのとのとり,あやふ,,　,十し
《0460》,《暦日2》,廿三／,つちのえいぬ,なる,木,　,●
《0470》,《暦日0》,廿四／,つちのとのい,おさん,,　,神よし 母倉 大くわ ちう日
《0480》,《暦日2》,廿五／,かのえね,ひらく,土,　,神よし 母倉 ふく日 天火 らうしやく
《0490》,《暦日0》,廿六／,かのとのうし,とつ,,　,神よし 月とく 五む日 きこ ちいみ  ものたち  つめとりよし
《0500》,《暦日2》,廿七／,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
《0510》,《暦日0》,廿八／,みつのとのう,のそく,,　,神よし  あさまきよし
《0520》,《暦日1》,廿九／,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
《0530》,《月序》,二月,大,建,乙卯,井宿　房　日よう
《0540》,《暦日1》,一／,きのとのみ,みつ,火,　,十し
《0550》,《節中》,啓蟄二月せつ暮六時二分ニ入日の出より日入まて,昼四十七刻半余/夜五十二刻余,六より六まて,昼五十二刻半余/夜四十七刻余
《0560》,《暦日2》,二／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《0570》,《暦日0》,三／,ひのとのひつし,さたん,,　,神よし ちいみ
《0580》,《暦日2》,四／,つちのえさる,とる,土,　,神よし  たねまきよし
《0590》,《暦日0》,五／,つちのとのとり,やふる,,　,大みやう 天おん 月とく
《0600》,《暦日2》,六／,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
《0610》,《暦日0》,七／,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
