《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/194 ～ 198
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1850g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1850h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,嘉永三年かのえいぬ乃天保壬寅元暦,胃宿/値年,凡三百五十四日
《0120》,《大歳》,大さいいぬの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんむまの方,いぬのとしまて/三年ふさかり
《0140》,《大陰》,大おんさるの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/さるとりの間万よし,たつ/,金神,/み
《0160》,《歳刑》,さいけうひつしの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはたつの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月大
《0180》,《歳煞》,さいせつうしの方,此方より/よめとらす,四月小,五月小,六月大
《0190》,《黄幡》,わうはんいぬの方,むかひて/弓はしめよし,七月小,八月大,九月小
《0200》,《豹尾》,へうひたつの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月小,十二月大
《0210》,《月序》,正月,大,建,戊寅,胃宿値月室宿火曜値朔日
《0220》,《正月》,一日,きのえむま,さたむ,金,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《食記》,日そく三分半
《0240》,《正月》,二日,きのとのひつし,とる,金,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0250》,《三日》,三日,ひのえさる,やふる,火,　,神よし 月とく
《0260》,《暦日1》,四／,ひのとのとり,あやふ,火,　,十し
《0270》,《暦日2》,五／,つちのえいぬ,なる,木,　,●
《0280》,《暦日0》,六／,つちのとのい,おさん,,　,神よし 母倉 大くわ ちう日
《0290》,《暦日2》,七／,かのえね,ひらく,土,　,神よし 母倉 ふく日 天火 らうしやく
《0300》,《暦日0》,八／,かのとのうし,とつ,,　,神よし 月とく 五む日 きこ ちいみ  ものたち  つめとりよし
《0310》,《節中》,雨水正月中明六時九分日の出より日入まて,昼四十五刻半/夜五十四刻半,六より六まて,昼五十刻半/夜四十九刻半
《0320》,《暦日2》,九／,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
《0330》,《暦日0》,十／,みつのとのう,のそく,,　,神よし  あさまきよし
《0340》,《暦日2》,十一／,きのえたつ,みつ,火,　,きしく 大みやう ふく日  かといてよし
《0350》,《暦日0》,十二／,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
《0360》,《暦日2》,十三／,ひのえむま,さたん,水,　,神よし 大みやう 月とく  わたましよし
《0370》,《暦日0》,十四／,ひのとのひつし,とる,,　,神よし  かといてよし
《0380》,《暦日2》,十五／,つちのえさる,やふる,土,　,神よし  たねまきよし
《0390》,《暦日0》,十六／,つちのとのとり,あやふ,,　,十し
《0400》,《暦日2》,十七／,かのえいぬ,なる,金,　,●
《0410》,《暦日0》,十八／,かのとのい,おさん,,　,さい下しき 神よし 大みやう 天おん 母倉 月とく 大くわ ちう日
《0420》,《暦日2》,十九／,みつのえね,ひらく,木,八せんのはしめ,神よし 天おん 母倉 天火 らうしやく
《0430》,《暦日0》,廿／,みつのとのうし,とつ,,ま日,神よし 天おん きこ ちいみ  つめとりよし
《0440》,《暦日2》,廿一／,きのえとら,たつ,水,　,くゑ日 ふく日
《0450》,《暦日0》,廿二／,きのとのう,のそく,,　,神よし  ものたちよし
《0460》,《暦日1》,廿三／,ひのえたつ,のそく,土,ま日,●
《0470》,《節中》,啓蟄二月せつ明六時三分ニ入日の出より日入まて,昼四十七刻半余/夜五十二刻余,六より六まて,昼五十二刻半余/夜四十七刻余
《0480》,《暦日1》,廿四／,ひのとのみ,みつ,土,　,十し
《0490》,《暦日2》,廿五／,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
《0500》,《暦日0》,廿六／,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
《0510》,《暦日2》,廿七／,かのえさる,とる,木,　,神よし 大みやう
《0520》,《暦日0》,廿八／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《0530》,《暦日2》,廿九／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《0540》,《暦日0》,卅／,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
《0550》,《月序》,二月,小,建,己卯,昴宿　奎　木よう
《0560》,《暦日2》,一／,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
《0570》,《暦日0》,二／,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
《0580》,《暦日2》,三／,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
《0590》,《暦日0》,四／,ひのとのう,たつ,,　,天おん 天火 らうしやく
《0600》,《暦日2》,五／,つちのえたつ,のそく,木,社日/ひかんニなる,●
《0610》,《暦日0》,六／,つちのとのみ,みつ,,　,十し
《0620》,《暦日2》,七／,かのえむま,たいら,土,　,神よし 大くわ 地火
《0630》,《暦日0》,八／,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《0640》,《節中》,春分二月中朝五時一分日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《0650》,《暦日2》,九／,みつのえさる,とる,金,　,神よし きしく 大みやう  入学よし
《0660》,《暦日0》,十／,みつのとのとり,やふる,,　,大みやう  やたてよし
