《1851-0000》,# カンマ区切りテキスト形式です。
《1851-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1851-0020》,# ・表の区画内での改行は“/”で表記します。
《1851-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1851-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1851-0050》,# 外部リンク
《1851-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/198 ～ 202
《1851-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1851g　(GitHub上データを表成型)
《1851-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1851h　(翻刻編集データを表成型 - 未実装)
《1851-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1851-0100》,《版元》,出版地○○,出版元□□□,　
《1851-0110》,《暦首》,嘉永四年かのとのい乃天保壬寅元暦,昴宿/値年,凡三百五十四日
《1851-0120》,《大歳》,大さいいの方,此方ニむかひて万よし/但木をきらす
《1851-0130》,《大將軍》,大しやうくんとりの方,うしのとしまて/三年ふさかり
《1851-0140》,《大陰》,大おんとりの方,此方ニむかひて/さんをせす
《1851-0150》,《歳徳》,　,としとくあきの方/みむまの間万よし,ねうしとら/,金神,/うむまひつし
《1851-0160》,《歳刑》,さいけういの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1851-0170》,《歳破》,さいはみの方,むかひてわたましせす/ふねのりはしめす,正月大,二月大,三月小
《1851-0180》,《歳煞》,さいせついぬの方,此方より/よめとらす,四月大,五月小,六月小
《1851-0190》,《黄幡》,わうはんひつしの方,むかひて/弓はしめよし,七月大,八月小,九月大
《1851-0200》,《豹尾》,へうひうしの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月小
《1851-0210》,《月序》,正月,大,建,庚寅,角宿値月氐宿土曜値朔日
《1851-0220》,《正月》,一日,つちのえね,とつ,火,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1851-0230》,《正月》,二日,つちのとのうし,たつ,火,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1851-0240》,《三日》,三日,かのえとら,のそく,木,せつふん,月とく
《1851-0250》,《暦日1》,四／,かのとのう,のそく,木,　,くゑ日
《1851-0260》,《節中》,立春正月せつ夕七時八分ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《1851-0270》,《暦日2》,五／,みつのえたつ,みつ,水,　,大みやう 五む日
《1851-0280》,《暦日0》,六／,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
《1851-0290》,《暦日2》,七／,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
《1851-0300》,《暦日0》,八／,きのとのひつし,とる,,　,大みやう 五む日
《1851-0310》,《暦日2》,九／,ひのえさる,やふる,火,　,神よし 月とく
《1851-0320》,《暦日0》,十／,ひのとのとり,あやふ,,　,十し
《1851-0330》,《暦日2》,十一／,つちのえいぬ,なる,木,　,●
《1851-0340》,《暦日0》,十二／,つちのとのい,おさん,,　,神よし 母倉 大くわ ちう日
《1851-0350》,《暦日2》,十三／,かのえね,ひらく,土,　,さい下しき 神よし 母倉 ふく日 天火 らうしやく
《1851-0360》,《暦日0》,十四／,かのとのうし,とつ,,　,神よし 月とく 五む日 きこ ちいみ  ものたち  つめとりよし
《1851-0370》,《暦日2》,十五／,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
《1851-0380》,《暦日0》,十六／,みつのとのう,のそく,,　,神よし  あさまきよし
《1851-0390》,《暦日2》,十七／,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
《1851-0400》,《暦日0》,十八／,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
《1851-0410》,《暦日1》,十九／,ひのえむま,さたん,水,　,神よし 大みやう 月とく  わたましよし
《1851-0420》,《節中》,雨水正月中昼九時八分日の出より日入まて,昼四十五刻半/夜五十四刻半,六より六まて,昼五十刻半/夜四十九刻半
《1851-0430》,《暦日1》,廿／,ひのとのひつし,とる,水,　,神よし  かといてよし
《1851-0440》,《暦日2》,廿一／,つちのえさる,やふる,土,　,神よし きしく  たねまきよし
《1851-0450》,《暦日0》,廿二／,つちのとのとり,あやふ,,　,十し
《1851-0460》,《暦日2》,廿三／,かのえいぬ,なる,金,　,●
《1851-0470》,《暦日0》,廿四／,かのとのい,おさん,,　,神よし 大みやう 天おん 母倉 月とく 大くわ ちう日
《1851-0480》,《暦日2》,廿五／,みつのえね,ひらく,木,八せんのはしめ,神よし 天おん 母倉 天火 らうしやく
《1851-0490》,《暦日0》,廿六／,みつのとのうし,とつ,,ま日,神よし 天おん きこ ちいみ  つめとりよし
《1851-0500》,《暦日2》,廿七／,きのえとら,たつ,水,　,くゑ日 ふく日
《1851-0510》,《暦日0》,廿八／,きのとのう,のそく,,　,神よし  ものたちよし
《1851-0520》,《暦日2》,廿九／,ひのえたつ,みつ,土,ま日,大みやう 月とく
《1851-0530》,《暦日0》,卅／,ひのとのみ,たいら,,　,ちう日 めつもん 地火
《1851-0540》,《月序》,二月,大,建,辛卯,亢宿　心　月よう
《1851-0550》,《暦日2》,一／,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
《1851-0560》,《暦日0》,二／,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
《1851-0570》,《暦日2》,三／,かのえさる,やふる,木,　,神よし 大みやう ふく日
《1851-0580》,《暦日0》,四／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《1851-0590》,《節中》,啓蟄二月せつ昼九時一分ニ入日の出より日入まて,昼四十七刻半余/夜五十二刻余,六より六まて,昼五十二刻半余/夜四十七刻余
《1851-0600》,《暦日2》,五／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《1851-0610》,《暦日0》,六／,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
《1851-0620》,《暦日2》,七／,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
《1851-0630》,《暦日0》,八／,きのとのうし,ひらく,,　,天おん ふく日  ものたち  つめとりよし
《1851-0640》,《暦日2》,九／,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
《1851-0650》,《暦日0》,十／,ひのとのう,たつ,,　,天おん 天火 らうしやく
《1851-0660》,《暦日2》,十一／,つちのえたつ,のそく,木,　,●
《1851-0670》,《暦日0》,十二／,つちのとのみ,みつ,,　,十し
《1851-0680》,《暦日2》,十三／,かのえむま,たいら,土,　,神よし 大くわ 地火
《1851-0690》,《暦日0》,十四／,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《1851-0700》,《暦日2》,十五／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《1851-0710》,《暦日0》,十六／,みつのとのとり,やふる,,ひかんニなる,大みやう  やたてよし
《1851-0720》,《暦日2》,十七／,きのえいぬ,あやふ,火,　,月とく わうまう  かといてよし
《1851-0730》,《暦日0》,十八／,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
《1851-0740》,《暦日1》,十九／,ひのえね,おさん,水,　,きしく 母倉 めつもん  たねかしよし
《1851-0750》,《節中》,春分二月中昼九時七分日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1851-0760》,《暦日1》,廿／,ひのとのうし,ひらく,水,　,大みやう  ものたち  つめとりよし
《1851-0770》,《暦日2》,廿一／,つちのえとら,とつ,土,社日,天しや よろつよし
《1851-0780》,《暦日0》,廿二／,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
《1851-0790》,《暦日2》,廿三／,かのえたつ,のそく,金,　,●
《1851-0800》,《暦日0》,廿四／,かのとのみ,みつ,,　,十し
《1851-0810》,《暦日2》,廿五／,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
《1851-0820》,《暦日0》,廿六／,みつのとのひつし,さたん,,　,天おん ちいみ
《1851-0830》,《暦日2》,廿七／,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
