《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/11 ～ 20
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1854g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1854h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,嘉永七年きのえとら乃天保壬寅元暦,參宿/値年,凡三百八十四日
《0120》,《大歳》,大さいとらの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんねの方,たつのとしまて/三年ふさかり
《0140》,《大陰》,大おんねの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/とらうの間万よし,むまひつし/,金神,/さるとり
《0160》,《歳刑》,さいけうみの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはさるの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月小
《0180》,《歳煞》,さいせつうしの方,此方より/よめとらす,四月大,五月小,六月大
《0190》,《黄幡》,わうはんいぬの方,むかひて/弓はしめよし,七月大/閏七月小,八月大,九月小
《0200》,《豹尾》,へうひたつの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月小,十二月大
《0210》,《月序》,正月,小,建,丙寅,牛宿値月房宿日曜値朔日
《0220》,《正月》,一日,かのとのうし,たつ,土,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《正月》,二日,みつのえとら,のそく,金,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0240》,《三日》,三日,みつのとのう,みつ,金,　,神よし
《0250》,《暦日2》,四／,きのえたつ,たいら,火,　,大みやう 大くわ 地火
《0260》,《暦日0》,五／,きのとのみ,さたん,,　,大みやう 母倉 月とく ちう日  いちたちよし
《0270》,《暦日2》,六／,ひのえむま,とる,水,せつふん,大みやう 母倉 わうまう  かといてよし
《0280》,《暦日0》,七／,ひのとのひつし,とる,,　,神よし  かといてよし
《0290》,《節中》,立春正月せつ朝四時五分ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《0300》,《暦日2》,八／,つちのえさる,やふる,土,　,神よし  たねまきよし
《0310》,《暦日0》,九／,つちのとのとり,あやふ,,　,十し
《0320》,《暦日2》,十／,かのえいぬ,なる,金,　,●
《0330》,《暦日0》,十一／,かのとのい,おさん,,　,神よし 大みやう 天おん 母倉 月とく 大くわ ちう日
《0340》,《暦日2》,十二／,みつのえね,ひらく,木,八せんのはしめ,神よし 天おん 母倉 天火 らうしやく
《0350》,《暦日0》,十三／,みつのとのうし,とつ,,ま日,天おん きこ ちいみ わうまう  つめとりよし
《0360》,《暦日2》,十四／,きのえとら,たつ,水,　,くゑ日 ふく日
《0370》,《暦日0》,十五／,きのとのう,のそく,,　,神よし  ものたちよし
《0380》,《暦日2》,十六／,ひのえたつ,みつ,土,ま日,大みやう 月とく
《0390》,《暦日0》,十七／,ひのとのみ,たいら,,　,ちう日 めつもん 地火
