《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/21 ～ 29
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1855g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1855h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,嘉永八年きのとのう乃天保壬寅元暦,井宿/値年,凡三百五十四日
《0120》,《大歳》,大さいうの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんねの方,たつのとしまて/三年ふさかり
《0140》,《大陰》,大おんうしの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/さるとりの間万よし,たつ/,金神,/み
《0160》,《歳刑》,さいけうねの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはとりの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月小
《0180》,《歳煞》,さいせついぬの方,此方より/よめとらす,四月小,五月大,六月大
《0190》,《黄幡》,わうはんひつしの方,むかひて/弓はしめよし,七月小,八月大,九月大
《0200》,《豹尾》,へうひうしの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月小
《0210》,《月序》,正月,小,建,戊寅,參宿値月柳宿土曜値朔日
《0220》,《正月》,一日,きのとのうし,とつ,金,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《正月》,二日,ひのえとら,たつ,火,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0240》,《三日》,三日,ひのとのう,のそく,火,　,神よし 天おん
《0250》,《節中》,雨水正月中昼九時五分日の出より日入まて,昼四十五刻半/夜五十四刻半,六より六まて,昼五十刻半/夜四十九刻半
《0260》,《暦日2》,四／,つちのえたつ,みつ,木,　,天おん 五む日  みそつくりよし
《0270》,《暦日0》,五／,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
《0280》,《暦日2》,六／,かのえむま,さたん,土,　,神よし ふく日
《0290》,《暦日0》,七／,かのとのひつし,とる,,　,大みやう 月とく  いちたちよし
《0300》,《暦日2》,八／,みつのえさる,やふる,金,　,神よし 大みやう
《0310》,《暦日0》,九／,みつのとのとり,あやふ,,　,十し
《0320》,《暦日2》,十／,きのえいぬ,なる,火,　,●
《0330》,《暦日0》,十一／,きのとのい,おさん,,　,母倉 大くわ ちう日
《0340》,《暦日2》,十二／,ひのえね,ひらく,水,　,母倉 月とく 天火 らうしやく
《0350》,《暦日0》,十三／,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《0360》,《暦日2》,十四／,つちのえとら,たつ,土,　,天しや よろつよし
《0370》,《暦日0》,十五／,つちのとのう,のそく,,　,神よし 大みやう 天おん  みそさけつくり たねまきよし
《0380》,《暦日2》,十六／,かのえたつ,みつ,金,　,天おん ふく日
《0390》,《暦日0》,十七／,かのとのみ,たいら,,　,天おん 母倉 月とく ちう日 めつもん 地火
