《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/38 ～ 47
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1857g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1857h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,安政四年ひのとのみ乃天保壬寅元暦,柳宿/値年,凡三百八十四日
《0120》,《大歳》,大さいみの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんうの方,ひつしのとしまて/三年ふさかり
《0140》,《大陰》,大おんうの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/いねの間万よし,とらう/,金神,/いぬい
《0160》,《歳刑》,さいけうさるの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはいの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月小
《0180》,《歳煞》,さいせつたつの方,此方より/よめとらす,四月小,五月大/閏五月小,六月大
《0190》,《黄幡》,わうはんうしの方,むかひて/弓はしめよし,七月小,八月大,九月大
《0200》,《豹尾》,へうひひつしの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月大
《0210》,《月序》,正月,小,建,壬寅,胃宿値月心宿月曜値朔日
《0220》,《正月》,一日,きのえとら,のそく,水,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《正月》,二日,きのとのう,みつ,水,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0240》,《三日》,三日,ひのえたつ,たいら,土,ま日,大みやう日 大くわ 地火
《0250》,《暦日1》,四／,ひのとのみ,さたん,土,　,さい下しき 母倉 ちう日
《0260》,《暦日2》,五／,つちのえむま,とる,火,ま日,神よし 母倉 ふく日  ふねのりよし
《0270》,《暦日0》,六／,つちのとのひつし,やふる,,　,神よし 大みやう ふく日  かといてよし
《0280》,《暦日2》,七／,かのえさる,あやふ,木,　,神よし 大みやう 月とく  みそさけつくりよし
《0290》,《暦日0》,八／,かのとのとり,なる,,　,●
《0300》,《暦日2》,九／,みつのえいぬ,おさん,水,せつふん/ま日,めつもん わうまう  たねまきよし
《0310》,《暦日0》,十／,みつのとのい,おさん,,八せんのおはり,母倉 大くわ ちう日  けんふくよし
《0320》,《節中》,立春正月せつ今暁七時二分ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《0330》,《暦日2》,十一／,きのえね,ひらく,金,　,天おん 母倉 ふく日 天火 らうしやく
《0340》,《暦日0》,十二／,きのとのうし,とつ,,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
《0350》,《暦日2》,十三／,ひのえとら,たつ,火,　,天おん 月とく  つめとりよし
《0360》,《暦日0》,十四／,ひのとのう,のそく,,　,神よし 天おん  あさまきよし
《0370》,《暦日2》,十五／,つちのえたつ,みつ,木,　,天おん 五む日  みそつくりよし
《0380》,《暦日0》,十六／,つちのとのみ,たいら,,　,ちう日 めつもん 地火 わうまう  入学よし
《0390》,《暦日2》,十七／,かのえむま,さたん,土,　,神よし ふく日
《0400》,《暦日0》,十八／,かのとのひつし,とる,,　,大みやう 月とく  いちたちよし
《0410》,《暦日2》,十九／,みつのえさる,やふる,金,　,神よし きしく 大みやう
《0420》,《暦日0》,廿／,みつのとのとり,あやふ,,　,十し
《0430》,《暦日2》,廿一／,きのえいぬ,なる,火,　,●
《0440》,《暦日0》,廿二／,きのとのい,おさん,,　,母倉 大くわ ちう日
《0450》,《暦日2》,廿三／,ひのえね,ひらく,水,　,母倉 月とく 天火 らうしやく
《0460》,《暦日0》,廿四／,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
