《1858-0000》,# カンマ区切りテキスト形式です。
《1858-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1858-0020》,# ・表の区画内での改行は“/”で表記します。
《1858-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1858-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1858-0050》,# 外部リンク
《1858-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/47 ～ 55
《1858-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1858g　(GitHub上データを表成型)
《1858-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1858h　(翻刻編集データを表成型 - 未実装)
《1858-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1858-0100》,《版元》,出版地○○,出版元□□□,　
《1858-0110》,《暦首》,安政五年つちのえむま乃天保壬寅元暦,星宿/値年,凡三百五十四日
《1858-0120》,《大歳》,大さいむまの方,此方ニむかひて万よし/但木をきらす
《1858-0130》,《大將軍》,大しやうくんうの方,ひつしのとしまて/三年ふさかり
《1858-0140》,《大陰》,大おんたつの方,此方ニむかひて/さんをせす
《1858-0150》,《歳徳》,としとくあきの方/みむまの間万よし,ねうし/,金神,/さるとり
《1858-0160》,《歳刑》,さいけうむまの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1858-0170》,《歳破》,さいはねの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月小
《1858-0180》,《歳煞》,さいせつうしの方,此方より/よめとらす,四月小,五月大,六月小
《1858-0190》,《黄幡》,わうはんいぬの方,むかひて/弓はしめよし,七月小,八月大,九月大
《1858-0200》,《豹尾》,へうひたつの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月大
《1858-0210》,《月序》,正月,小,建,甲寅,角宿値月星宿日曜値朔日
《1858-0220》,《正月》,一日,つちのえとら,たつ,土,　,天しや よろつよし
《1858-0230》,《正月》,二日,つちのとのう,のそく,土,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1858-0240》,《正月》,三日,かのえたつ,みつ,金,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1858-0250》,《暦日1》,四／,かのとのみ,たいら,金,　,天おん 母倉 月とく ちう日 めつもん 地火
《1858-0260》,《暦日2》,五／,みつのえむま,さたん,木,　,神よし 大みやう 天おん  木こりよし
《1858-0270》,《暦日0》,六／,みつのとのひつし,とる,,　,天おん  たねまきよし
《1858-0280》,《節中》,雨水正月中明六時二分日の出より日入まて,昼四十五刻半/夜五十四刻半,六より六まて,昼五十刻半/夜四十九刻半
《1858-0290》,《暦日2》,七／,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
《1858-0300》,《暦日0》,八／,きのとのとり,あやふ,,　,十し
《1858-0310》,《暦日2》,九／,ひのえいぬ,なる,土,　,●
《1858-0320》,《暦日0》,十／,ひのとのい,おさん,,　,大みやう 母倉 大くわ ちう日
《1858-0330》,《暦日2》,十一／,つちのえね,ひらく,火,　,母倉 天火 らうしやく  けんふく 入学よし
《1858-0340》,《暦日0》,十二／,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
《1858-0350》,《暦日2》,十三／,かのえとら,たつ,木,　,ふく日  つめとりよし
《1858-0360》,《暦日0》,十四／,かのとのう,のそく,,　,くゑ日
《1858-0370》,《暦日1》,十五／,みつのえたつ,みつ,水,　,大みやう 五む日
《1858-0380》,《食記》,月帯そく
《1858-0390》,《暦日1》,十六／,みつのとのみ,たいら,水,天一天上,ちう日 めつもん 地火
《1858-0400》,《暦日2》,十七／,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
《1858-0410》,《暦日0》,十八／,きのとのひつし,とる,,　,大みやう 五む日
《1858-0420》,《暦日2》,十九／,ひのえさる,やふる,火,　,神よし 月とく
《1858-0430》,《暦日0》,廿／,ひのとのとり,あやふ,,　,十し
《1858-0440》,《暦日1》,廿一／,つちのえいぬ,あやふ,木,　, かといてよし
《1858-0450》,《節中》,啓蟄二月せつ今暁七時六分ニ入日の出より日入まて,昼四十七刻半余/夜五十二刻余,六より六まて,昼五十二刻半余/夜四十七刻余
《1858-0460》,《暦日1》,廿二／,つちのとのい,なる,木,　,神よし 母倉 月とく ちう日  みそすつくりよし
《1858-0470》,《暦日2》,廿三／,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
《1858-0480》,《暦日0》,廿四／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
《1858-0490》,《暦日2》,廿五／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《1858-0500》,《暦日0》,廿六／,みつのとのう,たつ,,　,天火 らうしやく
《1858-0510》,《暦日2》,廿七／,きのえたつ,のそく,火,　,●
《1858-0520》,《暦日0》,廿八／,きのとのみ,みつ,,　,十し
《1858-0530》,《暦日1》,廿九／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《1858-0540》,《月序》,二月,大,建,乙卯,亢宿　張　月よう
《1858-0550》,《暦日1》,一／,ひのとのひつし,さたん,水,　,さい下しき 神よし ちいみ
《1858-0560》,《暦日2》,二／,つちのえさる,とる,土,社日,神よし  たねまきよし
