《1859-0000》,# カンマ区切りテキスト形式です。
《1859-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1859-0020》,# ・表の区画内での改行は“/”で表記します。
《1859-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1859-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1859-0050》,# 外部リンク
《1859-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/56 ～ 64
《1859-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1859g　(GitHub上データを表成型)
《1859-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1859h　(翻刻編集データを表成型 - 未実装)
《1859-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1859-0100》,《版元》,出版地○○,出版元□□□,　
《1859-0110》,《暦首》,安政六年つちのとのひつし乃天保壬寅元暦,張宿/値年,凡三百五十四日
《1859-0120》,《大歳》,大さいひつしの方,此方ニむかひて万よし/但木をきらす
《1859-0130》,《大將軍》,大しやうくんうの方,ひつしのとしまて/三年ふさかり
《1859-0140》,《大陰》,大おんみの方,此方ニむかひて/さんをせす
《1859-0150》,《歳徳》,としとくあきの方/とらうの間万よし,むまひつし/,金神,/さるとり
《1859-0160》,《歳刑》,さいけううしの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1859-0170》,《歳破》,さいはうしの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月大
《1859-0180》,《歳煞》,さいせついぬの方,此方より/よめとらす,四月小,五月小,六月大
《1859-0190》,《黄幡》,わうはんひつしの方,むかひて/弓はしめよし,七月小,八月小,九月大
《1859-0200》,《豹尾》,へうひうしの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月大,十二月大
《1859-0210》,《月序》,正月,大,建,丙寅,室宿値月奎宿木曜値朔日
《1859-0220》,《正月》,一日,みつのえさる,あやふ,金,吉事始/せつふん,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1859-0230》,《正月》,二日,みつのとのとり,あやふ,金,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1859-0240》,《節中》,立春正月せつ夕七時一分ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《1859-0250》,《三日》,三日,きのえいぬ,なる,火,　,●
《1859-0260》,《暦日1》,四／,きのとのい,おさん,火,　,母倉 大くわ ちう日
《1859-0270》,《暦日2》,五／,ひのえね,ひらく,水,　,母倉 月とく 天火 らうしやく
《1859-0280》,《暦日0》,六／,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《1859-0290》,《暦日2》,七／,つちのえとら,たつ,土,　,天しや よろつよし
《1859-0300》,《暦日0》,八／,つちのとのう,のそく,,　,大みやう 天おん わうまう  みそさけつくり たねまきよし
《1859-0310》,《暦日2》,九／,かのえたつ,みつ,金,　,きしく 天おん ふく日
《1859-0320》,《暦日0》,十／,かのとのみ,たいら,,　,天おん 母倉 月とく ちう日 めつもん 地火
《1859-0330》,《暦日2》,十一／,みつのえむま,さたん,木,　,神よし 大みやう 天おん  木こりよし
《1859-0340》,《暦日0》,十二／,みつのとのひつし,とる,,　,天おん  たねまきよし
《1859-0350》,《暦日2》,十三／,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
《1859-0360》,《暦日0》,十四／,きのとのとり,あやふ,,　,十し
《1859-0370》,《暦日1》,十五／,ひのえいぬ,なる,土,　,●
《1859-0380》,《食記》,月そく皆既
《1859-0390》,《暦日1》,十六／,ひのとのい,おさん,土,　,大みやう 母倉 大くわ ちう日
