«1860-0000»,【 カンマ区切りテキスト形式です。】
«1860-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1860-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1860-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1860-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1860-0050»,【 外部リンク　】
«1860-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/64 ～ 73】
«1860-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1860h　(翻刻編集終了データを表成型して表示します)】
«1860-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1860ht (翻刻編集中データを表成型して表示します)】
«1860-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1860-0100»,«版元»,出版地○○,出版元□□□,　
«1860-0110»,«暦首»,安政七年かのえさる乃天保壬寅元暦,翼宿|値年,凡三百八十四日
«1860-0120»,«大歳»,大さいさるの方,此方ニむかひて万よし|但木をきらす
«1860-0130»,«大將軍»,大しやうくんむまの方,いぬのとしまて|三年ふさかり
«1860-0140»,«大陰»,大おんむまの方,此方ニむかひて|さんをせす
«1860-0150»,«歳徳»,としとくあきの方|さるとりの間万よし,たつ|,金神,|み
«1860-0160»,«歳刑»,さいけうとらの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1860-0170»,«歳破»,さいはとらの方,むかひてわたましせす|ふねのりはしめす,正月大,二月小,三月大|閏三月大
«1860-0180»,«歳煞»,さいせつひつしの方,此方より|よめとらす,四月小,五月小,六月大
«1860-0190»,«黄幡»,わうはんたつの方,むかひて|弓はしめよし,七月小,八月小,九月大
«1860-0200»,«豹尾»,へうひいぬの方,むかひて大小へんせす|ちくるいもとめす,十月小,十一月大,十二月大
«1860-0210»,«月序»,正月,大,建,戊寅,星宿値月心宿月曜値朔日
«1860-0220»,«正月»,一日,ひのえとら,のそく,火,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1860-0230»,«正月»,二日,ひのとのう,みつ,火,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1860-0240»,«三日»,三日,つちのえたつ,たいら,木,　,天おん 五む日 大くわ ふく日 地火
«1860-0250»,«暦日1»,四〳,つちのとのみ,さたん,木,　,母倉 ちう日 ふく日
«1860-0260»,«暦日2»,五〳,かのえむま,とる,土,　,神よし 母倉 月とく
«1860-0270»,«暦日0»,六〳,かのとのひつし,やふる,,　,大みやう  かといてよし
«1860-0280»,«暦日2»,七〳,みつのえさる,あやふ,金,　,神よし 大みやう
«1860-0290»,«暦日0»,八〳,みつのとのとり,なる,,　,●
«1860-0300»,«暦日2»,九〳,きのえいぬ,おさん,火,　,めつもん  わたましよし
«1860-0310»,«暦日0»,十〳,きのとのい,ひらく,,　,月とく ちう日  いちたちよし
«1860-0320»,«暦日2»,十一〳,ひのえね,とつ,水,　,きこ ちいみ
«1860-0330»,«暦日0»,十二〳,ひのとのうし,たつ,,せつふん,十し
«1860-0340»,«暦日1»,十三〳,つちのえとら,たつ,土,　,天しや よろつよし
«1860-0350»,«節中»,立春正月せつ夜四時ニ入日の出より日入まて,昼四十三刻半|夜五十六刻半,六より六まて,昼四十八刻半余|夜五十一刻余
«1860-0360»,«暦日1»,十四〳,つちのとのう,のそく,土,　,神よし 大みやう 天おん  みそさけつくり たねまきよし
«1860-0370»,«暦日2»,十五〳,かのえたつ,みつ,金,　,天おん ふく日
«1860-0380»,«暦日0»,十六〳,かのとのみ,たいら,,　,天おん 母倉 月とく ちう日 めつもん 地火
«1860-0390»,«暦日2»,十七〳,みつのえむま,さたん,木,　,神よし 大みやう 天おん  木こりよし
«1860-0400»,«暦日0»,十八〳,みつのとのひつし,とる,,　,天おん  たねまきよし
«1860-0410»,«暦日2»,十九〳,きのえさる,やふる,水,十方くれニ入,きしく 大みやう ふく日 わうまう
«1860-0420»,«暦日0»,廿〳,きのとのとり,あやふ,,　,十し
«1860-0430»,«暦日2»,廿一〳,ひのえいぬ,なる,土,　,●
«1860-0440»,«暦日0»,廿二〳,ひのとのい,おさん,,　,大みやう 母倉 大くわ ちう日
«1860-0450»,«暦日2»,廿三〳,つちのえね,ひらく,火,　,母倉 天火 らうしやく  けんふく 入学よし
«1860-0460»,«暦日0»,廿四〳,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
«1860-0470»,«暦日2»,廿五〳,かのえとら,たつ,木,　,ふく日  つめとりよし
«1860-0480»,«暦日0»,廿六〳,かのとのう,のそく,,　,くゑ日
«1860-0490»,«暦日2»,廿七〳,みつのえたつ,みつ,水,　,大みやう 五む日
«1860-0500»,«暦日0»,廿八〳,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
«1860-0510»,«節中»,雨水正月中暮六時日の出より日入まて,昼四十五刻半|夜五十四刻半,六より六まて,昼五十刻半|夜四十九刻半
«1860-0520»,«暦日2»,廿九〳,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
«1860-0530»,«暦日0»,卅〳,きのとのひつし,とる,,　,大みやう 五む日
«1860-0540»,«月序»,二月,小,建,己卯,張宿　箕　水よう
«1860-0550»,«暦日2»,一〳,ひのえさる,やふる,火,　,神よし 月とく
«1860-0560»,«暦日0»,二〳,ひのとのとり,あやふ,,　,十し
«1860-0570»,«暦日2»,三〳,つちのえいぬ,なる,木,　,●
«1860-0580»,«暦日0»,四〳,つちのとのい,おさん,,　,神よし 母倉 大くわ ちう日
«1860-0590»,«暦日2»,五〳,かのえね,ひらく,土,　,神よし 母倉 ふく日 天火 らうしやく
«1860-0600»,«暦日0»,六〳,かのとのうし,とつ,,　,神よし 月とく 五む日 きこ ちいみ  ものたち  つめとりよし
«1860-0610»,«暦日2»,七〳,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
«1860-0620»,«暦日0»,八〳,みつのとのう,のそく,,　,神よし  あさまきよし
«1860-0630»,«暦日2»,九〳,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
«1860-0640»,«暦日0»,十〳,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
«1860-0650»,«暦日2»,十一〳,ひのえむま,さたん,水,　,神よし 大みやう 月とく  わたましよし
«1860-0660»,«暦日0»,十二〳,ひのとのひつし,とる,,　,神よし  かといてよし
«1860-0670»,«暦日1»,十三〳,つちのえさる,とる,土,　,神よし  たねまきよし
«1860-0680»,«節中»,啓蟄二月せつ夕七時二分ニ入日の出より日入まて,昼四十七刻半余|夜五十二刻余,六より六まて,昼五十二刻半余|夜四十七刻余
«1860-0690»,«暦日1»,十四〳,つちのとのとり,やふる,土,　,大みやう 天おん 月とく
«1860-0700»,«暦日2»,十五〳,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
«1860-0710»,«暦日0»,十六〳,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
«1860-0720»,«暦日2»,十七〳,みつのえね,おさん,木,八せんのはしめ,神よし きしく 天おん 母倉 めつもん  あさまきよし
«1860-0730»,«暦日0»,十八〳,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
«1860-0740»,«暦日2»,十九〳,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
«1860-0750»,«暦日0»,廿〳,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
«1860-0760»,«暦日2»,廿一〳,ひのえたつ,のそく,土,ま日,●
«1860-0770»,«暦日0»,廿二〳,ひのとのみ,みつ,,　,十し
«1860-0780»,«暦日2»,廿三〳,つちのえむま,たいら,火,ま日|社日,神よし 大くわ 地火
«1860-0790»,«暦日0»,廿四〳,つちのとのひつし,さたん,,　,神よし 大みやう 月とく ちいみ  たねかしよし
«1860-0800»,«暦日2»,廿五〳,かのえさる,とる,木,ひかんニなる,神よし 大みやう
«1860-0810»,«暦日0»,廿六〳,かのとのとり,やふる,,　,大みやう くゑ日 ふく日 わうまう
«1860-0820»,«暦日2»,廿七〳,みつのえいぬ,あやふ,水,ま日, あさまきよし
«1860-0830»,«暦日0»,廿八〳,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
«1860-0840»,«節中»,春分二月中夕七時七分日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1860-0850»,«暦日1»,廿九〳,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
«1860-0860»,«月序»,三月,大,建,庚辰,翼宿　斗　木よう
«1860-0870»,«暦日1»,一〳,きのとのうし,ひらく,金,　,天おん ふく日  ものたち  つめとりよし
«1860-0880»,«暦日2»,二〳,ひのえとら,とつ,火,　,天おん きこ  つめとりよし
«1860-0890»,«暦日0»,三〳,ひのとのう,たつ,,　,天おん 天火 らうしやく
«1860-0900»,«暦日2»,四〳,つちのえたつ,のそく,木,　,●
«1860-0910»,«暦日0»,五〳,つちのとのみ,みつ,,　,十し
«1860-0920»,«暦日2»,六〳,かのえむま,たいら,土,　,神よし 大くわ 地火
«1860-0930»,«暦日0»,七〳,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
«1860-0940»,«暦日2»,八〳,みつのえさる,とる,金,　,神よし 大みやう  入学よし
«1860-0950»,«暦日0»,九〳,みつのとのとり,やふる,,　,大みやう  やたてよし
«1860-0960»,«暦日2»,十〳,きのえいぬ,あやふ,火,　,月とく  かといてよし
«1860-0970»,«暦日0»,十一〳,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
«1860-0980»,«暦日2»,十二〳,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
«1860-0990»,«暦日0»,十三〳,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
«1860-1000»,«暦日1»,十四〳,つちのえとら,ひらく,土,　,天しや よろつよし
«1860-1010»,«節中»,清明三月せつ夜四時一分ニ入日の出より日入まて,昼五十二刻余|夜四十七刻半余,六より六まて,昼五十七刻半|夜四十二刻半
«1860-1020»,«暦日1»,十五〳,つちのとのう,とつ,土,　,神よし 大みやう 天おん ふく日
«1860-1030»,«暦日2»,十六〳,かのえたつ,たつ,金,　,きしく くゑ日
«1860-1040»,«暦日0»,十七〳,かのとのみ,のそく,,　,天おん 母倉 ちう日
«1860-1050»,«暦日2»,十八〳,みつのえむま,みつ,木,　,神よし 大みやう 天おん 母倉 月とく 天火 らうしやく
«1860-1060»,«暦日0»,十九〳,みつのとのひつし,たいら,,　,天おん めつもん 地火
«1860-1070»,«暦日2»,廿〳,きのえさる,さたん,水,十方くれニ入,大みやう くゑ日
«1860-1080»,«暦日0»,廿一〳,きのとのとり,とる,,　,神よし  くさかりよし
«1860-1090»,«暦日2»,廿二〳,ひのえいぬ,やふる,土,　,五む日
«1860-1100»,«暦日0»,廿三〳,ひのとのい,あやふ,,　,●
«1860-1110»,«暦日2»,廿四〳,つちのえね,なる,火,　,母倉 きこ ふく日
«1860-1120»,«暦日0»,廿五〳,つちのとのうし,おさん,,　,十し
«1860-1130»,«暦日2»,廿六〳,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
«1860-1140»,«暦日0»,廿七〳,かのとのう,とつ,,とよう今暁八時二分ニ入,神よし  わたまし ものたちよし
