《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/74 ～ 82
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1861g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1861h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,万延二年かのとのとり乃天保壬寅元暦,軫宿/値年,凡三百五十四日
《0120》,《大歳》,大さいとりの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんむまの方,いぬのとしまて/三年ふさかり
《0140》,《大陰》,大おんひつしの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/みむまの間万よし,ねうしとら/,金神,/うむまひつし
《0160》,《歳刑》,さいけうとりの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはうの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月大
《0180》,《歳煞》,さいせつたつの方,此方より/よめとらす,四月小,五月大,六月小
《0190》,《黄幡》,わうはんうしの方,むかひて/弓はしめよし,七月大,八月小,九月大
《0200》,《豹尾》,へうひひつしの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月小,十二月大
《0210》,《月序》,正月,小,建,庚寅,牛宿値月星宿日曜値朔日
《0220》,《正月》,一日,かのえとら,たつ,木,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《正月》,二日,かのとのう,のそく,木,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0240》,《三日》,三日,みつのえたつ,みつ,水,　,大みやう日 五む日
《0250》,《暦日1》,四／,みつのとのみ,たいら,水,天一天上,ちう日 めつもん 地火
《0260》,《暦日2》,五／,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
《0270》,《暦日0》,六／,きのとのひつし,とる,,　,大みやう 五む日
《0280》,《暦日2》,七／,ひのえさる,やふる,火,　,神よし 月とく
《0290》,《暦日0》,八／,ひのとのとり,あやふ,,　,十し
《0300》,《暦日1》,九／,つちのえいぬ,なる,木,　,●
《0310》,《節中》,雨水正月中夜四時九分日の出より日入まて,昼四十五刻半/夜五十四刻半,六より六まて,昼五十刻半/夜四十九刻半
《0320》,《暦日1》,十／,つちのとのい,おさん,木,　,神よし 母倉 大くわ ちう日
《0330》,《暦日2》,十一／,かのえね,ひらく,土,　,神よし 母倉 ふく日 天火 らうしやく
《0340》,《暦日0》,十二／,かのとのうし,とつ,,　,神よし 月とく 五む日 きこ ちいみ  ものたち  つめとりよし
《0350》,《暦日2》,十三／,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
《0360》,《暦日0》,十四／,みつのとのう,のそく,,　,神よし  あさまきよし
《0370》,《暦日2》,十五／,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
《0380》,《暦日0》,十六／,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
《0390》,《暦日2》,十七／,ひのえむま,さたん,水,　,神よし 大みやう 月とく  わたましよし
《0400》,《暦日0》,十八／,ひのとのひつし,とる,,　,神よし  かといてよし
《0410》,《暦日2》,十九／,つちのえさる,やふる,土,　,神よし  たねまきよし
《0420》,《暦日0》,廿／,つちのとのとり,あやふ,,　,十し
《0430》,《暦日2》,廿一／,かのえいぬ,なる,金,　,●
《0440》,《暦日0》,廿二／,かのとのい,おさん,,　,神よし 大みやう 天おん 母倉 月とく 大くわ ちう日
《0450》,《暦日2》,廿三／,みつのえね,ひらく,木,八せんのはしめ,神よし 天おん 母倉 天火 らうしやく
《0460》,《暦日0》,廿四／,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
《0470》,《節中》,啓蟄二月せつ夜四時二分ニ入日の出より日入まて,昼四十七刻半余/夜五十二刻余,六より六まて,昼五十二刻半余/夜四十七刻余
《0480》,《暦日2》,廿五／,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
《0490》,《暦日0》,廿六／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
《0500》,《暦日2》,廿七／,ひのえたつ,のそく,土,ま日,●
《0510》,《暦日0》,廿八／,ひのとのみ,みつ,,　,十し
《0520》,《暦日1》,廿九／,つちのえむま,たいら,火,ま日,神よし 大くわ 地火
《0530》,《月序》,二月,大,建,辛卯,女宿　張　月よう
《0540》,《暦日1》,一／,つちのとのひつし,さたん,火,　,神よし 大みやう 月とく ちいみ  たねかしよし
《0550》,《暦日2》,二／,かのえさる,とる,木,　,神よし 大みやう
《0560》,《暦日0》,三／,かのとのとり,やふる,,　,大みやう くゑ日 ふく日
《0570》,《暦日2》,四／,みつのえいぬ,あやふ,水,ま日, あさまきよし
《0580》,《暦日0》,五／,みつのとのい,なる,,八せんのおはり,母倉 ちう日  たねかしよし
《0590》,《暦日2》,六／,きのえね,おさん,金,　,天おん 母倉 月とく めつもん
《0600》,《暦日0》,七／,きのとのうし,ひらく,,ひかんニなる,天おん ふく日  ものたち  つめとりよし
《0610》,《暦日2》,八／,ひのえとら,とつ,火,　,天おん きこ わうまう  つめとりよし
《0620》,《暦日0》,九／,ひのとのう,たつ,,　,天おん 天火 らうしやく
《0630》,《暦日1》,十／,つちのえたつ,のそく,木,社日,●
《0640》,《節中》,春分二月中夜四時九分日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《0650》,《暦日1》,十一／,つちのとのみ,みつ,木,　,十し
《0660》,《暦日2》,十二／,かのえむま,たいら,土,　,神よし 大くわ 地火
《0670》,《暦日0》,十三／,かのとのひつし,さたん,,　,大みやう ちいみ ふく日  くらたて 井ほりよし
《0680》,《暦日2》,十四／,みつのえさる,とる,金,　,神よし 大みやう  入学よし
《0690》,《暦日0》,十五／,みつのとのとり,やふる,,　,大みやう  やたてよし
《0700》,《暦日2》,十六／,きのえいぬ,あやふ,火,　,月とく  かといてよし
《0710》,《暦日0》,十七／,きのとのい,なる,,　,母倉 ちう日 ふく日  みそすつくりよし
《0720》,《暦日2》,十八／,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
《0730》,《暦日0》,十九／,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
《0740》,《暦日2》,廿／,つちのえとら,とつ,土,　,天しや よろつよし
《0750》,《暦日0》,廿一／,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
《0760》,《暦日2》,廿二／,かのえたつ,のそく,金,　,●
《0770》,《暦日0》,廿三／,かのとのみ,みつ,,　,十し
《0780》,《暦日2》,廿四／,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
《0790》,《暦日0》,廿五／,みつのとのひつし,さたん,,　,天おん ちいみ
《0800》,《暦日1》,廿六／,きのえさる,さたん,水,十方くれニ入,きしく 大みやう くゑ日
《0810》,《節中》,清明三月せつ今暁七時五分ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《0820》,《暦日1》,廿七／,きのとのとり,とる,水,　,神よし  くさかりよし
《0830》,《暦日2》,廿八／,ひのえいぬ,やふる,土,　,さい下しき 五む日
《0840》,《暦日0》,廿九／,ひのとのい,あやふ,,　,●
《0850》,《暦日1》,卅／,つちのえね,なる,火,　,母倉 きこ ふく日
《0860》,《月序》,三月,大,建,壬辰,虛宿　軫　水よう
《0870》,《暦日1》,一／,つちのとのうし,おさん,火,　,十し
《0880》,《暦日2》,二／,かのえとら,ひらく,木,　,ちいみ  いちたち  つめとりよし
《0890》,《暦日0》,三／,かのとのう,とつ,,　,神よし  わたまし ものたちよし
《0900》,《暦日2》,四／,みつのえたつ,たつ,水,　,大みやう 月とく 五む日
《0910》,《暦日0》,五／,みつのとのみ,のそく,,天一天上,母倉 ちう日  けんふくよし
《0920》,《暦日2》,六／,きのえむま,みつ,金,　,神よし 母倉 天火 らうしやく  ふねのりよし
《0930》,《暦日0》,七／,きのとのひつし,たいら,,　,大みやう 五む日 めつもん 地火  ものたちよし
《0940》,《暦日2》,八／,ひのえさる,さたん,火,とよう朝五時四分ニ入,くゑ日
《0950》,《暦日0》,九／,ひのとのとり,とる,,　,神よし 月とく  いちたちよし
《0960》,《暦日2》,十／,つちのえいぬ,やふる,木,　,ふく日
《0970》,《暦日0》,十一／,つちのとのい,あやふ,,　,●
