《1865-0000》,# カンマ区切りテキスト形式です。
《1865-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1865-0020》,# ・表の区画内での改行は“/”で表記します。
《1865-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1865-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1865-0050》,# 外部リンク
《1865-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/105 ～ 114
《1865-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1865g　(GitHub上データを表成型)
《1865-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1865h　(翻刻編集データを表成型 - 未実装)
《1865-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1865-0100》,《版元》,出版地○○,出版元□□□,　
《1865-0110》,《暦首》,元治二年きのとのうし乃天保壬寅元暦,房宿/値年,凡三百八十四日
《1865-0120》,《大歳》,大さいうしの方,此方ニむかひて万よし/但木をきらす
《1865-0130》,《大將軍》,大しやうくんとりの方,うしのとしまて/三年ふさかり
《1865-0140》,《大陰》,大おんいの方,此方ニむかひて/さんをせす
《1865-0150》,《歳徳》,　,としとくあきの方/さるとりの間万よし,たつ/,金神,/み
《1865-0160》,《歳刑》,さいけういぬの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1865-0170》,《歳破》,さいはひつしの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月小
《1865-0180》,《歳煞》,さいせつたつの方,此方より/よめとらす,四月大,五月小/閏五月大,六月小
《1865-0190》,《黄幡》,わうはんうしの方,むかひて/弓はしめよし,七月大,八月大,九月小
《1865-0200》,《豹尾》,へうひひつしの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月大,十二月小
《1865-0210》,《月序》,正月,大,建,戊寅,角宿値月婁宿金曜値朔日
《1865-0220》,《正月》,一日,ひのとのとり,なる,火,　,●
《1865-0230》,《正月》,二日,つちのえいぬ,おさむ,木,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1865-0240》,《正月》,三日,つちのとのい,ひらく,木,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1865-0250》,《暦日2》,四／,かのえね,とつ,土,　,神よし 月とく きこ ちいみ
《1865-0260》,《暦日0》,五／,かのとのうし,たつ,,　,十し
《1865-0270》,《暦日2》,六／,みつのえとら,のそく,金,　,大みやう  けんふく  つめとりよし
《1865-0280》,《暦日0》,七／,みつのとのう,みつ,,　,神よし  わたましよし
《1865-0290》,《暦日2》,八／,きのえたつ,たいら,火,せつふん,きしく 大みやう 大くわ 地火 わうまう
《1865-0300》,《暦日0》,九／,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
《1865-0310》,《節中》,立春正月せつ今暁八時五分ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《1865-0320》,《暦日2》,十／,ひのえむま,さたん,水,　,神よし 大みやう 月とく  わたましよし
《1865-0330》,《暦日0》,十一／,ひのとのひつし,とる,,　,神よし  かといてよし
《1865-0340》,《暦日2》,十二／,つちのえさる,やふる,土,　,神よし  たねまきよし
《1865-0350》,《暦日0》,十三／,つちのとのとり,あやふ,,　,十し
《1865-0360》,《暦日2》,十四／,かのえいぬ,なる,金,　,●
《1865-0370》,《暦日0》,十五／,かのとのい,おさん,,　,大みやう 天おん 母倉 月とく 大くわ ちう日 わうまう
《1865-0380》,《暦日2》,十六／,みつのえね,ひらく,木,八せんのはしめ,神よし 天おん 母倉 天火 らうしやく
《1865-0390》,《暦日0》,十七／,みつのとのうし,とつ,,ま日,神よし 天おん きこ ちいみ  つめとりよし
《1865-0400》,《暦日2》,十八／,きのえとら,たつ,水,　,くゑ日 ふく日
《1865-0410》,《暦日0》,十九／,きのとのう,のそく,,　,神よし  ものたちよし
《1865-0420》,《暦日2》,廿／,ひのえたつ,みつ,土,ま日,大みやう 月とく
《1865-0430》,《暦日0》,廿一／,ひのとのみ,たいら,,　,ちう日 めつもん 地火
《1865-0440》,《暦日2》,廿二／,つちのえむま,さたん,火,ま日,神よし  ふねのりよし
《1865-0450》,《暦日0》,廿三／,つちのとのひつし,とる,,　,神よし 大みやう  かといて たねまきよし
《1865-0460》,《節中》,雨水正月中夜四時六分日の出より日入まて,昼四十五刻半/夜五十四刻半,六より六まて,昼五十刻半/夜四十九刻半
《1865-0470》,《暦日2》,廿四／,かのえさる,やふる,木,　,神よし 大みやう ふく日
《1865-0480》,《暦日0》,廿五／,かのとのとり,あやふ,,　,十し
《1865-0490》,《暦日2》,廿六／,みつのえいぬ,なる,水,ま日,●
《1865-0500》,《暦日0》,廿七／,みつのとのい,おさん,,八せんのおはり,母倉 大くわ ちう日  けんふくよし
《1865-0510》,《暦日2》,廿八／,きのえね,ひらく,金,　,天おん 母倉 ふく日 天火 らうしやく
《1865-0520》,《暦日0》,廿九／,きのとのうし,とつ,,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
《1865-0530》,《暦日1》,卅／,ひのえとら,たつ,火,　,天おん 月とく  つめとりよし
《1865-0540》,《月序》,二月,小,建,己卯,亢宿　昴　日よう
《1865-0550》,《暦日1》,一／,ひのとのう,のそく,火,　,神よし 天おん  あさまきよし
《1865-0560》,《暦日2》,二／,つちのえたつ,みつ,木,　,天おん 五む日  みそつくりよし
《1865-0570》,《暦日0》,三／,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
《1865-0580》,《暦日2》,四／,かのえむま,さたん,土,　,神よし ふく日
《1865-0590》,《暦日0》,五／,かのとのひつし,とる,,　,大みやう 月とく  いちたちよし
《1865-0600》,《暦日2》,六／,みつのえさる,やふる,金,　,神よし きしく 大みやう
《1865-0610》,《暦日0》,七／,みつのとのとり,あやふ,,　,十し
《1865-0620》,《暦日1》,八／,きのえいぬ,あやふ,火,　,月とく  かといてよし
《1865-0630》,《節中》,啓蟄二月せつ夜五時八分ニ入日の出より日入まて,昼四十七刻半余/夜五十二刻余,六より六まて,昼五十二刻半余/夜四十七刻余
《1865-0640》,《暦日1》,九／,きのとのい,なる,火,　,母倉 ちう日 ふく日  みそすつくりよし
《1865-0650》,《暦日2》,十／,ひのえね,おさん,水,　,母倉 めつもん  たねかしよし
《1865-0660》,《暦日0》,十一／,ひのとのうし,ひらく,,　,大みやう  ものたち  つめとりよし
《1865-0670》,《暦日2》,十二／,つちのえとら,とつ,土,　,天しや よろつよし
《1865-0680》,《暦日0》,十三／,つちのとのう,たつ,,　,大みやう くゑ日 天火 らうしやく
《1865-0690》,《暦日2》,十四／,かのえたつ,のそく,金,　,●
《1865-0700》,《暦日0》,十五／,かのとのみ,みつ,,　,十し
《1865-0710》,《暦日2》,十六／,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
《1865-0720》,《暦日0》,十七／,みつのとのひつし,さたん,,　,天おん ちいみ
《1865-0730》,《暦日2》,十八／,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
《1865-0740》,《暦日0》,十九／,きのとのとり,やふる,,　,ふく日
《1865-0750》,《暦日2》,廿／,ひのえいぬ,あやふ,土,ひかんニなる,五む日  あさまきよし
《1865-0760》,《暦日0》,廿一／,ひのとのい,なる,,　,大みやう 母倉 ちう日 わうまう
《1865-0770》,《暦日2》,廿二／,つちのえね,おさん,火,社日,母倉 めつもん  けんふく たねかしよし
《1865-0780》,《暦日0》,廿三／,つちのとのうし,ひらく,,　,月とく  井ほり  つめとりよし
《1865-0790》,《節中》,春分二月中夜四時五分日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1865-0800》,《暦日2》,廿四／,かのえとら,とつ,木,　,さい下しき きこ  つめとりよし
《1865-0810》,《暦日0》,廿五／,かのとのう,たつ,,　,ふく日 天火 らうしやく
《1865-0820》,《暦日2》,廿六／,みつのえたつ,のそく,水,　,●
《1865-0830》,《暦日0》,廿七／,みつのとのみ,みつ,,天一天上,十し
《1865-0840》,《暦日2》,廿八／,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
《1865-0850》,《暦日0》,廿九／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《1865-0860》,《月序》,三月,小,建,庚辰,氐宿　畢　月よう
《1865-0870》,《暦日2》,一／,ひのえさる,とる,火,　,神よし
《1865-0880》,《暦日0》,二／,ひのとのとり,やふる,,　, あさまき たねかしよし
《1865-0890》,《暦日2》,三／,つちのえいぬ,あやふ,木,　, かといてよし
《1865-0900》,《暦日0》,四／,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
《1865-0910》,《暦日2》,五／,かのえね,おさん,土,　,神よし きしく 母倉 めつもん  よめとり たねかしよし
《1865-0920》,《暦日0》,六／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
《1865-0930》,《暦日2》,七／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《1865-0940》,《暦日0》,八／,みつのとのう,たつ,,　,天火 らうしやく
《1865-0950》,《暦日2》,九／,きのえたつ,のそく,火,　,●
《1865-0960》,《暦日0》,十／,きのとのみ,のそく,,　,神よし 大みやう 母倉 ちう日  ふねのりよし
《1865-0970》,《節中》,清明三月せつ今暁七時一分ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《1865-0980》,《暦日2》,十一／,ひのえむま,みつ,水,　,神よし 大みやう 母倉 天火 らうしやく
《1865-0990》,《暦日0》,十二／,ひのとのひつし,たいら,,　,神よし 月とく めつもん 地火
《1865-1000》,《暦日2》,十三／,つちのえさる,さたん,土,　,くゑ日 ふく日
《1865-1010》,《暦日0》,十四／,つちのとのとり,とる,,　,神よし 大みやう 天おん ふく日
《1865-1020》,《暦日2》,十五／,かのえいぬ,やふる,金,　,大みやう 天おん
《1865-1030》,《暦日0》,十六／,かのとのい,あやふ,,　,●
《1865-1040》,《暦日2》,十七／,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
《1865-1050》,《暦日0》,十八／,みつのとのうし,おさん,,ま日,十し
《1865-1060》,《暦日2》,十九／,きのえとら,ひらく,水,　,ちいみ  やたて  つめとりよし
《1865-1070》,《暦日0》,廿／,きのとのう,とつ,,　,神よし  ものたちよし
《1865-1080》,《暦日2》,廿一／,ひのえたつ,たつ,土,ま日,大みやう  わたましよし
《1865-1090》,《暦日0》,廿二／,ひのとのみ,のそく,,とよう朝五時ニ入,母倉 月とく ちう日  いちたちよし
《1865-1100》,《暦日2》,廿三／,つちのえむま,みつ,火,ま日,神よし 母倉 ふく日 天火 らうしやく  ふねのりよし
《1865-1110》,《暦日0》,廿四／,つちのとのひつし,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1865-1120》,《暦日1》,廿五／,かのえさる,さたん,木,　,大みやう くゑ日
《1865-1130》,《節中》,穀雨三月中朝四時七分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《1865-1140》,《暦日1》,廿六／,かのとのとり,とる,木,　,神よし 大みやう  井ほりよし
《1865-1150》,《暦日2》,廿七／,みつのえいぬ,やふる,水,ま日,月とく
《1865-1160》,《暦日0》,廿八／,みつのとのい,あやふ,,八せんのおはり,●
《1865-1170》,《暦日1》,廿九／,きのえね,なる,金,　,くゑ日 きこ
《1865-1180》,《月序》,四月,大,建,辛巳,房宿　觜　火よう
《1865-1190》,《暦日1》,一／,きのとのうし,おさん,金,　,十し
《1865-1200》,《暦日2》,二／,ひのえとら,ひらく,火,　,くゑ日 ちいみ
《1865-1210》,《暦日0》,三／,ひのとのう,とつ,,　,くゑ日  たねまきよし
《1865-1220》,《暦日2》,四／,つちのえたつ,たつ,木,　,きしく 五む日 くゑ日 ふく日
《1865-1230》,《暦日0》,五／,つちのとのみ,のそく,,　,神よし 母倉 ちう日 ふく日  かといてよし
《1865-1240》,《暦日2》,六／,かのえむま,みつ,土,　,神よし 母倉 天火 らうしやく  みそすつくりよし
《1865-1250》,《暦日0》,七／,かのとのひつし,たいら,,　,大みやう めつもん 地火
《1865-1260》,《暦日2》,八／,みつのえさる,さたん,金,八十八や,大みやう くゑ日
