《1866-0000》,# カンマ区切りテキスト形式です。
《1866-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1866-0020》,# ・表の区画内での改行は“/”で表記します。
《1866-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1866-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1866-0050》,# 外部リンク
《1866-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/114 ～ 122
《1866-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1866g　(GitHub上データを表成型)
《1866-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1866h　(翻刻編集データを表成型 - 未実装)
《1866-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1866-0100》,《版元》,出版地○○,出版元□□□,　
《1866-0110》,《暦首》,慶応二年ひのえとら乃天保壬寅元暦,心宿/値年,凡三百五十五日
《1866-0120》,《大歳》,大さいとらの方,此方ニむかひて万よし/但木をきらす
《1866-0130》,《大將軍》,大しやうくんねの方,たつのとしまて/三年ふさかり
《1866-0140》,《大陰》,大おんねの方,此方ニむかひて/さんをせす
《1866-0150》,《歳徳》,　,としとくあきの方/みむまの間万よし,ねうしとら/,金神,/うむまひつし
《1866-0160》,《歳刑》,さいけうみの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1866-0170》,《歳破》,さいはさるの方,むかひてわたましせす/ふねのりはしめす,正月大,二月小,三月大
《1866-0180》,《歳煞》,さいせつうしの方,此方より/よめとらす,四月小,五月小,六月小
《1866-0190》,《黄幡》,わうはんいぬの方,むかひて/弓はしめよし,七月大,八月大,九月小
《1866-0200》,《豹尾》,へうひたつの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月大,十二月大
《1866-0210》,《月序》,正月,大,建,庚寅,室宿値月斗宿木曜値朔日
《1866-0220》,《正月》,一日,かのとのとり,あやふ,木,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1866-0230》,《正月》,二日,みつのえいぬ,なる,水,ま日,●
《1866-0240》,《正月》,三日,みつのとのい,おさむ,水,八せんのおはり,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1866-0250》,《暦日2》,四／,きのえね,ひらく,金,　,天おん 母倉 ふく日 天火 らうしやく
《1866-0260》,《暦日0》,五／,きのとのうし,とつ,,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
《1866-0270》,《節中》,雨水正月中今暁七時五分日の出より日入まて,昼四十五刻半/夜五十四刻半,六より六まて,昼五十刻半/夜四十九刻半
《1866-0280》,《暦日2》,六／,ひのえとら,たつ,火,　,天おん 月とく  つめとりよし
《1866-0290》,《暦日0》,七／,ひのとのう,のそく,,　,さい下しき 神よし 天おん  あさまきよし
《1866-0300》,《暦日2》,八／,つちのえたつ,みつ,木,　,天おん 五む日  みそつくりよし
《1866-0310》,《暦日0》,九／,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
《1866-0320》,《暦日2》,十／,かのえむま,さたん,土,　,神よし ふく日
《1866-0330》,《暦日0》,十一／,かのとのひつし,とる,,　,大みやう 月とく  いちたちよし
《1866-0340》,《暦日2》,十二／,みつのえさる,やふる,金,　,神よし 大みやう
《1866-0350》,《暦日0》,十三／,みつのとのとり,あやふ,,　,十し
《1866-0360》,《暦日2》,十四／,きのえいぬ,なる,火,　,●
《1866-0370》,《暦日0》,十五／,きのとのい,おさん,,　,母倉 大くわ ちう日
《1866-0380》,《暦日2》,十六／,ひのえね,ひらく,水,　,きしく 母倉 月とく 天火 らうしやく
《1866-0390》,《暦日0》,十七／,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《1866-0400》,《暦日2》,十八／,つちのえとら,たつ,土,　,天しや よろつよし
《1866-0410》,《暦日0》,十九／,つちのとのう,のそく,,　,神よし 大みやう 天おん  みそさけつくり たねまきよし
《1866-0420》,《暦日1》,廿／,かのえたつ,のそく,金,　,●
《1866-0430》,《節中》,啓蟄二月せつ今暁八時九分ニ入日の出より日入まて,昼四十七刻半余/夜五十二刻余,六より六まて,昼五十二刻半余/夜四十七刻余
《1866-0440》,《暦日1》,廿一／,かのとのみ,みつ,金,　,十し
《1866-0450》,《暦日2》,廿二／,みつのえむま,たいら,木,　,神よし 大みやう 天おん 大くわ 地火
《1866-0460》,《暦日0》,廿三／,みつのとのひつし,さたん,,　,天おん ちいみ
《1866-0470》,《暦日2》,廿四／,きのえさる,とる,水,十方くれニ入,神よし 大みやう 月とく  入学よし
《1866-0480》,《暦日0》,廿五／,きのとのとり,やふる,,　,ふく日
《1866-0490》,《暦日2》,廿六／,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
《1866-0500》,《暦日0》,廿七／,ひのとのい,なる,,　,大みやう 母倉 ちう日
《1866-0510》,《暦日2》,廿八／,つちのえね,おさん,火,　,母倉 めつもん  けんふく たねかしよし
《1866-0520》,《暦日0》,廿九／,つちのとのうし,ひらく,,　,月とく  井ほり  つめとりよし
《1866-0530》,《暦日1》,卅／,かのえとら,とつ,木,　,きこ  つめとりよし
《1866-0540》,《月序》,二月,小,建,辛卯,壁宿　女　土よう
《1866-0550》,《暦日1》,一／,かのとのう,たつ,木,　,ふく日 天火 らうしやく
《1866-0560》,《暦日2》,二／,みつのえたつ,のそく,水,ひかんニなる,●
《1866-0570》,《暦日0》,三／,みつのとのみ,みつ,,天一天上,十し
《1866-0580》,《暦日2》,四／,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
《1866-0590》,《暦日0》,五／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《1866-0600》,《節中》,春分二月中今暁七時七分日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1866-0610》,《暦日2》,六／,ひのえさる,とる,火,　,神よし
《1866-0620》,《暦日0》,七／,ひのとのとり,やふる,,　, あさまき たねかしよし
《1866-0630》,《暦日2》,八／,つちのえいぬ,あやふ,木,社日, かといてよし
《1866-0640》,《暦日0》,九／,つちのとのい,なる,,　,神よし 母倉 月とく ちう日  みそすつくりよし
《1866-0650》,《暦日2》,十／,かのえね,おさん,土,　,神よし 母倉 めつもん  よめとり たねかしよし
《1866-0660》,《暦日0》,十一／,かのとのうし,ひらく,,　,五む日 ふく日  ものたち  つめとりよし
《1866-0670》,《暦日2》,十二／,みつのえとら,とつ,金,　,大みやう きこ  やたて くらたて  つめとりよし
《1866-0680》,《暦日0》,十三／,みつのとのう,たつ,,　,天火 らうしやく
《1866-0690》,《暦日2》,十四／,きのえたつ,のそく,火,　,●
《1866-0700》,《暦日0》,十五／,きのとのみ,みつ,,　,十し
《1866-0710》,《暦日2》,十六／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《1866-0720》,《暦日0》,十七／,ひのとのひつし,さたん,,　,神よし ちいみ
《1866-0730》,《暦日2》,十八／,つちのえさる,とる,土,　,神よし  たねまきよし
《1866-0740》,《暦日0》,十九／,つちのとのとり,やふる,,　,大みやう 天おん 月とく
《1866-0750》,《暦日1》,廿／,かのえいぬ,やふる,金,　,大みやう 天おん
《1866-0760》,《節中》,清明三月せつ朝五時八分ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《1866-0770》,《暦日1》,廿一／,かのとのい,あやふ,金,　,●
《1866-0780》,《暦日2》,廿二／,みつのえね,なる,木,八せんのはしめ,神よし 天おん 母倉 月とく きこ
《1866-0790》,《暦日0》,廿三／,みつのとのうし,おさん,,ま日,十し
