«1867-0000»,【 カンマ区切りテキスト形式です。】
«1867-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1867-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1867-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1867-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1867-0050»,【 外部リンク　】
«1867-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/123 ～ 131】
«1867-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1867h　(翻刻編集終了データを表成型して表示します)】
«1867-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1867ht (翻刻編集中データを表成型して表示します)】
«1867-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1867-0100»,«版元»,出版地○○,出版元□□□,　
«1867-0110»,«暦首»,慶応三年ひのとのう乃天保壬寅元暦,尾宿|値年,凡三百五十四日
«1867-0120»,«大歳»,大さいうの方,此方ニむかひて万よし|但木をきらす
«1867-0130»,«大將軍»,大しやうくんねの方,たつのとしまて|三年ふさかり
«1867-0140»,«大陰»,大おんうしの方,此方ニむかひて|さんをせす
«1867-0150»,«歳徳»,としとくあきの方|いねの間万よし,とらう|,金神,|いぬい
«1867-0160»,«歳刑»,さいけうねの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1867-0170»,«歳破»,さいはとりの方,むかひてわたましせす|ふねのりはしめす,正月小,二月大,三月小
«1867-0180»,«歳煞»,さいせついぬの方,此方より|よめとらす,四月大,五月小,六月小
«1867-0190»,«黄幡»,わうはんひつしの方,むかひて|弓はしめよし,七月小,八月大,九月小
«1867-0200»,«豹尾»,へうひうしの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月大,十二月大
«1867-0210»,«月序»,正月,小,建,壬寅,星宿値月翼宿火曜値朔日
«1867-0220»,«正月»,一日,ひのえたつ,みつ,土,吉事始|ま日,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1867-0230»,«正月»,二日,ひのとのみ,たいら,土,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1867-0240»,«三日»,三日,つちのえむま,さたむ,火,ま日,神よし
«1867-0250»,«暦日1»,四〳,つちのとのひつし,とる,火,　,神よし 大みやう  かといて たねまきよし
«1867-0260»,«暦日2»,五〳,かのえさる,やふる,木,　,神よし 大みやう ふく日
«1867-0270»,«暦日0»,六〳,かのとのとり,あやふ,,　,十し
«1867-0280»,«暦日2»,七〳,みつのえいぬ,なる,水,ま日,●
«1867-0290»,«暦日0»,八〳,みつのとのい,おさん,,八せんのおはり,母倉 大くわ ちう日  けんふくよし
«1867-0300»,«暦日2»,九〳,きのえね,ひらく,金,　,天おん 母倉 ふく日 天火 らうしやく
«1867-0310»,«暦日0»,十〳,きのとのうし,とつ,,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
«1867-0320»,«暦日2»,十一〳,ひのえとら,たつ,火,　,天おん 月とく  つめとりよし
«1867-0330»,«暦日0»,十二〳,ひのとのう,のそく,,　,神よし 天おん  あさまきよし
«1867-0340»,«暦日2»,十三〳,つちのえたつ,みつ,木,　,天おん 五む日  みそつくりよし
«1867-0350»,«暦日0»,十四〳,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
«1867-0360»,«暦日1»,十五〳,かのえむま,さたん,土,　,神よし ふく日
«1867-0370»,«節中»,雨水正月中朝四時四分日の出より日入まて,昼四十五刻半|夜五十四刻半,六より六まて,昼五十刻半|夜四十九刻半
«1867-0380»,«暦日1»,十六〳,かのとのひつし,とる,土,　,大みやう 月とく  いちたちよし
«1867-0390»,«暦日2»,十七〳,みつのえさる,やふる,金,　,神よし 大みやう
«1867-0400»,«暦日0»,十八〳,みつのとのとり,あやふ,,　,十し
«1867-0410»,«暦日2»,十九〳,きのえいぬ,なる,火,　,●
«1867-0420»,«暦日0»,廿〳,きのとのい,おさん,,　,母倉 大くわ ちう日
«1867-0430»,«暦日2»,廿一〳,ひのえね,ひらく,水,　,母倉 月とく 天火 らうしやく
«1867-0440»,«暦日0»,廿二〳,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
«1867-0450»,«暦日2»,廿三〳,つちのえとら,たつ,土,　,天しや よろつよし
«1867-0460»,«暦日0»,廿四〳,つちのとのう,のそく,,　,神よし 大みやう 天おん  みそさけつくり たねまきよし
«1867-0470»,«暦日2»,廿五〳,かのえたつ,みつ,金,　,きしく 天おん ふく日
«1867-0480»,«暦日0»,廿六〳,かのとのみ,たいら,,　,天おん 母倉 月とく ちう日 めつもん 地火
«1867-0490»,«暦日2»,廿七〳,みつのえむま,さたん,木,　,神よし 大みやう 天おん  木こりよし
«1867-0500»,«暦日0»,廿八〳,みつのとのひつし,とる,,　,天おん  たねまきよし
«1867-0510»,«暦日1»,廿九〳,きのえさる,やふる,水,十方くれニ入,神よし 大みやう ふく日
«1867-0520»,«月序»,二月,大,建,癸卯,張宿　軫　水よう
«1867-0530»,«暦日1»,一〳,きのとのとり,やふる,水,　,ふく日
«1867-0540»,«節中»,啓蟄二月せつ朝五時七分ニ入日の出より日入まて,昼四十七刻半余|夜五十二刻余,六より六まて,昼五十二刻半余|夜四十七刻余
«1867-0550»,«暦日2»,二〳,ひのえいぬ,あやふ,土,　,五む日  あさまきよし
«1867-0560»,«暦日0»,三〳,ひのとのい,なる,,　,大みやう 母倉 ちう日
«1867-0570»,«暦日2»,四〳,つちのえね,おさん,火,　,母倉 めつもん  けんふく たねかしよし
«1867-0580»,«暦日0»,五〳,つちのとのうし,ひらく,,　,月とく  井ほり  つめとりよし
«1867-0590»,«暦日2»,六〳,かのえとら,とつ,木,　,きこ  つめとりよし
«1867-0600»,«暦日0»,七〳,かのとのう,たつ,,　,ふく日 天火 らうしやく 金性の人うけニ入
«1867-0610»,«暦日2»,八〳,みつのえたつ,のそく,水,　,●
«1867-0620»,«暦日0»,九〳,みつのとのみ,みつ,,天一天上,十し
