《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/131 ～ 140
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1868g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1868h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《0110》,《暦首》,慶応四年つちのえたつ乃天保壬寅元暦,箕宿/値年,凡三百八十三日
《0120》,《大歳》,大さいたつの方,此方ニむかひて万よし/但木をきらす
《0130》,《大將軍》,大しやうくんねの方,たつのとしまて/三年ふさかり
《0140》,《大陰》,大おんとらの方,此方ニむかひて/さんをせす
《0150》,《歳徳》,　,としとくあきの方/みむまの間万よし,ねうし/,金神,/さるとり
《0160》,《歳刑》,さいけうたつの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《0170》,《歳破》,さいはいぬの方,むかひてわたましせす/ふねのりはしめす,正月小,二月大,三月大
《0180》,《歳煞》,さいせつひつしの方,此方より/よめとらす,四月小/閏四月小,五月大,六月小
《0190》,《黄幡》,わうはんたつの方,むかひて/弓はしめよし,七月小,八月大,九月小
《0200》,《豹尾》,へうひいぬの方,むかひて大小へんせす/ちくるいもとめす,十月大,十一月大,十二月小
《0210》,《月序》,正月,小,建,甲寅,牛宿値月胃宿土曜値朔日
《0220》,《正月》,一日,かのえいぬ,おさむ,金,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《0230》,《正月》,二日,かのとのい,ひらく,金,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《0240》,《三日》,三日,みつのえね,とつ,木,八せんのはしめ,くゑ日 きこ ちいみ
《0250》,《暦日1》,四／,みつのとのうし,たつ,木,ま日,十し
《0260》,《暦日2》,五／,きのえとら,のそく,水,　, 木こり  つめとりよし
《0270》,《暦日0》,六／,きのとのう,みつ,,　,神よし 月とく  ものたちよし
《0280》,《暦日2》,七／,ひのえたつ,たいら,土,ま日,きしく 大みやう 大くわ 地火
《0290》,《暦日0》,八／,ひのとのみ,さたん,,　,母倉 ちう日
《0300》,《暦日2》,九／,つちのえむま,とる,火,ま日,神よし 母倉 ふく日  ふねのりよし
《0310》,《暦日0》,十／,つちのとのひつし,やふる,,せつふん,神よし 大みやう ふく日  かといてよし
《0320》,《暦日1》,十一／,かのえさる,やふる,木,　,神よし 大みやう ふく日
《0330》,《節中》,立春正月せつ夜五時三分ニ入日の出より日入まて,昼四十三刻半/夜五十六刻半,六より六まて,昼四十八刻半余/夜五十一刻余
《0340》,《暦日1》,十二／,かのとのとり,あやふ,木,　,十し
《0350》,《暦日2》,十三／,みつのえいぬ,なる,水,ま日,●
《0360》,《暦日0》,十四／,みつのとのい,おさん,,八せんのおはり,母倉 大くわ ちう日  けんふくよし
《0370》,《暦日2》,十五／,きのえね,ひらく,金,　,天おん 母倉 ふく日 天火 らうしやく
《0380》,《暦日0》,十六／,きのとのうし,とつ,,　,神よし 天おん きこ ちいみ  くらたて 井ほり  つめとりよし
《0390》,《暦日2》,十七／,ひのえとら,たつ,火,　,天おん 月とく わうまう  つめとりよし
《0400》,《暦日0》,十八／,ひのとのう,のそく,,　,神よし 天おん  あさまきよし
《0410》,《暦日2》,十九／,つちのえたつ,みつ,木,　,天おん 五む日  みそつくりよし
《0420》,《暦日0》,廿／,つちのとのみ,たいら,,　,神よし ちう日 めつもん 地火  入学よし
《0430》,《暦日2》,廿一／,かのえむま,さたん,土,　,神よし ふく日
《0440》,《暦日0》,廿二／,かのとのひつし,とる,,　,大みやう 月とく  いちたちよし
《0450》,《暦日2》,廿三／,みつのえさる,やふる,金,　,神よし 大みやう
《0460》,《暦日0》,廿四／,みつのとのとり,あやふ,,　,十し
《0470》,《暦日2》,廿五／,きのえいぬ,なる,火,　,●
《0480》,《暦日0》,廿六／,きのとのい,おさん,,　,母倉 大くわ ちう日
《0490》,《節中》,雨水正月中夕七時三分日の出より日入まて,昼四十五刻半/夜五十四刻半,六より六まて,昼五十刻半/夜四十九刻半
《0500》,《暦日2》,廿七／,ひのえね,ひらく,水,　,母倉 月とく 天火 らうしやく
《0510》,《暦日0》,廿八／,ひのとのうし,とつ,,　,神よし 大みやう きこ ちいみ  ものたち 木こり  つめとりよし
《0520》,《暦日1》,廿九／,つちのえとら,たつ,土,　,天しや よろつよし
《0530》,《月序》,二月,大,建,乙卯,女宿　昴　日よう
《0540》,《暦日1》,一／,つちのとのう,のそく,土,　,神よし 大みやう 天おん  みそさけつくり たねまきよし
《0550》,《暦日2》,二／,かのえたつ,みつ,金,　,天おん ふく日
《0560》,《暦日0》,三／,かのとのみ,たいら,,　,天おん 母倉 月とく ちう日 めつもん 地火
《0570》,《暦日2》,四／,みつのえむま,さたん,木,　,神よし 大みやう 天おん  木こりよし
《0580》,《暦日0》,五／,みつのとのひつし,とる,,　,天おん  たねまきよし
《0590》,《暦日2》,六／,きのえさる,やふる,水,十方くれニ入,神よし きしく 大みやう ふく日
《0600》,《暦日0》,七／,きのとのとり,あやふ,,　,十し
《0610》,《暦日2》,八／,ひのえいぬ,なる,土,　,●
《0620》,《暦日0》,九／,ひのとのい,おさん,,　,大みやう 母倉 大くわ ちう日
《0630》,《暦日2》,十／,つちのえね,ひらく,火,　,母倉 天火 らうしやく  けんふく 入学よし
《0640》,《暦日0》,十一／,つちのとのうし,とつ,,　,きこ ちいみ  井ほり  つめとりよし
《0650》,《暦日1》,十二／,かのえとら,とつ,木,　,きこ  つめとりよし
《0660》,《節中》,啓蟄二月せつ昼八時五分ニ入日の出より日入まて,昼四十七刻半余/夜五十二刻余,六より六まて,昼五十二刻半余/夜四十七刻余
《0670》,《暦日1》,十三／,かのとのう,たつ,木,　,ふく日 天火 らうしやく
《0680》,《暦日2》,十四／,みつのえたつ,のそく,水,　,●
《0690》,《暦日0》,十五／,みつのとのみ,みつ,,天一天上,十し
《0700》,《暦日2》,十六／,きのえむま,たいら,金,　,神よし 月とく 大くわ 地火
《0710》,《暦日0》,十七／,きのとのひつし,さたん,,　,大みやう 五む日 ちいみ ふく日  ふねのりよし
《0720》,《暦日2》,十八／,ひのえさる,とる,火,　,神よし
