《1871-0000》,# カンマ区切りテキスト形式です。
《1871-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1871-0020》,# ・表の区画内での改行は“/”で表記します。
《1871-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1871-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1871-0050》,# 外部リンク
《1871-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/154 ～ 159
《1871-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1871g　(GitHub上データを表成型)
《1871-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1871h　(翻刻編集データを表成型 - 未実装)
《1871-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1871-0100》,《版元》,出版地○○,出版元□□□,　
《1871-0110》,《暦首》,明治四年かのとのひつし乃天保壬寅元暦,女宿/値年,凡三百五十五日
《1871-0120》,《大歳》,大さいひつしの方,此方ニむかひて万よし/但木をきらす
《1871-0130》,《大將軍》,大しやうくんうの方,ひつしのとしまて/三年ふさかり
《1871-0140》,《大陰》,大おんみの方,此方ニむかひて/さんをせす
《1871-0150》,《歳徳》,としとくあきの方/みむまの間万よし,ねうしとら/,金神,/うむまひつし
《1871-0160》,《歳刑》,さいけううしの方,むかひて/たねまかす,土公,春はかま/秋は井,夏はかと/冬はには
《1871-0170》,《歳破》,さいはうしの方,むかひてわたましせす/ふねのりはしめす,正月大,二月大,三月小
《1871-0180》,《歳煞》,さいせついぬの方,此方より/よめとらす,四月大,五月大,六月小
《1871-0190》,《黄幡》,わうはんひつしの方,むかひて/弓はしめよし,七月大,八月小,九月大
《1871-0200》,《豹尾》,へうひうしの方,むかひて大小へんせす/ちくるいもとめす,十月小,十一月小,十二月大
《1871-0210》,《月序》,正月,大,建,庚寅,胃宿値月昴宿日曜値朔日
《1871-0220》,《正月》,一日,かのとのう,のそく,木,吉事始,はかため くらひらき ひめはしめ きそはしめ/ゆとのはしめ こしのりそめ万よし
《1871-0230》,《節中》,雨水正月中朝四時二分日の出より日入まて,昼四十五刻半/夜五十四刻半,六より六まて,昼五十刻半/夜四十九刻半
《1871-0240》,《正月》,二日,みつのえたつ,みつ,水,　,馬のりそめ ふねのりそめ 弓はしめ/あきなひはしめ すきそめ万よし
《1871-0250》,《三日》,三日,みつのとのみ,たいら,水,天一天上,ちう日 めつもん 地火
《1871-0260》,《暦日2》,四／,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
《1871-0270》,《暦日0》,五／,きのとのひつし,とる,,　,大みやう 五む日
《1871-0280》,《暦日2》,六／,ひのえさる,やふる,火,　,神よし きしく 月とく
《1871-0290》,《暦日0》,七／,ひのとのとり,あやふ,,　,十し
《1871-0300》,《暦日2》,八／,つちのえいぬ,なる,木,　,●
《1871-0310》,《暦日0》,九／,つちのとのい,おさん,,　,神よし 母倉 大くわ ちう日
《1871-0320》,《暦日2》,十／,かのえね,ひらく,土,　,神よし 母倉 ふく日 天火 らうしやく
《1871-0330》,《暦日0》,十一／,かのとのうし,とつ,,　,神よし 月とく 五む日 きこ ちいみ  ものたち  つめとりよし
《1871-0340》,《暦日2》,十二／,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
《1871-0350》,《暦日0》,十三／,みつのとのう,のそく,,　,神よし  あさまきよし
《1871-0360》,《暦日2》,十四／,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
《1871-0370》,《暦日0》,十五／,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
《1871-0380》,《暦日1》,十六／,ひのえむま,たいら,水,　,神よし 大みやう 大くわ 地火
《1871-0390》,《節中》,啓蟄二月せつ朝五時五分ニ入日の出より日入まて,昼四十七刻半余/夜五十二刻余,六より六まて,昼五十二刻半余/夜四十七刻余
《1871-0400》,《暦日1》,十七／,ひのとのひつし,さたん,水,　,神よし ちいみ
《1871-0410》,《暦日2》,十八／,つちのえさる,とる,土,　,神よし  たねまきよし
《1871-0420》,《暦日0》,十九／,つちのとのとり,やふる,,　,大みやう 天おん 月とく
《1871-0430》,《暦日2》,廿／,かのえいぬ,あやふ,金,　,大みやう 天おん  けんふくよし
《1871-0440》,《暦日0》,廿一／,かのとのい,なる,,　,神よし 大みやう 天おん 母倉 ちう日 ふく日
《1871-0450》,《暦日2》,廿二／,みつのえね,おさん,木,八せんのはしめ,神よし 天おん 母倉 めつもん  あさまきよし
《1871-0460》,《暦日0》,廿三／,みつのとのうし,ひらく,,ま日,天おん  つめとりよし
《1871-0470》,《暦日2》,廿四／,きのえとら,とつ,水,　,月とく きこ  やたて  つめとりよし
《1871-0480》,《暦日0》,廿五／,きのとのう,たつ,,　,くゑ日 ふく日 天火 らうしやく
《1871-0490》,《暦日2》,廿六／,ひのえたつ,のそく,土,ま日,●
《1871-0500》,《暦日0》,廿七／,ひのとのみ,みつ,,　,十し
《1871-0510》,《暦日2》,廿八／,つちのえむま,たいら,火,ま日/社日/ひかんニなる,神よし 大くわ 地火
