«1872-0000»,【 カンマ区切りテキスト形式です。】
«1872-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1872-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1872-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1872-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1872-0050»,【 外部リンク　】
«1872-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/159 ～ 168】
«1872-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1872h　(翻刻編集終了データを表成型して表示します)】
«1872-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1872ht (翻刻編集中データを表成型して表示します)】
«1872-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1872-0100»,«版元»,出版地○○,出版元□□□,　
«1872-0110»,«暦首»,明治五年みつのえさる乃天保壬寅元暦,虛宿|値年,凡三百廿七日
«1872-0120»,«大歳»,大さいさるの方,此方ニむかひて万よし|但木をきらす
«1872-0130»,«大將軍»,大しやうくんむまの方,いぬのとしまて|三年ふさかり
«1872-0140»,«大陰»,大おんむまの方,此方ニむかひて|さんをせす
«1872-0150»,«歳徳»,としとくあきの方|いねの間万よし,とらう|,金神,|いぬい
«1872-0160»,«歳刑»,さいけうとらの方,むかひて|たねまかす,土公,春はかま|秋は井,夏はかと|冬はには
«1872-0170»,«歳破»,さいはとらの方,むかひてわたましせす|ふねのりはしめす,正月小,二月大,三月小
«1872-0180»,«歳煞»,さいせつひつしの方,此方より|よめとらす,四月大,五月大,六月小
«1872-0190»,«黄幡»,わうはんたつの方,むかひて|弓はしめよし,七月大,八月大,九月小
«1872-0200»,«豹尾»,へうひいぬの方,むかひて大小へんせす|ちくるいもとめす,十月大,十一月小
«1872-0210»,«月序»,正月,小,建,壬寅,角宿値月牛宿金曜値朔日
«1872-0220»,«正月»,一日,ひのえいぬ,なる,土,　,●
«1872-0230»,«正月»,二日,ひのとのい,おさむ,土,吉事始,はかため くらひらき ひめはしめ きそはしめ|ゆとのはしめ こしのりそめ万よし
«1872-0240»,«正月»,三日,つちのえね,ひらく,火,　,馬のりそめ ふねのりそめ 弓はしめ|あきなひはしめ すきそめ万よし
«1872-0250»,«暦日1»,四〳,つちのとのうし,とつ,火,　,きこ ちいみ  井ほり  つめとりよし
«1872-0260»,«暦日2»,五〳,かのえとら,たつ,木,　,ふく日  つめとりよし
«1872-0270»,«暦日0»,六〳,かのとのう,のそく,,　,くゑ日
«1872-0280»,«暦日2»,七〳,みつのえたつ,みつ,水,　,大みやう 五む日
«1872-0290»,«暦日0»,八〳,みつのとのみ,たいら,,天一天上,ちう日 めつもん 地火
«1872-0300»,«暦日2»,九〳,きのえむま,さたん,金,　,神よし ふく日  かといて ふねのりよし
«1872-0310»,«暦日0»,十〳,きのとのひつし,とる,,　,大みやう 五む日
«1872-0320»,«暦日1»,十一〳,ひのえさる,やふる,火,　,神よし 月とく
«1872-0330»,«節中»,雨水正月中夕七時日の出より日入まて,昼四十五刻半|夜五十四刻半,六より六まて,昼五十刻半|夜四十九刻半
«1872-0340»,«暦日1»,十二〳,ひのとのとり,あやふ,火,　,十し
«1872-0350»,«暦日2»,十三〳,つちのえいぬ,なる,木,　,●
«1872-0360»,«暦日0»,十四〳,つちのとのい,おさん,,　,神よし 母倉 大くわ ちう日
«1872-0370»,«暦日2»,十五〳,かのえね,ひらく,土,　,神よし きしく 母倉 ふく日 天火 らうしやく
«1872-0380»,«暦日0»,十六〳,かのとのうし,とつ,,　,神よし 月とく 五む日 きこ ちいみ  ものたち  つめとりよし
«1872-0390»,«暦日2»,十七〳,みつのえとら,たつ,金,　,大みやう  かといて  つめとりよし
«1872-0400»,«暦日0»,十八〳,みつのとのう,のそく,,　,神よし  あさまきよし
«1872-0410»,«暦日2»,十九〳,きのえたつ,みつ,火,　,大みやう ふく日  かといてよし
«1872-0420»,«暦日0»,廿〳,きのとのみ,たいら,,　,神よし 大みやう ちう日 めつもん 地火  けんふくよし
